Activity Type,Date,Title,Distance,Calories,Total Time,Avg HR,Max HR,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Steps,Total Reps,Total Sets,Body Battery Drain
Cardio,2026-06-24 22:33:15,Cardio,,168.0,22.52,133.0,158.0,,,,,,,,,-2.0
Strength Training,2026-06-24 22:08:33,Strength,,128.0,22.28,120.0,152.0,,,,,,176.0,88.0,6.0,-1.0
Yoga,2026-06-24 22:04:07,Yoga,,24.0,4.23,118.0,131.0,,,,,,,,1.0,
Cardio,2026-06-18 18:44:39,Cardio,,311.0,42.8,137.0,167.0,,,,,,,,,-7.0
Strength Training,2026-06-18 18:17:23,Strength,,230.0,27.13,145.0,172.0,,,,,,72.0,36.0,7.0,-6.0
Yoga,2026-06-18 18:11:56,Yoga,,47.0,5.37,143.0,155.0,,,,,,,,2.0,-1.0
Yoga,2026-06-18 00:00:27,Yoga,,29.0,9.0,95.0,121.0,,,,,,,,1.0,-1.0
Running,2026-06-16 18:31:33,Santa Cruz County Running,4.57,526.0,81.03,132.0,183.0,,,16.0,11.0,0.82,,,,-8.0
Yoga,2026-06-16 18:24:08,Yoga,,40.0,5.82,125.0,139.0,,,,,,,,1.0,-1.0
Cardio,2026-06-15 23:12:10,Cardio,,132.0,14.77,144.0,165.0,,,,,,,,,-1.0
Strength Training,2026-06-15 22:46:47,Strength,,162.0,20.87,137.0,163.0,,,,,,52.0,26.0,5.0,-2.0
Yoga,2026-06-15 22:39:31,Yoga,,52.0,7.14,134.0,156.0,,,,,,,,1.0,-1.0
Cardio,2026-06-13 20:23:19,Cardio,,244.0,33.55,138.0,170.0,,,,,,,,,-5.0
Strength Training,2026-06-13 19:47:31,Strength,,212.0,34.78,127.0,167.0,,,,,,230.0,115.0,16.0,-5.0
Yoga,2026-06-13 19:45:03,Yoga,,17.0,2.3,127.0,134.0,,,,,,,,1.0,
Cardio,2026-06-11 23:04:43,Cardio,,337.0,40.27,151.0,185.0,,,,,,,,,-7.0
Strength Training,2026-06-11 22:12:28,Strength,,325.0,50.38,132.0,169.0,,,,,,150.0,108.0,12.0,-8.0
Yoga,2026-06-11 22:02:12,Yoga,,83.0,10.17,140.0,161.0,,,,,,,,1.0,-7.0
Cardio,2026-06-08 23:19:46,Cardio,,118.0,15.25,138.0,169.0,,,,,,,,,-2.0
Strength Training,2026-06-08 22:40:45,Strength,,213.0,31.38,132.0,169.0,,,,,,200.0,100.0,12.0,-3.0
Yoga,2026-06-08 22:30:27,Yoga,,78.0,10.2,135.0,166.0,,,,,,,,3.0,-1.0
Cardio,2026-06-07 21:08:26,Cardio,,238.0,30.15,143.0,172.0,,,,,,,,,-5.0
Strength Training,2026-06-07 20:21:30,Strength,,290.0,44.13,134.0,185.0,,,,,,304.0,152.0,19.0,-6.0
Yoga,2026-06-07 20:17:15,Yoga,,34.0,4.07,139.0,153.0,,,,,,,,1.0,-2.0
Running,2026-06-06 20:11:05,Monterey County Running,1.23,153.0,28.58,114.0,164.0,,,51.0,120.0,1.01,,,,-1.0
Cardio,2026-06-05 21:04:08,Cardio,,275.0,30.22,153.0,178.0,,,,,,,,,-4.0
Strength Training,2026-06-05 20:22:26,Strength,,285.0,41.55,136.0,182.0,,,,,,82.0,75.0,9.0,-5.0
Yoga,2026-06-05 20:18:04,Yoga,,11.0,3.63,95.0,109.0,,,,,,,,2.0,
Strength Training,2026-06-04 17:44:04,Strength,,104.0,14.05,132.0,185.0,,,,,,124.0,62.0,6.0,-2.0
Yoga,2026-06-04 17:38:20,Yoga,,40.0,4.83,138.0,154.0,,,,,,,,1.0,-1.0
Cardio,2026-06-04 17:00:40,Cardio,,337.0,35.0,162.0,201.0,,,,,,,,,-8.0
Yoga,2026-06-04 16:56:17,Yoga,,39.0,4.25,150.0,169.0,,,,,,,,2.0,-1.0
Cardio,2026-06-02 22:55:55,Cardio,,281.0,31.43,152.0,187.0,,,,,,,,,-5.0
Strength Training,2026-06-02 21:52:46,Strength,,359.0,59.38,132.0,170.0,,,,,,290.0,155.0,13.0,-6.0
Yoga,2026-06-02 21:47:38,Yoga,,27.0,4.39,122.0,160.0,,,,,,,,1.0,
Mixed Martial Arts,2026-06-01 16:28:56,Mixed Martial Arts,,405.0,113.73,102.0,152.0,,,,,,,,,-6.0
