neck,shoulder,chest,waist,abdomen,hip,left_bicep,right_bicep,left_thigh,right_thigh,left_calf,right_calf,underboob,left_bicep_flex,right_bicep_flex,date
12.13,39.77,40.9,32.89,38.04,42.6,10.46,10.99,23.65,23.45,14.31,14.4,35.72,12.07,12.19,2026-06-25
13.21,41.72,42.25,33.24,38.54,43.26,11.5,11.49,25.44,24.95,14.94,15.06,35.81,13.19,12.82,2026-06-12
13.26,40.33,42.09,33.54,38.72,43.77,11.29,11.42,25.21,24.92,15.81,15.34,35.61,13.24,13.17,2026-06-10
12.31,40.22,40.61,31.73,37.79,42.01,10.92,10.4,24.29,23.81,14.11,14.22,34.65,12.26,12.03,2026-04-28
12.65,41.84,41.7,31.73,38.1,43.72,11.91,11.78,25.16,25.08,15.19,15.12,NULL,NULL,NULL,2025-10-14
13.06,42,43.3,32.53,38.75,44.41,12.88,12.19,28.79,26.14,15.35,15.29,NULL,NULL,NULL,2025-08-02
13.06,42,43.3,32.53,38.75,44.41,12.88,12.19,26.79,26.14,15.53,15.29,NULL,NULL,NULL,2025-07-30
12.78,41.9,41.04,31.68,38.09,43.49,12.38,11.84,26.41,25.34,15.48,15.05,NULL,NULL,NULL,2025-02-21
13.29,43.45,42.65,32.61,38.07,44.35,12.87,12.96,26.56,25.95,15.8,15.72,NULL,NULL,NULL,2025-02-05
13.49,43.27,42.29,32.19,39.69,44.31,13.62,13.56,25.63,25.46,15.61,15.46,NULL,NULL,NULL,2024-11-23
13.85,44.12,42.48,34.33,40.67,46.17,14.67,14.57,25.57,26.18,15.84,15.81,NULL,NULL,NULL,2024-09-28
NULL,NULL,NULL,35.52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-09-13
NULL,NULL,NULL,35.81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-08-28
NULL,NULL,NULL,35.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-04-01
13.05,NULL,44.5,36,41,45.05,12.03,13.7,27,27,16,15.5,38,13.06,13.06,2023-09-29
NULL,NULL,44,36.02,41.6,46,15.5,15.5,NULL,NULL,NULL,NULL,37.6,NULL,NULL,2023-09-13
NULL,NULL,NULL,36.06,41.03,45.05,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,2023-08-31
13,NULL,41.5,32.5,NULL,43,12.8,12.8,26,26,15.5,NULL,36,NULL,NULL,2023-08-30
NULL,NULL,NULL,35.7,40.7,45,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,2023-08-22
NULL,NULL,44.6,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2023-07-01
NULL,NULL,NULL,33.3,38.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37.5,NULL,NULL,2022-09-25
