Date,Measurement,Value
2019-04-24,Hip Size,40.6
2019-04-24,Waist size,33.1
2019-04-24,Chest size,41.0
2019-04-24,Thigh size,26.0
2019-06-23,Hip Size,39.8
2019-06-23,Waist size,34.2
2019-06-23,Chest size,40.0
2019-06-23,Thigh size,26.0
2019-07-04,Body Weight,176.9
2019-07-08,Body Weight,176.6
2019-07-09,Body Weight,175.8
2019-07-11,Body Weight,173.8
2019-07-12,Body Weight,173.6
2019-07-19,Body Weight,175.2
2019-07-24,Body Weight,174.8
2019-07-25,Body Weight,174.2
2019-07-26,Body Weight,174.2
2019-07-27,Body Weight,176.5
2019-07-29,Body Weight,174.0
2019-07-31,Body Weight,173.2
2019-11-12,Body Weight,171.8
2019-11-12,Hip Size,40.0
2019-11-12,Waist size,32.5
2019-11-12,Chest size,39.0
2019-11-12,Thigh size,26.0
2021-07-28,Body Weight,190.0
2021-08-28,Body Weight,191.2
2021-09-09,Hip Size,42.5
2021-09-09,Waist size,34.0
2021-09-09,Chest size,43.0
2021-09-09,Thigh size,27.3
2021-09-29,Body Weight,189.0
