Date,Measurement,Value
2019-04-18,Daily Steps Count,5493.0
2019-04-19,Daily Steps Count,13674.0
2019-04-20,Daily Steps Count,3359.0
2019-04-21,Daily Steps Count,11183.0
2019-04-22,Daily Steps Count,5918.0
2019-04-23,Daily Steps Count,11479.0
2019-04-24,Daily Steps Count,7873.0
2019-04-25,Daily Steps Count,8615.0
2019-04-26,Daily Steps Count,7447.0
2019-04-27,Daily Steps Count,436.0
2019-04-28,Daily Steps Count,1958.0
2019-04-29,Daily Steps Count,12519.0
2019-04-30,Daily Steps Count,9803.0
2019-06-09,Daily Steps Count,27.0
2019-06-10,Daily Steps Count,7584.0
2019-06-11,Daily Steps Count,10248.0
2019-06-12,Daily Steps Count,67.0
2019-06-13,Daily Steps Count,2483.0
2019-06-14,Daily Steps Count,1984.0
2019-06-15,Daily Steps Count,6796.0
2019-06-16,Daily Steps Count,489.0
2019-06-17,Daily Steps Count,3236.0
2019-06-18,Daily Steps Count,7893.0
2019-06-19,Daily Steps Count,2196.0
2019-06-20,Daily Steps Count,2229.0
2019-06-21,Daily Steps Count,3952.0
2019-06-22,Daily Steps Count,10182.0
2019-06-23,Daily Steps Count,5621.0
2019-06-24,Daily Steps Count,11251.0
2019-06-25,Daily Steps Count,6718.0
2019-06-26,Daily Steps Count,2078.0
2019-06-27,Daily Steps Count,7443.0
2019-06-28,Daily Steps Count,5270.0
2019-06-29,Daily Steps Count,2901.0
2019-06-30,Daily Steps Count,4499.0
2019-07-01,Daily Steps Count,6523.0
2019-07-02,Daily Steps Count,3428.0
2019-07-03,Daily Steps Count,7715.0
2019-07-04,Daily Steps Count,2952.0
2019-07-05,Daily Steps Count,5972.0
2019-07-06,Daily Steps Count,4216.0
2019-07-07,Daily Steps Count,3252.0
2019-07-08,Daily Steps Count,6673.0
2019-07-09,Daily Steps Count,4340.0
2019-07-10,Daily Steps Count,8411.0
2019-07-11,Daily Steps Count,8167.0
2019-07-12,Daily Steps Count,5119.0
2019-07-13,Daily Steps Count,4538.0
2019-07-14,Daily Steps Count,3537.0
2019-07-15,Daily Steps Count,3210.0
2019-07-16,Daily Steps Count,7056.0
2019-07-17,Daily Steps Count,5264.0
2019-07-18,Daily Steps Count,10274.0
2019-07-19,Daily Steps Count,8558.0
2019-07-20,Daily Steps Count,5627.0
2019-07-21,Daily Steps Count,10108.0
2019-07-22,Daily Steps Count,4518.0
2019-07-23,Daily Steps Count,10085.0
2019-07-24,Daily Steps Count,6022.0
2019-07-25,Daily Steps Count,8503.0
2019-07-26,Daily Steps Count,3676.0
2019-07-27,Daily Steps Count,8065.0
2019-07-28,Daily Steps Count,5669.0
2019-07-29,Daily Steps Count,5076.0
2019-07-30,Daily Steps Count,7641.0
2019-07-31,Daily Steps Count,7369.0
2019-08-01,Daily Steps Count,5232.0
2019-08-02,Daily Steps Count,5856.0
2019-08-03,Daily Steps Count,11137.0
2019-08-04,Daily Steps Count,4688.0
2019-08-05,Daily Steps Count,9768.0
2019-08-06,Daily Steps Count,6660.0
2019-08-07,Daily Steps Count,6209.0
2019-08-08,Daily Steps Count,3109.0
2019-08-09,Daily Steps Count,9607.0
2019-08-10,Daily Steps Count,4498.0
2019-08-11,Daily Steps Count,3449.0
2019-09-02,Daily Steps Count,6973.0
2019-09-03,Daily Steps Count,7299.0
2019-09-04,Daily Steps Count,3378.0
2019-09-05,Daily Steps Count,5380.0
2019-09-06,Daily Steps Count,9210.0
2019-09-07,Daily Steps Count,2881.0
2019-09-08,Daily Steps Count,2363.0
2019-09-24,Daily Steps Count,9568.0
2019-09-25,Daily Steps Count,6766.0
2019-09-26,Daily Steps Count,4848.0
2019-09-27,Daily Steps Count,10019.0
2019-09-28,Daily Steps Count,3956.0
2019-09-29,Daily Steps Count,431.0
2019-09-30,Daily Steps Count,399.0
2019-11-06,Daily Steps Count,4668.0
2019-11-07,Daily Steps Count,3946.0
2019-11-08,Daily Steps Count,9970.0
2019-11-09,Daily Steps Count,3610.0
2019-11-10,Daily Steps Count,1802.0
2019-11-11,Daily Steps Count,7067.0
2019-11-12,Daily Steps Count,8987.0
2019-11-13,Daily Steps Count,3867.0
2019-11-14,Daily Steps Count,12190.0
2019-11-15,Daily Steps Count,6318.0
2019-11-16,Daily Steps Count,3238.0
2019-11-17,Daily Steps Count,2382.0
2019-11-18,Daily Steps Count,1243.0
2019-11-19,Daily Steps Count,647.0
2019-11-20,Daily Steps Count,294.0
2021-02-13,Daily Steps Count,5701.0
2021-02-14,Daily Steps Count,3538.0
2021-02-15,Daily Steps Count,2249.0
2021-02-16,Daily Steps Count,2438.0
2021-02-17,Daily Steps Count,6201.0
2021-02-18,Daily Steps Count,8210.0
2021-02-19,Daily Steps Count,32.0
2021-07-22,Daily Steps Count,532.0
2021-07-23,Daily Steps Count,8601.0
2021-07-24,Daily Steps Count,4159.0
2021-07-25,Daily Steps Count,6152.0
2021-07-26,Daily Steps Count,6222.0
2021-07-27,Daily Steps Count,9977.0
2021-07-28,Daily Steps Count,8885.0
2021-07-29,Daily Steps Count,5079.0
2021-07-30,Daily Steps Count,15067.0
2021-07-31,Daily Steps Count,1108.0
2021-08-01,Daily Steps Count,2891.0
2021-08-02,Daily Steps Count,6644.0
2021-08-03,Daily Steps Count,5938.0
2021-08-04,Daily Steps Count,2666.0
2021-08-05,Daily Steps Count,6965.0
2021-08-06,Daily Steps Count,6233.0
2021-08-07,Daily Steps Count,2503.0
2021-08-22,Daily Steps Count,4009.0
2021-08-23,Daily Steps Count,4189.0
2021-08-24,Daily Steps Count,2193.0
2021-08-25,Daily Steps Count,4215.0
2021-08-26,Daily Steps Count,1749.0
2021-08-27,Daily Steps Count,11240.0
2021-08-28,Daily Steps Count,9671.0
2021-08-29,Daily Steps Count,9953.0
2021-08-30,Daily Steps Count,12557.0
2021-08-31,Daily Steps Count,11726.0
2021-09-01,Daily Steps Count,10853.0
2021-09-02,Daily Steps Count,11622.0
2021-09-03,Daily Steps Count,10053.0
2021-09-04,Daily Steps Count,9081.0
2021-09-05,Daily Steps Count,7974.0
2021-09-06,Daily Steps Count,14479.0
2021-09-07,Daily Steps Count,9706.0
2021-09-08,Daily Steps Count,18076.0
2021-09-09,Daily Steps Count,11889.0
2021-09-10,Daily Steps Count,10449.0
2021-09-11,Daily Steps Count,6747.0
2021-09-12,Daily Steps Count,13274.0
2021-09-13,Daily Steps Count,11746.0
2021-09-14,Daily Steps Count,1745.0
2021-09-15,Daily Steps Count,13152.0
2021-09-16,Daily Steps Count,11183.0
2021-09-17,Daily Steps Count,6408.0
2021-09-18,Daily Steps Count,6576.0
2021-09-19,Daily Steps Count,13379.0
2021-09-20,Daily Steps Count,6690.0
2021-09-21,Daily Steps Count,13022.0
2021-09-22,Daily Steps Count,14526.0
2021-09-23,Daily Steps Count,3714.0
2021-09-24,Daily Steps Count,12299.0
2021-09-25,Daily Steps Count,6975.0
2021-09-26,Daily Steps Count,2801.0
2021-09-27,Daily Steps Count,8528.0
2021-09-28,Daily Steps Count,11467.0
2021-09-29,Daily Steps Count,10219.0
2021-09-30,Daily Steps Count,10870.0
2021-10-01,Daily Steps Count,6104.0
2021-10-02,Daily Steps Count,6422.0
2021-10-03,Daily Steps Count,8135.0
2021-10-04,Daily Steps Count,5392.0
2021-10-05,Daily Steps Count,9366.0
2021-10-06,Daily Steps Count,5515.0
2021-10-07,Daily Steps Count,5701.0
2021-10-08,Daily Steps Count,9641.0
2021-10-09,Daily Steps Count,8543.0
2021-10-10,Daily Steps Count,5337.0
