PR_ID,Date,"Activity Type",Reps,Weight_lb,Date_Mass,Mass_lb,BodyMass_Days_Apart
21,2026-06-27,Deadlift,6,225,2019-03-04,177,2672
20,2026-06-25,"Hip Thrust",6,315,2019-03-04,177,2670
19,2026-01-29,"Hip Thrust",3,315,2019-03-04,177,2523
18,2025-08-31,"Chest Press",3,135,2019-03-04,177,2372
17,2025-08-10,"Chest Press Machine",3,160,2019-03-04,177,2351
16,2025-08-07,"Leg Press",10,507,2019-03-04,177,2348
15,2025-07-19,Deadlift,3,225,2019-03-04,177,2329
14,2025-06-29,Squat,7,235,2019-03-04,177,2309
13,2025-06-16,"Leg Abductor",10,250,2019-03-04,177,2296
12,2025-02-25,"Chest Press",3,45,2019-03-04,177,2185
11,2024-12-11,"Leg Press",10,435,2019-03-04,177,2109
10,2024-11-07,Deadlift,10,205,2019-03-04,177,2075
9,2024-11-07,"Barbell Curl",10,20,2019-03-04,177,2075
8,2024-11-07,"Chest Press",10,40,2019-03-04,177,2075
7,2024-11-07,"Shoulder Press",10,35,2019-03-04,177,2075
6,2023-12-11,"Leg Press",10,435,2019-03-04,177,1743
5,2023-08-03,"Lat Pulldown",6,110,2019-03-04,177,1613
4,2022-11-30,"Lat Pulldown",10,100,2019-03-04,177,1367
3,2022-09-25,"Lat Pulldown",10,90,2019-03-04,177,1301
2,2022-09-25,Deadlift,3,184,2019-03-04,177,1301
1,2022-08-10,"Leg Press",10,200,2019-03-04,177,1255
21,2026-06-27,Deadlift,6,225,2019-07-04,176.899,2550
20,2026-06-25,"Hip Thrust",6,315,2019-07-04,176.899,2548
19,2026-01-29,"Hip Thrust",3,315,2019-07-04,176.899,2401
18,2025-08-31,"Chest Press",3,135,2019-07-04,176.899,2250
17,2025-08-10,"Chest Press Machine",3,160,2019-07-04,176.899,2229
16,2025-08-07,"Leg Press",10,507,2019-07-04,176.899,2226
15,2025-07-19,Deadlift,3,225,2019-07-04,176.899,2207
14,2025-06-29,Squat,7,235,2019-07-04,176.899,2187
13,2025-06-16,"Leg Abductor",10,250,2019-07-04,176.899,2174
12,2025-02-25,"Chest Press",3,45,2019-07-04,176.899,2063
11,2024-12-11,"Leg Press",10,435,2019-07-04,176.899,1987
10,2024-11-07,Deadlift,10,205,2019-07-04,176.899,1953
9,2024-11-07,"Barbell Curl",10,20,2019-07-04,176.899,1953
8,2024-11-07,"Chest Press",10,40,2019-07-04,176.899,1953
7,2024-11-07,"Shoulder Press",10,35,2019-07-04,176.899,1953
6,2023-12-11,"Leg Press",10,435,2019-07-04,176.899,1621
5,2023-08-03,"Lat Pulldown",6,110,2019-07-04,176.899,1491
4,2022-11-30,"Lat Pulldown",10,100,2019-07-04,176.899,1245
3,2022-09-25,"Lat Pulldown",10,90,2019-07-04,176.899,1179
2,2022-09-25,Deadlift,3,184,2019-07-04,176.899,1179
