date,unit,value
2019-03-04,Cal,498.69
2019-03-05,Cal,502.9
2019-03-06,Cal,318.1
2019-03-07,Cal,310.33
2019-03-08,Cal,449.78
2019-03-09,Cal,211.51
2019-03-10,Cal,767.2
2019-03-11,Cal,629.68
2019-03-12,Cal,384.39
2019-03-13,Cal,571.16
2019-03-14,Cal,526.79
2019-03-15,Cal,478.02
2019-03-16,Cal,548.65
2019-03-18,Cal,622.81
2019-03-19,Cal,677.45
2019-03-20,Cal,565.32
2019-03-21,Cal,224.94
2019-03-22,Cal,561.73
2019-03-23,Cal,371.6
2019-03-24,Cal,0.59
2019-03-25,Cal,838.55
2019-03-26,Cal,746.86
2019-03-27,Cal,180.48
2019-03-28,Cal,593.39
2019-03-29,Cal,1126.54
2019-03-30,Cal,393.99
2019-04-01,Cal,482.94
2019-04-02,Cal,918.91
2019-04-03,Cal,951.26
2019-04-04,Cal,378.23
2019-04-05,Cal,460.55
2019-04-06,Cal,565.74
2019-04-07,Cal,637.12
2019-04-08,Cal,497.07
2019-04-10,Cal,242.18
2019-04-11,Cal,537.79
2019-04-12,Cal,652.74
2019-04-13,Cal,646.09
2019-04-14,Cal,294.66
2019-04-15,Cal,524.19
2019-04-16,Cal,815.27
2019-04-17,Cal,666.54
2019-04-18,Cal,480.52
2019-04-19,Cal,803.7
2019-04-20,Cal,232.75
2019-04-21,Cal,735.11
2019-04-22,Cal,336.55
2019-04-23,Cal,702.15
2019-04-24,Cal,637.22
2019-04-25,Cal,572.09
2019-04-26,Cal,534.83
2019-04-27,Cal,52.89
2019-04-28,Cal,253.24
2019-04-29,Cal,734.63
2019-04-30,Cal,672.71
2019-05-01,Cal,590.53
2019-05-02,Cal,834.43
2019-05-03,Cal,425.4
2019-05-04,Cal,397.32
2019-05-05,Cal,280.2
2019-05-06,Cal,523.09
2019-05-07,Cal,0.41
2019-05-08,Cal,799.55
2019-05-09,Cal,836.88
2019-05-10,Cal,433.02
2019-05-11,Cal,430.6
2019-05-12,Cal,278.28
2019-05-13,Cal,453.88
2019-05-14,Cal,908.75
2019-05-15,Cal,271.2
2019-05-16,Cal,0.35
2019-05-17,Cal,160.12
2019-05-18,Cal,308.9
2019-05-19,Cal,0.77
2019-05-20,Cal,425.58
2019-05-21,Cal,603.55
2019-05-22,Cal,327.81
2019-05-23,Cal,278.72
2019-05-24,Cal,330.0
2019-05-25,Cal,12.63
2019-05-26,Cal,7.07
2019-05-27,Cal,139.36
2019-05-28,Cal,625.23
2019-05-29,Cal,108.25
2019-05-30,Cal,279.29
2019-05-31,Cal,0.54
2019-06-01,Cal,502.15
2019-06-02,Cal,0.51
2019-06-03,Cal,1015.25
2019-06-04,Cal,397.06
2019-06-05,Cal,439.89
2019-06-06,Cal,661.66
2019-06-07,Cal,472.33
