date,unit,value
2019-03-04,min,10
2019-03-05,min,19
2019-03-06,min,18
2019-03-07,min,8
2019-03-08,min,12
2019-03-09,min,5
2019-03-10,min,47
2019-03-11,min,21
2019-03-12,min,15
2019-03-13,min,33
2019-03-14,min,17
2019-03-15,min,5
2019-03-16,min,6
2019-03-18,min,35
2019-03-19,min,40
2019-03-20,min,22
2019-03-21,min,4
2019-03-22,min,7
2019-03-23,min,3
2019-03-25,min,52
2019-03-26,min,46
2019-03-27,min,5
2019-03-28,min,58
2019-03-29,min,83
2019-04-01,min,6
2019-04-02,min,46
2019-04-03,min,64
2019-04-04,min,18
2019-04-05,min,4
2019-04-06,min,6
2019-04-07,min,56
2019-04-08,min,12
2019-04-10,min,3
2019-04-11,min,15
2019-04-12,min,31
2019-04-13,min,9
2019-04-14,min,5
2019-04-15,min,16
2019-04-16,min,52
2019-04-17,min,29
2019-04-18,min,12
2019-04-19,min,49
2019-04-20,min,5
2019-04-21,min,36
2019-04-22,min,8
2019-04-23,min,31
2019-04-24,min,54
2019-04-25,min,44
2019-04-26,min,11
2019-04-29,min,40
2019-04-30,min,47
2019-05-01,min,48
2019-05-02,min,51
2019-05-03,min,1
2019-05-06,min,6
2019-05-08,min,42
2019-05-09,min,43
2019-05-10,min,1
2019-05-11,min,3
2019-05-13,min,5
2019-05-14,min,52
2019-05-17,min,3
2019-05-18,min,5
2019-05-20,min,2
2019-05-21,min,48
2019-05-22,min,1
2019-05-23,min,5
2019-05-24,min,4
2019-05-28,min,42
2019-05-30,min,11
2019-06-01,min,3
2019-06-03,min,57
2019-06-04,min,10
2019-06-05,min,2
2019-06-06,min,57
2019-06-07,min,44
2019-06-08,min,2
2019-06-10,min,43
2019-06-11,min,50
2019-06-15,min,37
2019-06-17,min,15
2019-06-18,min,31
2019-06-20,min,1
2019-06-22,min,41
2019-06-24,min,63
2019-06-25,min,15
2019-06-27,min,20
2019-06-28,min,69
2019-06-29,min,2
2019-06-30,min,12
2019-07-01,min,75
2019-07-03,min,55
2019-07-04,min,1
2019-07-05,min,7
2019-07-07,min,4
2019-07-08,min,14
2019-07-09,min,2
2019-07-10,min,36
2019-07-11,min,30
2019-07-12,min,3
2019-07-13,min,4
2019-07-15,min,4
2019-07-16,min,42
2019-07-17,min,3
2019-07-18,min,38
2019-07-19,min,11
2019-07-21,min,52
2019-07-22,min,8
2019-07-23,min,37
2019-07-24,min,5
2019-07-25,min,34
2019-07-26,min,5
2019-07-27,min,41
2019-07-28,min,15
2019-07-29,min,2
2019-07-30,min,38
2019-07-31,min,25
2019-08-01,min,12
2019-08-02,min,4
2019-08-03,min,63
2019-08-04,min,22
2019-08-05,min,41
2019-08-06,min,6
2019-08-07,min,30
2019-08-08,min,1
2019-08-09,min,16
2019-08-10,min,1
2019-08-11,min,8
2019-08-12,min,11
2019-08-13,min,13
2019-08-14,min,2
2019-08-15,min,13
2019-08-16,min,12
2019-08-17,min,3
2019-08-18,min,1
2019-08-19,min,34
2019-08-20,min,16
2019-08-21,min,21
2019-08-23,min,37
2019-08-24,min,34
2019-08-25,min,2
2019-08-26,min,47
2019-08-27,min,12
2019-08-28,min,15
2019-08-29,min,7
2019-08-30,min,54
2019-08-31,min,13
2019-09-01,min,1
2019-09-02,min,3
2019-09-03,min,24
2019-09-04,min,4
2019-09-05,min,6
