date,unit,value
2019-03-04,Cal,1849.24
2019-03-05,Cal,1819.13
2019-03-06,Cal,1674.97
2019-03-07,Cal,1699.74
2019-03-08,Cal,1847.44
2019-03-09,Cal,1644.53
2019-03-10,Cal,1727.76
2019-03-11,Cal,1836.17
2019-03-12,Cal,1751.37
2019-03-13,Cal,1757.25
2019-03-14,Cal,1858.88
2019-03-15,Cal,1810.14
2019-03-16,Cal,1905.09
2019-03-17,Cal,1486.76
2019-03-18,Cal,1864.48
2019-03-19,Cal,1747.72
2019-03-20,Cal,1882.01
2019-03-21,Cal,1679.72
2019-03-22,Cal,1900.78
2019-03-23,Cal,1843.53
2019-03-24,Cal,1442.27
2019-03-25,Cal,1798.18
2019-03-26,Cal,1733.47
2019-03-27,Cal,1585.89
2019-03-28,Cal,1714.87
2019-03-29,Cal,1928.69
2019-03-30,Cal,1796.04
2019-03-31,Cal,1509.57
2019-04-01,Cal,1841.18
2019-04-02,Cal,1891.7
2019-04-03,Cal,1860.13
2019-04-04,Cal,1735.7
2019-04-05,Cal,1874.08
2019-04-06,Cal,1920.02
2019-04-07,Cal,1780.8
2019-04-08,Cal,1869.53
2019-04-09,Cal,1462.85
2019-04-10,Cal,1620.99
2019-04-11,Cal,1906.23
2019-04-12,Cal,1887.43
2019-04-13,Cal,1936.36
2019-04-14,Cal,1737.78
2019-04-15,Cal,1795.85
2019-04-16,Cal,1908.24
2019-04-17,Cal,1897.44
2019-04-18,Cal,1880.7
2019-04-19,Cal,1843.8
2019-04-20,Cal,1634.89
2019-04-21,Cal,1843.49
2019-04-22,Cal,1745.03
2019-04-23,Cal,1958.65
2019-04-24,Cal,1794.42
2019-04-25,Cal,1892.97
2019-04-26,Cal,1845.06
2019-04-27,Cal,1525.32
2019-04-28,Cal,1738.92
2019-04-29,Cal,1890.01
2019-04-30,Cal,1783.88
2019-05-01,Cal,1752.65
2019-05-02,Cal,1822.4
2019-05-03,Cal,1797.22
2019-05-04,Cal,1760.7
2019-05-05,Cal,1753.24
2019-05-06,Cal,1853.79
2019-05-07,Cal,1479.62
2019-05-08,Cal,1849.94
2019-05-09,Cal,1861.29
2019-05-10,Cal,1780.38
2019-05-11,Cal,1797.09
2019-05-12,Cal,1743.83
2019-05-13,Cal,1799.59
2019-05-14,Cal,1883.11
2019-05-15,Cal,1680.99
2019-05-16,Cal,1469.99
2019-05-17,Cal,1577.77
2019-05-18,Cal,1701.87
2019-05-19,Cal,1541.06
2019-05-20,Cal,1823.37
2019-05-21,Cal,1579.57
2019-05-22,Cal,1783.32
2019-05-23,Cal,1694.47
2019-05-24,Cal,1698.82
2019-05-25,Cal,1484.08
2019-05-26,Cal,1480.09
2019-05-27,Cal,1590.04
2019-05-28,Cal,1667.08
2019-05-29,Cal,1588.05
2019-05-30,Cal,1700.1
2019-05-31,Cal,1458.89
2019-06-01,Cal,1839.11
2019-06-02,Cal,1467.69
2019-06-03,Cal,1907.6
2019-06-04,Cal,1766.65
2019-06-05,Cal,1851.94
2019-06-06,Cal,1616.6
2019-06-07,Cal,1573.84
2019-06-08,Cal,1499.08
2019-06-09,Cal,1479.46
2019-06-10,Cal,1618.54
2019-06-11,Cal,1836.1
2019-06-12,Cal,1463.86
2019-06-13,Cal,1466.48
2019-06-14,Cal,1740.37
2019-06-15,Cal,1522.1
2019-06-16,Cal,1460.18
2019-06-17,Cal,1539.69
2019-06-18,Cal,1877.55
2019-06-19,Cal,1692.68
2019-06-20,Cal,1701.2
2019-06-21,Cal,1752.43
2019-06-22,Cal,1574.74
2019-06-23,Cal,1733.17
2019-06-24,Cal,1835.62
2019-06-25,Cal,1801.01
2019-06-26,Cal,1727.62
2019-06-27,Cal,1788.66
2019-06-28,Cal,1541.67
2019-06-29,Cal,1825.22
2019-06-30,Cal,1571.7
2019-07-01,Cal,1847.96
2019-07-02,Cal,1734.53
2019-07-03,Cal,1558.56
2019-07-04,Cal,1678.14
2019-07-05,Cal,1672.9
2019-07-06,Cal,1782.68
2019-07-07,Cal,1686.88
2019-07-08,Cal,1839.24
2019-07-09,Cal,1883.33
2019-07-10,Cal,1792.91
2019-07-11,Cal,1907.0
2019-07-12,Cal,1925.09
2019-07-13,Cal,1876.68
2019-07-14,Cal,1777.82
2019-07-15,Cal,1864.88
2019-07-16,Cal,1679.59
2019-07-17,Cal,1813.35
2019-07-18,Cal,1951.65
2019-07-19,Cal,1858.17
2019-07-20,Cal,1673.89
2019-07-21,Cal,1772.65
2019-07-22,Cal,1932.95
2019-07-23,Cal,1884.68
2019-07-24,Cal,1816.49
2019-07-25,Cal,1849.3
2019-07-26,Cal,1778.1
2019-07-27,Cal,1666.05
2019-07-28,Cal,1774.86
2019-07-29,Cal,1719.49
2019-07-30,Cal,1734.31
2019-07-31,Cal,1951.76
2019-08-01,Cal,2303.74
2019-08-02,Cal,1901.99
2019-08-03,Cal,1884.82
2019-08-04,Cal,1533.59
2019-08-05,Cal,1797.68
2019-08-06,Cal,1974.38
2019-08-07,Cal,1494.4
2019-08-08,Cal,1773.99
2019-08-09,Cal,1820.11
2019-08-10,Cal,1455.7
2019-08-11,Cal,1598.67
2019-08-12,Cal,1658.9
2019-08-13,Cal,1851.96
2019-08-14,Cal,1706.26
2019-08-15,Cal,1773.48
2019-08-16,Cal,1741.2
2019-08-17,Cal,1455.85
2019-08-18,Cal,1567.25
2019-08-19,Cal,1706.26
2019-08-20,Cal,1913.4
2019-08-21,Cal,1912.28
2019-08-22,Cal,1508.82
2019-08-23,Cal,1547.92
2019-08-24,Cal,1793.93
2019-08-25,Cal,1439.06
2019-08-26,Cal,1691.21
2019-08-27,Cal,1723.31
2019-08-28,Cal,1676.19
2019-08-29,Cal,1835.26
2019-08-30,Cal,1824.99
2019-08-31,Cal,1805.0
2019-09-01,Cal,1465.65
2019-09-02,Cal,1472.49
2019-09-03,Cal,1890.72
2019-09-04,Cal,1754.72
2019-09-05,Cal,1839.55
2019-09-06,Cal,1664.08
2019-09-07,Cal,1519.65
2019-09-08,Cal,1442.08
2019-09-09,Cal,1670.72
2019-09-10,Cal,1832.2
2019-09-11,Cal,1670.24
2019-09-12,Cal,1806.6
2019-09-13,Cal,1794.27
2019-09-14,Cal,1467.14
2019-09-15,Cal,1458.18
2019-09-16,Cal,1656.52
2019-09-17,Cal,1776.79
2019-09-18,Cal,1718.14
2019-09-19,Cal,1770.59
2019-09-20,Cal,1664.3
2019-09-21,Cal,1503.02
2019-09-22,Cal,1454.93
2019-09-23,Cal,1730.67
2019-09-24,Cal,1913.98
2019-09-25,Cal,1516.39
2019-09-26,Cal,1830.92
2019-09-27,Cal,1858.83
2019-09-28,Cal,1784.38
2019-09-29,Cal,1467.45
2019-09-30,Cal,1568.03
2019-10-01,Cal,1468.34
2019-10-02,Cal,1455.07
2019-10-03,Cal,1457.08
2019-10-04,Cal,1461.73
2019-10-05,Cal,1460.21
2019-10-06,Cal,1580.58
2019-10-07,Cal,1734.55
2019-10-08,Cal,1857.23
2019-10-09,Cal,1615.16
2019-10-10,Cal,1456.84
2019-10-11,Cal,1781.48
2019-10-12,Cal,1453.78
2019-10-13,Cal,1607.85
2019-10-14,Cal,1758.35
2019-10-15,Cal,1781.69
2019-10-16,Cal,1486.08
2019-10-17,Cal,1511.71
2019-10-18,Cal,1897.72
2019-10-19,Cal,1667.86
2019-10-20,Cal,1728.95
2019-10-21,Cal,1628.02
2019-10-22,Cal,1682.39
2019-10-23,Cal,1667.83
2019-10-24,Cal,1720.34
2019-10-25,Cal,1766.31
2019-10-26,Cal,1776.45
2019-10-27,Cal,1580.12
2019-10-28,Cal,1816.12
2019-10-29,Cal,1902.69
2019-10-30,Cal,1547.3
2019-10-31,Cal,1867.72
2019-11-01,Cal,1704.45
2019-11-02,Cal,1694.11
2019-11-03,Cal,1437.29
2019-11-04,Cal,1649.82
2019-11-05,Cal,1876.76
2019-11-06,Cal,1728.07
2019-11-07,Cal,1702.12
2019-11-08,Cal,1694.07
2019-11-09,Cal,1690.79
2019-11-10,Cal,1497.87
2019-11-11,Cal,1543.95
2019-11-12,Cal,1983.54
2019-11-13,Cal,1462.99
2019-11-14,Cal,1825.97
2019-11-15,Cal,1772.03
2019-11-16,Cal,1446.9
2019-11-17,Cal,1530.2
2019-11-18,Cal,1505.62
2019-11-19,Cal,1505.62
2019-11-20,Cal,1610.0
2019-11-21,Cal,1691.73
2019-11-22,Cal,1948.27
2019-11-23,Cal,1721.94
2019-11-24,Cal,1473.14
2019-11-25,Cal,1786.84
2019-11-26,Cal,1886.71
2019-11-27,Cal,1645.56
2019-11-28,Cal,1572.03
2019-11-29,Cal,1441.16
2019-11-30,Cal,1572.17
2019-12-01,Cal,1669.76
2019-12-02,Cal,1836.65
2019-12-03,Cal,1800.4
2019-12-04,Cal,1843.18
2019-12-05,Cal,596.73
2019-12-06,Cal,1213.74
2019-12-07,Cal,1472.51
2019-12-08,Cal,1730.63
2019-12-09,Cal,1630.83
2019-12-10,Cal,1754.39
2019-12-11,Cal,2002.45
2019-12-12,Cal,1834.45
2019-12-13,Cal,1782.86
2019-12-14,Cal,1892.84
2019-12-15,Cal,1521.63
2019-12-16,Cal,1771.43
2019-12-17,Cal,1770.53
2019-12-18,Cal,1840.35
2019-12-19,Cal,1818.38
2019-12-20,Cal,1447.38
2019-12-21,Cal,1781.54
2019-12-22,Cal,1749.12
2019-12-23,Cal,1803.27
2019-12-24,Cal,1761.53
2019-12-25,Cal,1527.14
2019-12-26,Cal,1763.05
2019-12-27,Cal,1856.22
2019-12-28,Cal,1826.96
2019-12-29,Cal,1643.54
2019-12-30,Cal,1609.56
2019-12-31,Cal,1752.58
2020-01-01,Cal,1683.16
2020-01-02,Cal,1915.62
2020-01-03,Cal,1968.56
2020-01-04,Cal,1802.08
2020-01-05,Cal,1759.91
2020-01-06,Cal,1857.89
2020-01-07,Cal,1919.61
2020-01-08,Cal,1600.67
2020-01-09,Cal,1755.73
2020-01-10,Cal,1847.2
2020-01-11,Cal,1722.76
2020-01-12,Cal,1527.22
2020-01-13,Cal,1601.61
2020-01-14,Cal,1715.07
2020-01-15,Cal,1663.5
2020-01-16,Cal,1824.96
2020-01-17,Cal,1457.35
2020-01-18,Cal,1795.51
2020-01-19,Cal,1441.76
2020-01-20,Cal,1824.33
2020-01-21,Cal,1930.04
2020-01-22,Cal,1808.41
2020-01-23,Cal,1796.24
2020-01-24,Cal,1932.99
2020-01-25,Cal,1821.97
2020-01-26,Cal,1762.71
2020-01-27,Cal,1918.87
2020-01-28,Cal,1878.89
2020-01-29,Cal,1855.56
2020-01-30,Cal,1853.71
2020-01-31,Cal,1883.92
2020-02-01,Cal,1828.67
2020-02-02,Cal,2148.0
2020-02-03,Cal,1788.68
2020-02-04,Cal,1916.28
2020-02-05,Cal,1747.42
2020-02-06,Cal,1839.36
2020-02-07,Cal,1764.25
2020-02-08,Cal,1755.96
2020-02-09,Cal,1609.09
2020-02-10,Cal,1691.44
2020-02-11,Cal,1932.86
2020-02-12,Cal,1870.22
2020-02-13,Cal,1933.54
2020-02-14,Cal,1615.74
2020-02-15,Cal,1725.62
2020-02-16,Cal,1860.1
2020-02-17,Cal,1835.02
2020-02-18,Cal,1942.79
2020-02-19,Cal,1888.64
2020-02-20,Cal,1776.65
2020-02-21,Cal,1865.8
2020-02-22,Cal,1789.74
2020-02-23,Cal,1733.79
2020-02-24,Cal,1847.18
2020-02-25,Cal,1853.58
2020-02-26,Cal,1857.04
2020-02-27,Cal,1757.07
2020-02-28,Cal,1877.58
2020-02-29,Cal,1455.21
2020-03-01,Cal,1591.3
2020-03-02,Cal,1891.75
2020-03-03,Cal,1961.39
2020-03-04,Cal,1812.34
2020-03-05,Cal,1803.76
2020-03-06,Cal,1878.28
2020-03-07,Cal,1697.68
2020-03-08,Cal,1729.85
2020-03-09,Cal,1755.87
2020-03-10,Cal,1768.6
2020-03-11,Cal,1961.44
2020-03-12,Cal,1844.86
2020-03-13,Cal,1932.08
2020-03-14,Cal,1730.57
2020-03-15,Cal,1519.73
2020-03-16,Cal,1802.12
2020-03-17,Cal,1826.56
2020-03-18,Cal,1854.96
2020-03-19,Cal,1705.54
2020-03-20,Cal,1796.73
2020-03-21,Cal,1817.77
2020-03-22,Cal,1729.74
2020-03-23,Cal,1917.81
2020-03-24,Cal,1710.14
2020-03-25,Cal,1522.99
2020-03-26,Cal,1686.22
2020-03-27,Cal,1875.77
2020-03-28,Cal,1479.01
2020-03-29,Cal,1605.63
2020-03-30,Cal,1489.9
2020-03-31,Cal,1624.27
2020-04-01,Cal,1531.65
2020-04-02,Cal,1505.62
2020-04-03,Cal,1773.98
2020-04-04,Cal,1471.26
2020-04-05,Cal,1453.14
2020-04-06,Cal,1919.01
2020-04-07,Cal,1543.68
2020-04-08,Cal,1855.3
2020-04-09,Cal,1573.46
2020-04-10,Cal,1442.17
2020-04-11,Cal,1730.35
2020-04-12,Cal,1471.3
2020-04-13,Cal,1882.2
2020-04-14,Cal,1444.22
2020-04-15,Cal,1721.14
2020-04-16,Cal,1710.78
2020-04-17,Cal,1580.21
2020-04-18,Cal,1446.92
2020-04-19,Cal,1712.48
2020-04-20,Cal,1736.45
2020-04-21,Cal,1756.08
2020-04-22,Cal,1715.01
2020-04-23,Cal,1514.4
2020-04-24,Cal,1459.27
2020-04-25,Cal,1451.71
2020-04-26,Cal,1689.46
2020-04-27,Cal,1873.91
2020-04-28,Cal,1842.74
2020-04-29,Cal,1736.18
2020-04-30,Cal,1713.79
2020-05-01,Cal,1841.18
2020-05-02,Cal,1444.12
2020-05-03,Cal,1459.37
2020-05-04,Cal,1554.09
2020-05-05,Cal,1801.42
2020-05-06,Cal,1782.29
2020-05-07,Cal,1799.66
2020-05-08,Cal,1869.67
2020-05-09,Cal,1794.95
2020-05-10,Cal,1775.25
2020-05-11,Cal,1792.3
2020-05-12,Cal,1759.86
2020-05-13,Cal,1484.21
2020-05-14,Cal,1637.41
2020-05-15,Cal,1657.65
2020-05-16,Cal,1444.26
2020-05-17,Cal,1465.42
2020-05-18,Cal,1463.76
2020-05-19,Cal,1494.47
2020-05-20,Cal,1707.73
2020-05-21,Cal,1626.8
2020-05-22,Cal,1849.69
2020-05-23,Cal,1610.94
2020-05-24,Cal,1882.01
2020-05-25,Cal,1875.52
2020-05-26,Cal,1783.73
2020-05-27,Cal,1686.21
2020-05-28,Cal,1882.21
2020-05-29,Cal,1722.72
2020-05-30,Cal,1462.68
2020-05-31,Cal,1752.84
2020-06-01,Cal,1618.02
2020-06-02,Cal,1826.6
2020-06-03,Cal,1801.91
2020-06-04,Cal,1534.3
2020-06-05,Cal,1778.96
2020-06-06,Cal,1932.79
2020-06-07,Cal,1536.72
2020-06-08,Cal,1731.93
2020-06-09,Cal,1613.2
2020-06-10,Cal,1647.68
2020-06-11,Cal,1936.14
2020-06-12,Cal,1876.17
2020-06-13,Cal,1857.82
2020-06-14,Cal,1869.49
2020-06-15,Cal,1723.44
2020-06-16,Cal,1916.74
2020-06-17,Cal,1876.39
2020-06-18,Cal,1886.02
2020-06-19,Cal,1796.6
2020-06-20,Cal,1863.14
2020-06-21,Cal,1863.05
2020-06-22,Cal,1818.57
2020-06-23,Cal,1855.05
2020-06-24,Cal,1782.09
2020-06-25,Cal,1759.29
2020-06-26,Cal,1869.3
2020-06-27,Cal,1858.51
2020-06-28,Cal,1652.5
2020-06-29,Cal,1909.18
2020-06-30,Cal,1775.82
2020-07-01,Cal,1864.92
2020-07-02,Cal,1901.99
2020-07-03,Cal,1820.57
2020-07-04,Cal,1678.59
2020-07-05,Cal,1537.93
2020-07-06,Cal,1629.61
2020-07-07,Cal,1803.49
2020-07-08,Cal,1962.53
2020-07-09,Cal,1855.45
2020-07-10,Cal,1464.43
2020-07-11,Cal,999.96
2020-07-12,Cal,1622.05
2020-07-13,Cal,1597.04
2020-07-14,Cal,1854.84
2020-07-15,Cal,1807.25
2020-07-16,Cal,1627.74
2020-07-17,Cal,1754.66
2020-07-18,Cal,1818.32
2020-07-19,Cal,1639.62
2020-07-20,Cal,1832.41
2020-07-21,Cal,1776.07
2020-07-22,Cal,1795.96
2020-07-23,Cal,1649.88
2020-07-24,Cal,1801.04
2020-07-25,Cal,1787.5
2020-07-26,Cal,1792.5
2020-07-27,Cal,1719.19
2020-07-28,Cal,1731.94
2020-07-29,Cal,1845.76
2020-07-30,Cal,1939.28
2020-07-31,Cal,1722.76
2020-08-01,Cal,1627.39
2020-08-02,Cal,1440.17
2020-08-03,Cal,1737.36
2020-08-04,Cal,1662.45
2020-08-05,Cal,1442.12
