date,unit,value
2019-03-04,lb,177.0
2019-07-04,lb,176.899
2019-07-08,lb,176.599
2019-07-09,lb,175.801
2019-07-11,lb,173.799
2019-07-12,lb,173.601
2019-07-19,lb,175.199
2019-07-24,lb,174.8
2019-07-25,lb,174.2
2019-07-26,lb,174.2
2019-07-27,lb,176.5
2019-07-29,lb,174.0
2019-07-31,lb,173.2
2019-11-13,lb,171.8
2021-07-28,lb,190.001
2021-08-28,lb,191.2
2021-09-29,lb,189.0
2021-10-20,lb,181.0
2022-06-22,lb,172.4
2022-07-24,lb,174.0
2022-09-22,lb,169.0
2022-11-30,lb,174.0
2022-12-01,lb,178.0
2022-12-02,lb,176.9
2022-12-07,lb,175.4
2022-12-08,lb,175.7
2022-12-29,lb,172.7
2023-02-06,lb,174.8
2023-08-23,lb,190.1
2024-01-29,lb,195.0
2024-04-01,lb,193.0
2024-05-27,lb,191.0
2024-08-28,lb,195.6
2024-12-28,lb,189.4
2025-01-07,lb,186.0
2025-05-28,lb,184.6
2025-07-30,lb,184.6
2025-10-14,lb,177.2
2025-12-11,lb,175.6
2026-04-28,lb,173.2
2026-05-15,lb,173.195
2026-06-10,lb,177.4
