date,unit,value
2021-01-07,count,30.1
2021-10-20,count,30.1
2022-06-22,count,29.6
2022-06-25,count,0.0
2022-06-27,count,0.0
2022-06-29,count,0.0
2022-07-01,count,29.6
2022-07-13,count,0.0
2022-07-24,count,29.9
2022-07-25,count,0.0
2022-07-26,count,0.0
2022-07-27,count,0.0
2022-07-29,count,0.0
2022-08-08,count,0.0
2022-08-09,count,0.0
2022-08-10,count,0.0
2022-08-12,count,0.0
2022-08-13,count,0.0
2022-08-14,count,0.0
2022-08-15,count,0.0
2022-08-17,count,0.0
2022-08-18,count,0.0
2022-08-20,count,0.0
2022-08-21,count,0.0
2022-08-29,count,0.0
2022-08-30,count,0.0
2022-08-31,count,0.0
2022-09-02,count,0.0
2022-09-04,count,0.0
2022-09-05,count,0.0
2022-09-06,count,0.0
2022-09-07,count,0.0
2022-09-10,count,0.0
2022-09-11,count,0.0
2022-09-13,count,0.0
2022-09-14,count,0.0
2022-09-15,count,0.0
2022-09-16,count,0.0
2022-09-22,count,28.1
2022-11-30,count,29.0
2022-12-01,count,29.6
2022-12-02,count,29.5
2022-12-07,count,29.2
2022-12-08,count,29.3
2022-12-29,count,28.8
2023-02-06,count,29.1
2023-08-23,count,31.6727
2024-01-29,count,32.4
2024-04-01,count,32.1
2024-05-27,count,31.8
2024-08-28,count,32.5
2024-12-28,count,31.2
2025-05-28,count,30.4
2025-07-30,count,30.8
2025-10-14,count,29.5
2025-12-11,count,29.3
2026-04-28,count,28.9
2026-06-10,count,29.6
