date,unit,value
2019-02-04,count,1
2019-02-05,count,1
2019-02-06,count,3
2019-03-04,count,1
2019-03-05,count,9
2019-03-06,count,4
2019-03-08,count,4
2019-03-09,count,2
2019-03-11,count,2
2019-03-12,count,5
2019-03-13,count,4
2019-03-14,count,6
2019-03-15,count,2
2019-03-17,count,1
2019-03-18,count,7
2019-03-19,count,4
2019-03-20,count,6
2019-03-21,count,1
2019-03-22,count,2
2019-03-23,count,2
2019-03-25,count,12
2019-03-26,count,3
2019-03-28,count,59
2019-03-29,count,132
2019-04-01,count,2
2019-04-02,count,2
2019-04-03,count,10
2019-04-04,count,6
2019-04-07,count,18
2019-04-08,count,2
2019-04-10,count,1
2019-04-11,count,2
2019-04-15,count,2
2019-04-16,count,11
2019-04-17,count,5
2019-04-18,count,2
2019-04-20,count,4
2019-04-21,count,6
2019-04-22,count,4
2019-04-23,count,4
2019-04-24,count,1
2019-04-25,count,2
2019-04-26,count,5
2019-04-28,count,1
2019-04-30,count,2
2019-05-01,count,2
2019-05-06,count,1
2019-05-07,count,1
2019-05-08,count,3
2019-05-10,count,3
2019-05-11,count,1
2019-05-13,count,2
2019-05-17,count,2
2019-05-18,count,2
2019-05-22,count,2
2019-05-23,count,3
2019-05-28,count,1
2019-05-30,count,7
2019-06-01,count,4
2019-06-03,count,2
2019-06-04,count,1
2019-06-06,count,10
2019-06-07,count,1
2019-06-11,count,51
2019-06-22,count,11
2019-06-27,count,38
2019-06-29,count,1
2019-07-03,count,25
2019-07-07,count,2
2019-07-13,count,2
2019-07-18,count,4
2019-07-20,count,2
2019-07-21,count,45
2019-07-25,count,3
2019-07-26,count,2
2019-07-27,count,14
2019-07-28,count,4
2019-07-29,count,1
2019-07-30,count,1
2019-08-01,count,2
2019-08-02,count,1
2019-08-03,count,1
2019-08-04,count,2
2019-08-05,count,58
2019-08-06,count,3
2019-08-09,count,31
2019-08-10,count,2
2019-08-11,count,8
2019-08-12,count,6
2019-08-13,count,7
2019-08-14,count,5
2019-08-15,count,5
2019-08-16,count,3
2019-08-17,count,3
2019-08-19,count,20
2019-08-20,count,4
2019-08-21,count,9
2019-08-22,count,1
2019-08-23,count,4
2019-08-24,count,23
2019-08-25,count,2
2019-08-26,count,7
2019-08-27,count,6
2019-08-28,count,10
2019-08-29,count,6
2019-08-30,count,16
2019-08-31,count,4
2019-09-01,count,1
2019-09-02,count,5
2019-09-03,count,7
2019-09-04,count,3
2019-09-05,count,4
2019-09-06,count,3
2019-09-07,count,3
2019-09-08,count,3
2019-09-09,count,8
2019-09-10,count,12
2019-09-11,count,8
2019-09-12,count,6
2019-09-13,count,2
2019-09-14,count,3
2019-09-15,count,1
2019-09-16,count,7
2019-09-17,count,6
2019-09-18,count,6
2019-09-19,count,2
2019-09-20,count,2
2019-09-21,count,4
2019-09-22,count,4
2019-09-23,count,9
2019-09-24,count,11
2019-09-25,count,4
