date,unit,value
2019-03-04,count/min,75.42
2019-03-05,count/min,77.39
2019-03-06,count/min,73.03
2019-03-07,count/min,74.53
2019-03-08,count/min,82.02
2019-03-09,count/min,76.82
2019-03-10,count/min,128.08
2019-03-11,count/min,120.27
2019-03-12,count/min,130.0
2019-03-13,count/min,108.18
2019-03-14,count/min,84.44
2019-03-15,count/min,76.04
2019-03-16,count/min,72.74
2019-03-18,count/min,132.6
2019-03-19,count/min,108.6
2019-03-20,count/min,80.63
2019-03-21,count/min,84.62
2019-03-22,count/min,82.93
2019-03-23,count/min,75.09
2019-03-24,count/min,168.7
2019-03-25,count/min,131.14
2019-03-26,count/min,113.67
2019-03-27,count/min,74.62
2019-03-28,count/min,120.99
2019-03-29,count/min,91.97
2019-03-30,count/min,82.82
2019-04-01,count/min,74.08
2019-04-02,count/min,101.79
2019-04-03,count/min,94.44
2019-04-04,count/min,80.88
2019-04-05,count/min,73.43
2019-04-06,count/min,78.01
2019-04-07,count/min,89.22
2019-04-08,count/min,83.02
2019-04-10,count/min,79.72
2019-04-11,count/min,79.16
2019-04-12,count/min,74.7
2019-04-13,count/min,84.15
2019-04-14,count/min,81.44
2019-04-15,count/min,78.51
2019-04-16,count/min,89.23
2019-04-17,count/min,109.6
2019-04-18,count/min,68.53
2019-04-19,count/min,96.6
2019-04-20,count/min,72.22
2019-04-21,count/min,87.46
2019-04-22,count/min,76.05
2019-04-23,count/min,83.38
2019-04-24,count/min,103.22
2019-04-25,count/min,79.74
2019-04-26,count/min,77.62
2019-04-27,count/min,81.57
2019-04-28,count/min,83.45
2019-04-29,count/min,95.6
2019-04-30,count/min,91.21
2019-05-01,count/min,92.99
2019-05-02,count/min,81.8
2019-05-03,count/min,74.37
2019-05-04,count/min,74.02
2019-05-05,count/min,70.17
2019-05-06,count/min,64.5
2019-05-07,count/min,128.72
2019-05-08,count/min,92.96
2019-05-09,count/min,100.79
2019-05-10,count/min,80.33
2019-05-11,count/min,74.99
2019-05-12,count/min,74.38
2019-05-13,count/min,76.98
2019-05-14,count/min,99.75
2019-05-15,count/min,72.07
2019-05-17,count/min,73.71
2019-05-18,count/min,76.46
2019-05-20,count/min,82.87
2019-05-21,count/min,134.74
2019-05-22,count/min,80.11
2019-05-23,count/min,81.33
2019-05-24,count/min,86.56
2019-05-27,count/min,75.68
2019-05-28,count/min,124.52
2019-05-29,count/min,72.73
2019-05-30,count/min,93.94
2019-06-01,count/min,77.4
2019-06-03,count/min,105.49
2019-06-04,count/min,97.25
2019-06-05,count/min,85.11
2019-06-06,count/min,122.37
2019-06-07,count/min,119.12
2019-06-08,count/min,76.2
2019-06-10,count/min,128.48
2019-06-11,count/min,120.93
2019-06-14,count/min,74.14
2019-06-15,count/min,103.84
2019-06-17,count/min,127.71
2019-06-18,count/min,90.63
2019-06-19,count/min,77.49
2019-06-20,count/min,71.81
2019-06-21,count/min,79.14
2019-06-22,count/min,93.49
2019-06-23,count/min,76.12
2019-06-24,count/min,87.3
2019-06-25,count/min,83.09
2019-06-26,count/min,80.32
2019-06-27,count/min,92.2
2019-06-28,count/min,124.63
2019-06-29,count/min,81.59
2019-06-30,count/min,85.36
2019-07-01,count/min,98.03
2019-07-02,count/min,72.74
2019-07-03,count/min,128.19
2019-07-04,count/min,77.06
2019-07-05,count/min,73.09
2019-07-06,count/min,74.45
2019-07-07,count/min,81.9
2019-07-08,count/min,80.77
2019-07-09,count/min,62.99
2019-07-10,count/min,85.89
2019-07-11,count/min,77.65
2019-07-12,count/min,74.49
2019-07-13,count/min,68.63
2019-07-14,count/min,64.22
2019-07-15,count/min,76.46
2019-07-16,count/min,93.12
2019-07-17,count/min,79.07
2019-07-18,count/min,81.95
2019-07-19,count/min,77.53
2019-07-20,count/min,78.33
2019-07-21,count/min,110.99
2019-07-22,count/min,76.33
2019-07-23,count/min,92.52
2019-07-24,count/min,76.36
2019-07-25,count/min,90.85
2019-07-26,count/min,80.18
2019-07-27,count/min,103.25
2019-07-28,count/min,76.36
2019-07-29,count/min,75.23
2019-07-30,count/min,98.22
2019-07-31,count/min,75.29
2019-08-01,count/min,81.3
2019-08-02,count/min,64.45
2019-08-03,count/min,81.31
2019-08-04,count/min,141.11
2019-08-05,count/min,85.66
2019-08-06,count/min,67.91
2019-08-07,count/min,111.15
2019-08-08,count/min,76.43
2019-08-09,count/min,73.4
2019-08-11,count/min,79.55
2019-08-12,count/min,70.1
2019-08-13,count/min,72.12
2019-08-14,count/min,81.54
2019-08-15,count/min,78.65
2019-08-16,count/min,70.77
2019-08-18,count/min,87.78
2019-08-19,count/min,85.5
2019-08-20,count/min,78.4
2019-08-21,count/min,77.69
2019-08-23,count/min,164.74
2019-08-24,count/min,85.7
2019-08-26,count/min,88.92
2019-08-27,count/min,91.15
2019-08-28,count/min,80.7
2019-08-29,count/min,82.3
2019-08-30,count/min,78.76
2019-08-31,count/min,76.2
2019-09-03,count/min,103.46
2019-09-04,count/min,73.56
2019-09-05,count/min,75.43
2019-09-06,count/min,112.81
2019-09-09,count/min,88.11
2019-09-10,count/min,84.65
2019-09-11,count/min,68.58
2019-09-12,count/min,74.55
2019-09-13,count/min,79.0
2019-09-16,count/min,74.67
2019-09-17,count/min,76.01
2019-09-18,count/min,79.16
2019-09-19,count/min,83.78
2019-09-20,count/min,87.54
2019-09-21,count/min,74.0
2019-09-23,count/min,101.61
2019-09-24,count/min,86.37
2019-09-26,count/min,77.4
2019-09-27,count/min,82.54
2019-09-28,count/min,81.61
2019-09-30,count/min,81.05
2019-10-06,count/min,85.81
2019-10-07,count/min,128.86
2019-10-08,count/min,79.72
2019-10-09,count/min,84.75
2019-10-11,count/min,76.76
2019-10-13,count/min,102.75
2019-10-14,count/min,73.99
2019-10-15,count/min,79.48
2019-10-18,count/min,80.61
2019-10-19,count/min,77.67
2019-10-20,count/min,88.91
2019-10-21,count/min,83.01
2019-10-22,count/min,79.9
2019-10-23,count/min,118.83
2019-10-24,count/min,78.07
2019-10-25,count/min,89.36
2019-10-26,count/min,79.36
2019-10-27,count/min,102.85
2019-10-28,count/min,85.43
2019-10-29,count/min,91.43
2019-10-30,count/min,63.14
2019-10-31,count/min,85.33
2019-11-01,count/min,83.52
2019-11-02,count/min,79.81
2019-11-03,count/min,95.0
2019-11-04,count/min,101.17
2019-11-05,count/min,104.71
2019-11-06,count/min,78.79
2019-11-07,count/min,76.92
2019-11-08,count/min,118.34
2019-11-09,count/min,89.22
2019-11-11,count/min,157.75
2019-11-12,count/min,82.67
2019-11-13,count/min,84.0
2019-11-14,count/min,86.97
2019-11-15,count/min,81.2
2019-11-17,count/min,86.66
2019-11-20,count/min,80.46
2019-11-21,count/min,84.89
2019-11-22,count/min,87.32
2019-11-23,count/min,77.85
2019-11-25,count/min,74.7
2019-11-26,count/min,74.9
2019-11-27,count/min,79.03
2019-11-28,count/min,88.33
2019-11-30,count/min,79.32
2019-12-01,count/min,108.48
2019-12-02,count/min,78.7
2019-12-03,count/min,75.75
2019-12-04,count/min,75.29
2019-12-06,count/min,74.63
2019-12-08,count/min,79.3
2019-12-09,count/min,84.47
2019-12-10,count/min,77.5
2019-12-11,count/min,79.23
2019-12-12,count/min,79.75
2019-12-13,count/min,94.23
2019-12-14,count/min,75.76
2019-12-15,count/min,67.56
2019-12-16,count/min,86.39
2019-12-17,count/min,78.63
2019-12-18,count/min,77.85
2019-12-19,count/min,86.06
2019-12-21,count/min,76.14
2019-12-22,count/min,90.33
2019-12-23,count/min,83.19
2019-12-24,count/min,81.29
2019-12-25,count/min,95.25
2019-12-26,count/min,74.6
2019-12-27,count/min,85.71
2019-12-28,count/min,80.09
2019-12-29,count/min,70.53
2019-12-30,count/min,104.46
2019-12-31,count/min,76.59
2020-01-01,count/min,77.61
2020-01-02,count/min,90.55
2020-01-03,count/min,83.88
2020-01-04,count/min,66.37
2020-01-05,count/min,68.73
2020-01-06,count/min,87.58
2020-01-07,count/min,69.09
2020-01-08,count/min,70.0
2020-01-09,count/min,75.48
2020-01-10,count/min,89.49
2020-01-11,count/min,74.85
2020-01-12,count/min,82.71
2020-01-13,count/min,77.83
2020-01-14,count/min,74.8
2020-01-15,count/min,74.45
2020-01-16,count/min,99.81
2020-01-17,count/min,130.5
2020-01-18,count/min,81.06
2020-01-20,count/min,153.13
2020-01-21,count/min,78.11
2020-01-22,count/min,67.27
2020-01-23,count/min,81.73
2020-01-24,count/min,77.27
2020-01-25,count/min,69.83
2020-01-26,count/min,65.5
2020-01-27,count/min,79.2
2020-01-28,count/min,68.48
2020-01-29,count/min,67.96
2020-01-30,count/min,87.02
2020-01-31,count/min,67.02
2020-02-01,count/min,67.84
2020-02-02,count/min,68.48
2020-02-03,count/min,72.37
2020-02-04,count/min,69.25
2020-02-05,count/min,75.54
2020-02-06,count/min,84.93
2020-02-07,count/min,82.27
2020-02-08,count/min,62.94
2020-02-09,count/min,95.76
2020-02-10,count/min,83.03
2020-02-11,count/min,82.11
2020-02-12,count/min,69.97
2020-02-13,count/min,68.9
2020-02-14,count/min,74.34
2020-02-15,count/min,81.04
2020-02-16,count/min,76.84
2020-02-17,count/min,80.02
2020-02-18,count/min,83.5
2020-02-19,count/min,76.95
2020-02-20,count/min,71.02
2020-02-21,count/min,92.37
2020-02-22,count/min,75.83
2020-02-23,count/min,75.57
2020-02-24,count/min,83.93
2020-02-25,count/min,71.95
2020-02-26,count/min,79.57
2020-02-27,count/min,79.27
2020-02-28,count/min,69.8
2020-03-01,count/min,82.11
2020-03-02,count/min,90.19
2020-03-03,count/min,79.37
2020-03-04,count/min,67.17
2020-03-05,count/min,71.94
2020-03-06,count/min,70.66
2020-03-07,count/min,138.4
2020-03-08,count/min,63.47
2020-03-09,count/min,76.86
2020-03-10,count/min,101.49
2020-03-11,count/min,87.4
2020-03-12,count/min,67.89
2020-03-13,count/min,74.15
2020-03-14,count/min,77.71
2020-03-15,count/min,67.56
2020-03-16,count/min,82.0
2020-03-17,count/min,74.6
2020-03-18,count/min,73.47
2020-03-19,count/min,93.55
2020-03-20,count/min,93.51
2020-03-21,count/min,79.03
2020-03-22,count/min,82.23
2020-03-23,count/min,73.9
2020-03-24,count/min,68.01
2020-03-25,count/min,62.17
2020-03-26,count/min,83.52
2020-03-27,count/min,78.84
2020-03-28,count/min,89.67
2020-03-29,count/min,78.1
2020-03-30,count/min,65.41
2020-03-31,count/min,82.8
2020-04-01,count/min,100.36
2020-04-03,count/min,81.03
2020-04-05,count/min,118.5
2020-04-06,count/min,92.27
2020-04-07,count/min,65.41
2020-04-08,count/min,70.88
2020-04-09,count/min,83.23
2020-04-11,count/min,84.62
2020-04-12,count/min,72.7
2020-04-13,count/min,87.74
2020-04-14,count/min,85.0
2020-04-15,count/min,84.49
2020-04-16,count/min,85.1
2020-04-17,count/min,85.22
2020-04-19,count/min,85.42
2020-04-20,count/min,73.54
2020-04-21,count/min,80.21
2020-04-22,count/min,84.18
2020-04-23,count/min,108.51
2020-04-24,count/min,91.88
2020-04-26,count/min,98.81
2020-04-27,count/min,83.93
2020-04-28,count/min,79.93
2020-04-29,count/min,88.52
2020-04-30,count/min,74.25
2020-05-01,count/min,80.77
2020-05-04,count/min,89.27
2020-05-05,count/min,90.87
2020-05-06,count/min,76.91
2020-05-07,count/min,89.58
2020-05-08,count/min,82.59
2020-05-09,count/min,80.4
2020-05-10,count/min,78.49
2020-05-11,count/min,72.82
2020-05-12,count/min,95.83
2020-05-13,count/min,79.31
2020-05-14,count/min,80.63
2020-05-15,count/min,85.66
2020-05-16,count/min,82.81
2020-05-19,count/min,115.0
2020-05-20,count/min,79.02
2020-05-21,count/min,74.01
2020-05-22,count/min,76.97
2020-05-23,count/min,79.57
2020-05-24,count/min,70.07
2020-05-25,count/min,77.45
2020-05-26,count/min,75.01
2020-05-27,count/min,90.25
2020-05-28,count/min,111.44
2020-05-29,count/min,93.62
2020-05-31,count/min,80.79
2020-06-01,count/min,80.53
2020-06-02,count/min,94.92
2020-06-03,count/min,109.51
2020-06-04,count/min,76.18
2020-06-05,count/min,88.48
2020-06-06,count/min,88.35
2020-06-07,count/min,100.98
2020-06-08,count/min,71.64
