date,unit,value
2019-03-04,ms,42.55
2019-03-05,ms,32.98
2019-03-06,ms,57.62
2019-03-07,ms,48.61
2019-03-08,ms,50.42
2019-03-10,ms,22.42
2019-03-11,ms,31.22
2019-03-12,ms,31.72
2019-03-13,ms,38.79
2019-03-14,ms,15.8
2019-03-15,ms,35.54
2019-03-16,ms,47.23
2019-03-18,ms,44.25
2019-03-19,ms,36.76
2019-03-20,ms,36.34
2019-03-21,ms,39.61
2019-03-22,ms,26.99
2019-03-23,ms,41.06
2019-03-25,ms,35.41
2019-03-26,ms,32.78
2019-03-27,ms,36.77
2019-03-28,ms,16.67
2019-03-29,ms,25.49
2019-03-30,ms,30.38
2019-04-01,ms,33.64
2019-04-02,ms,26.74
2019-04-03,ms,28.18
2019-04-04,ms,32.86
2019-04-05,ms,29.29
2019-04-06,ms,36.91
2019-04-07,ms,48.58
2019-04-08,ms,27.19
2019-04-10,ms,33.92
2019-04-11,ms,27.25
2019-04-12,ms,37.91
2019-04-13,ms,33.62
2019-04-14,ms,16.99
2019-04-15,ms,42.07
2019-04-16,ms,43.03
2019-04-17,ms,27.0
2019-04-18,ms,42.75
2019-04-19,ms,38.62
2019-04-20,ms,46.78
2019-04-21,ms,26.07
2019-04-22,ms,38.22
2019-04-23,ms,27.36
2019-04-24,ms,27.65
2019-04-25,ms,27.81
2019-04-26,ms,48.4
2019-04-27,ms,33.94
2019-04-28,ms,35.47
2019-04-29,ms,42.65
2019-04-30,ms,21.2
2019-05-01,ms,41.95
2019-05-02,ms,34.06
2019-05-03,ms,51.16
2019-05-04,ms,27.1
2019-05-05,ms,48.6
2019-05-06,ms,48.92
2019-05-08,ms,31.93
2019-05-09,ms,29.71
2019-05-10,ms,29.58
2019-05-11,ms,26.3
2019-05-12,ms,22.13
2019-05-13,ms,42.0
2019-05-14,ms,16.57
2019-05-15,ms,47.02
2019-05-18,ms,24.71
2019-05-20,ms,26.18
2019-05-21,ms,45.21
2019-05-22,ms,19.01
2019-05-23,ms,33.61
2019-05-24,ms,32.64
2019-05-27,ms,35.27
2019-05-28,ms,29.4
2019-05-29,ms,28.04
2019-06-01,ms,35.74
2019-06-03,ms,33.99
2019-06-05,ms,42.24
2019-06-06,ms,28.61
2019-06-10,ms,68.37
2019-06-11,ms,49.98
2019-06-14,ms,35.87
2019-06-15,ms,4.81
2019-06-17,ms,26.16
2019-06-18,ms,18.52
2019-06-19,ms,31.61
2019-06-20,ms,30.48
2019-06-21,ms,37.25
2019-06-22,ms,19.69
2019-06-23,ms,27.88
2019-06-24,ms,37.85
2019-06-25,ms,37.17
2019-06-26,ms,27.23
2019-06-27,ms,15.28
2019-06-29,ms,36.48
2019-07-01,ms,15.79
2019-07-02,ms,56.06
2019-07-05,ms,41.63
2019-07-06,ms,23.91
2019-07-07,ms,20.66
2019-07-08,ms,24.82
2019-07-09,ms,37.11
2019-07-10,ms,30.93
2019-07-11,ms,37.73
2019-07-12,ms,24.38
2019-07-13,ms,38.52
2019-07-14,ms,51.49
2019-07-16,ms,25.68
2019-07-17,ms,40.14
2019-07-18,ms,51.55
2019-07-19,ms,51.14
2019-07-20,ms,50.02
2019-07-21,ms,17.63
2019-07-23,ms,35.92
2019-07-24,ms,56.38
2019-07-27,ms,36.07
2019-07-28,ms,29.81
2019-07-29,ms,44.78
2019-07-30,ms,26.97
2019-07-31,ms,41.72
2019-08-01,ms,27.06
2019-08-02,ms,30.23
2019-08-03,ms,31.11
2019-08-05,ms,38.44
2019-08-06,ms,50.43
2019-08-08,ms,45.63
2019-08-11,ms,41.86
2019-08-12,ms,74.06
2019-08-15,ms,29.3
2019-08-18,ms,41.67
2019-08-19,ms,25.85
2019-08-20,ms,25.29
2019-08-21,ms,47.93
2019-08-26,ms,25.95
2019-08-27,ms,19.63
2019-08-28,ms,23.77
2019-08-29,ms,28.06
2019-08-30,ms,44.85
2019-08-31,ms,21.81
2019-09-03,ms,22.7
2019-09-05,ms,44.44
2019-09-09,ms,32.13
2019-09-10,ms,32.18
2019-09-11,ms,25.63
2019-09-12,ms,43.42
2019-09-16,ms,39.08
2019-09-17,ms,80.17
2019-09-18,ms,45.01
2019-09-19,ms,25.26
2019-09-23,ms,37.35
2019-09-24,ms,40.16
2019-09-26,ms,51.07
2019-09-27,ms,39.33
2019-09-28,ms,40.58
2019-09-30,ms,34.42
2019-10-07,ms,29.36
2019-10-08,ms,46.36
2019-10-09,ms,36.45
2019-10-11,ms,60.52
2019-10-14,ms,51.78
2019-10-15,ms,35.85
2019-10-20,ms,28.11
2019-10-21,ms,26.67
2019-10-23,ms,47.84
2019-10-25,ms,26.85
2019-10-26,ms,15.94
2019-10-27,ms,25.8
2019-10-28,ms,19.81
2019-10-29,ms,86.06
2019-10-31,ms,63.74
2019-11-04,ms,20.15
2019-11-05,ms,41.54
2019-11-06,ms,35.08
2019-11-07,ms,45.8
2019-11-08,ms,16.04
2019-11-09,ms,43.87
2019-11-12,ms,27.03
2019-11-14,ms,54.39
2019-11-15,ms,25.8
2019-11-17,ms,22.64
2019-11-20,ms,34.99
2019-11-21,ms,67.43
2019-11-25,ms,52.52
2019-11-26,ms,26.14
2019-11-27,ms,33.76
2019-11-28,ms,37.06
2019-11-30,ms,49.98
2019-12-01,ms,16.33
2019-12-02,ms,29.02
2019-12-03,ms,18.91
2019-12-04,ms,28.06
2019-12-06,ms,33.65
2019-12-08,ms,33.76
2019-12-09,ms,31.7
2019-12-10,ms,35.58
2019-12-11,ms,20.47
2019-12-12,ms,27.31
2019-12-13,ms,17.34
2019-12-14,ms,37.29
2019-12-16,ms,34.69
2019-12-17,ms,20.39
2019-12-18,ms,29.86
2019-12-19,ms,21.52
2019-12-21,ms,46.81
2019-12-22,ms,18.19
2019-12-23,ms,31.07
2019-12-24,ms,33.27
2019-12-26,ms,36.77
2019-12-27,ms,35.9
2019-12-28,ms,16.49
2019-12-29,ms,30.49
2020-01-01,ms,41.56
2020-01-02,ms,25.24
2020-01-03,ms,33.4
2020-01-04,ms,41.09
2020-01-05,ms,32.53
2020-01-06,ms,23.21
2020-01-07,ms,34.1
2020-01-08,ms,37.85
2020-01-09,ms,51.8
2020-01-10,ms,46.01
2020-01-11,ms,55.11
2020-01-15,ms,20.54
2020-01-16,ms,39.45
2020-01-18,ms,73.19
2020-01-20,ms,21.29
2020-01-21,ms,28.73
2020-01-22,ms,51.33
2020-01-23,ms,43.4
2020-01-24,ms,21.39
2020-01-25,ms,39.83
2020-01-26,ms,55.12
2020-01-27,ms,28.47
2020-01-28,ms,41.04
2020-01-29,ms,43.67
2020-01-30,ms,39.4
2020-01-31,ms,40.53
2020-02-01,ms,38.82
2020-02-02,ms,38.86
2020-02-03,ms,51.02
2020-02-04,ms,38.33
2020-02-05,ms,39.95
2020-02-06,ms,31.51
2020-02-07,ms,38.22
2020-02-08,ms,61.36
2020-02-09,ms,42.79
2020-02-10,ms,35.92
2020-02-11,ms,42.52
