date,unit,value
2022-02-17,count/min,18.51
2022-02-18,count/min,21.5
2022-02-21,count/min,20.92
2022-02-24,count/min,24.5
2022-02-25,count/min,19.06
2022-02-26,count/min,29.5
2022-03-07,count/min,20.09
2022-03-09,count/min,11.5
2022-03-11,count/min,18.97
2022-04-03,count/min,22.94
2022-04-04,count/min,18.85
2022-04-05,count/min,18.64
2022-04-20,count/min,22.05
2022-05-30,count/min,34.0
2022-06-02,count/min,23.5
2022-06-12,count/min,27.0
2022-06-13,count/min,19.84
2022-06-29,count/min,14.5
2022-07-13,count/min,27.0
2022-08-02,count/min,17.31
2022-09-26,count/min,18.92
2022-10-05,count/min,24.75
2022-10-06,count/min,35.0
2022-10-07,count/min,21.5
2022-10-10,count/min,18.88
2022-10-14,count/min,17.46
2022-10-24,count/min,18.92
2022-10-25,count/min,18.62
2022-11-04,count/min,19.26
2022-11-06,count/min,17.51
2022-11-23,count/min,19.48
2022-12-01,count/min,26.25
2023-01-23,count/min,33.0
2023-03-07,count/min,18.26
2023-03-12,count/min,27.5
2023-03-27,count/min,22.75
2023-04-02,count/min,18.5
2023-04-03,count/min,19.62
2023-04-04,count/min,25.5
2023-04-10,count/min,19.55
2023-06-02,count/min,20.5
2023-06-05,count/min,16.52
2023-06-17,count/min,27.5
2023-06-20,count/min,34.5
2023-06-25,count/min,24.4
2023-07-05,count/min,18.45
2023-07-06,count/min,19.18
2023-08-14,count/min,24.0
2023-08-31,count/min,22.0
2023-10-11,count/min,24.0
2023-11-18,count/min,17.4
2023-11-23,count/min,18.05
2023-11-27,count/min,23.88
2023-11-28,count/min,25.0
2023-12-07,count/min,18.36
