date,unit,value
2019-02-02,count,61
2019-03-03,count,20
2019-03-04,count,8575
2019-03-05,count,9208
2019-03-06,count,6022
2019-03-07,count,6306
2019-03-08,count,7702
2019-03-09,count,4099
2019-03-10,count,11927
2019-03-11,count,11830
2019-03-12,count,7415
2019-03-13,count,11768
2019-03-14,count,8817
2019-03-15,count,9265
2019-03-16,count,9949
2019-03-17,count,2340
2019-03-18,count,10055
2019-03-19,count,10379
2019-03-20,count,13045
2019-03-21,count,5698
2019-03-22,count,9730
2019-03-23,count,7137
2019-03-24,count,473
2019-03-25,count,15088
2019-03-26,count,10412
2019-03-27,count,4628
2019-03-28,count,15070
2019-03-29,count,23697
2019-03-30,count,8253
2019-03-31,count,175
2019-04-01,count,9271
2019-04-02,count,15806
2019-04-03,count,13443
2019-04-04,count,7322
2019-04-05,count,7945
2019-04-06,count,10196
2019-04-07,count,9890
2019-04-08,count,8935
2019-04-09,count,3936
2019-04-10,count,4235
2019-04-11,count,9676
2019-04-12,count,11336
2019-04-13,count,12765
2019-04-14,count,9595
2019-04-15,count,11662
2019-04-16,count,14787
2019-04-17,count,16876
2019-04-18,count,8551
2019-04-19,count,22425
2019-04-20,count,5431
2019-04-21,count,13701
2019-04-22,count,7652
2019-04-23,count,15750
2019-04-24,count,9022
2019-04-25,count,11931
2019-04-26,count,10288
2019-04-27,count,452
2019-04-28,count,2204
2019-04-29,count,21383
2019-04-30,count,19886
2019-05-01,count,18096
2019-05-02,count,11828
2019-05-03,count,8757
2019-05-04,count,7955
2019-05-05,count,4564
2019-05-06,count,9643
2019-05-07,count,3355
2019-05-08,count,12443
2019-05-09,count,14112
2019-05-10,count,8728
2019-05-11,count,6910
2019-05-12,count,3815
2019-05-13,count,9173
2019-05-14,count,15197
2019-05-15,count,6371
2019-05-16,count,27
2019-05-17,count,4760
2019-05-18,count,7211
2019-05-19,count,459
2019-05-20,count,7660
2019-05-21,count,7946
2019-05-22,count,4684
2019-05-23,count,6102
2019-05-24,count,5885
2019-05-25,count,2397
2019-05-26,count,1090
2019-05-27,count,2807
2019-05-28,count,8829
2019-05-29,count,2659
2019-05-30,count,6996
2019-05-31,count,2935
2019-06-01,count,10685
2019-06-02,count,1713
2019-06-03,count,17031
2019-06-04,count,8724
2019-06-05,count,8771
2019-06-06,count,9848
2019-06-07,count,10316
2019-06-08,count,4683
2019-06-09,count,27
2019-06-10,count,10234
2019-06-11,count,18091
2019-06-12,count,67
2019-06-13,count,2483
2019-06-14,count,2299
2019-06-15,count,12223
2019-06-16,count,489
2019-06-17,count,4409
2019-06-18,count,12865
2019-06-19,count,3557
2019-06-20,count,2682
2019-06-21,count,4300
2019-06-22,count,11609
2019-06-23,count,5921
2019-06-24,count,19234
2019-06-25,count,11839
2019-06-26,count,2836
2019-06-27,count,11517
2019-06-28,count,6470
2019-06-29,count,3483
2019-06-30,count,4499
2019-07-01,count,8010
2019-07-02,count,3473
2019-07-03,count,15140
2019-07-04,count,4931
2019-07-05,count,6531
2019-07-06,count,6098
2019-07-07,count,4167
2019-07-08,count,8444
2019-07-09,count,5016
2019-07-10,count,14011
2019-07-11,count,13840
2019-07-12,count,6082
2019-07-13,count,6000
2019-07-14,count,4733
2019-07-15,count,4621
2019-07-16,count,12255
2019-07-17,count,5389
2019-07-18,count,17680
2019-07-19,count,11797
2019-07-20,count,6538
2019-07-21,count,18211
2019-07-22,count,6356
2019-07-23,count,17873
2019-07-24,count,8893
2019-07-25,count,14596
2019-07-26,count,5288
2019-07-27,count,10188
2019-07-28,count,6695
2019-07-29,count,8206
2019-07-30,count,13688
2019-07-31,count,12234
2019-08-01,count,6681
2019-08-02,count,7902
2019-08-03,count,19339
2019-08-04,count,7813
2019-08-05,count,16512
2019-08-06,count,9938
2019-08-07,count,10716
2019-08-08,count,4811
2019-08-09,count,15914
2019-08-10,count,4739
2019-08-11,count,5663
2019-08-12,count,3443
2019-08-13,count,7067
2019-08-14,count,4633
2019-08-15,count,7027
2019-08-16,count,4911
2019-08-17,count,4462
2019-08-18,count,1365
2019-08-19,count,13970
2019-08-20,count,8621
2019-08-21,count,13268
2019-08-22,count,2071
2019-08-23,count,12473
2019-08-24,count,14574
2019-08-25,count,1878
2019-08-26,count,10596
2019-08-27,count,5561
2019-08-28,count,6402
2019-08-29,count,6523
2019-08-30,count,20186
2019-08-31,count,8068
2019-09-01,count,1552
2019-09-02,count,6973
2019-09-03,count,10086
2019-09-04,count,4555
2019-09-05,count,7558
2019-09-06,count,10779
2019-09-07,count,2881
2019-09-08,count,3591
2019-09-09,count,12645
2019-09-10,count,12922
2019-09-11,count,5860
2019-09-12,count,5826
2019-09-13,count,6882
2019-09-14,count,1810
2019-09-15,count,256
2019-09-16,count,6176
2019-09-17,count,6629
2019-09-18,count,5500
2019-09-19,count,8730
2019-09-20,count,3706
2019-09-21,count,4201
2019-09-22,count,2330
2019-09-23,count,11169
2019-09-24,count,13748
2019-09-25,count,6766
2019-09-26,count,8430
2019-09-27,count,13934
2019-09-28,count,6129
2019-09-29,count,552
2019-09-30,count,3523
2019-10-01,count,4088
2019-10-02,count,4717
2019-10-03,count,4387
2019-10-04,count,4372
2019-10-05,count,8875
2019-10-06,count,3033
2019-10-07,count,12638
2019-10-08,count,11314
2019-10-09,count,5504
2019-10-10,count,2086
2019-10-11,count,9040
2019-10-12,count,2223
2019-10-13,count,15678
2019-10-14,count,9488
2019-10-15,count,8643
2019-10-16,count,3968
2019-10-17,count,2205
2019-10-18,count,8279
2019-10-19,count,3863
2019-10-20,count,23117
2019-10-21,count,7651
2019-10-22,count,4607
2019-10-23,count,11717
2019-10-24,count,6713
2019-10-25,count,9394
2019-10-26,count,6384
2019-10-27,count,14499
