date,unit,value
2019-03-04,count/min,103.0
2019-03-05,count/min,119.0
2019-03-07,count/min,104.0
2019-03-08,count/min,110.5
2019-03-10,count/min,185.0
2019-03-12,count/min,102.0
2019-03-14,count/min,92.0
2019-03-15,count/min,89.0
2019-03-18,count/min,111.0
2019-03-19,count/min,93.0
2019-03-20,count/min,113.0
2019-03-21,count/min,94.0
2019-03-22,count/min,105.0
2019-03-25,count/min,168.0
2019-03-26,count/min,102.0
2019-03-27,count/min,77.0
2019-03-29,count/min,95.0
2019-03-30,count/min,124.0
2019-04-01,count/min,75.0
2019-04-02,count/min,122.0
2019-04-03,count/min,89.0
2019-04-04,count/min,112.0
2019-04-05,count/min,99.0
2019-04-06,count/min,98.0
2019-04-07,count/min,92.0
2019-04-08,count/min,113.5
2019-04-11,count/min,108.5
2019-04-12,count/min,161.0
2019-04-15,count/min,108.0
2019-04-17,count/min,122.0
2019-04-19,count/min,91.0
2019-04-20,count/min,82.0
2019-04-21,count/min,86.5
2019-04-23,count/min,126.0
2019-04-24,count/min,140.0
2019-04-25,count/min,113.5
2019-04-29,count/min,135.5
2019-04-30,count/min,120.0
2019-05-01,count/min,95.0
2019-05-02,count/min,88.0
2019-05-03,count/min,72.0
2019-05-04,count/min,88.0
2019-05-05,count/min,88.5
2019-05-06,count/min,97.0
2019-05-08,count/min,113.0
2019-05-09,count/min,73.0
2019-05-10,count/min,101.5
2019-05-11,count/min,93.0
2019-05-12,count/min,104.0
2019-05-13,count/min,113.5
2019-05-14,count/min,110.0
2019-05-15,count/min,84.0
2019-05-17,count/min,94.0
2019-05-20,count/min,125.0
2019-05-22,count/min,96.5
2019-05-23,count/min,111.0
2019-05-24,count/min,96.0
2019-05-27,count/min,102.0
2019-05-28,count/min,82.0
2019-05-29,count/min,101.5
2019-05-30,count/min,116.5
2019-06-01,count/min,120.0
2019-06-03,count/min,114.0
2019-06-05,count/min,106.0
2019-06-06,count/min,106.0
2019-06-07,count/min,132.0
2019-06-10,count/min,120.5
2019-06-11,count/min,102.0
2019-06-14,count/min,96.0
2019-06-17,count/min,138.0
2019-06-18,count/min,117.5
2019-06-19,count/min,112.0
2019-06-20,count/min,125.0
2019-06-21,count/min,98.0
2019-06-24,count/min,103.0
2019-06-25,count/min,119.0
2019-06-26,count/min,87.0
2019-06-28,count/min,88.0
2019-06-29,count/min,79.0
2019-07-01,count/min,101.5
2019-07-02,count/min,89.5
2019-07-03,count/min,116.0
2019-07-04,count/min,83.0
2019-07-05,count/min,89.5
2019-07-08,count/min,85.0
2019-07-10,count/min,106.0
2019-07-12,count/min,107.0
2019-07-14,count/min,84.5
2019-07-15,count/min,114.0
2019-07-16,count/min,95.0
2019-07-18,count/min,103.5
2019-07-20,count/min,109.0
2019-07-21,count/min,104.0
2019-07-23,count/min,98.0
2019-07-26,count/min,113.0
2019-07-29,count/min,82.0
2019-07-31,count/min,96.0
2019-08-01,count/min,80.0
2019-08-05,count/min,88.5
2019-08-08,count/min,85.0
2019-08-09,count/min,94.0
2019-08-11,count/min,108.0
2019-08-12,count/min,82.0
2019-08-15,count/min,103.0
2019-08-18,count/min,98.0
2019-08-21,count/min,108.0
2019-08-24,count/min,91.0
2019-08-26,count/min,107.0
2019-08-30,count/min,104.0
2019-09-03,count/min,91.0
2019-09-05,count/min,90.0
2019-09-09,count/min,125.0
2019-09-11,count/min,68.0
2019-09-12,count/min,85.0
2019-09-16,count/min,78.0
2019-09-17,count/min,100.5
2019-09-19,count/min,118.0
2019-09-20,count/min,97.5
2019-09-23,count/min,150.0
2019-09-24,count/min,117.5
2019-09-26,count/min,97.5
2019-09-28,count/min,99.5
2019-10-06,count/min,95.0
2019-10-07,count/min,150.0
2019-10-08,count/min,96.5
2019-10-11,count/min,90.0
2019-10-13,count/min,126.0
2019-10-18,count/min,87.0
2019-10-20,count/min,86.0
2019-10-21,count/min,90.0
2019-10-22,count/min,84.0
2019-10-23,count/min,122.0
