date,unit,value
2020-09-24,mi/hr,3.03
2020-09-25,mi/hr,3.16
2020-09-26,mi/hr,2.95
2020-09-27,mi/hr,2.66
2020-09-29,mi/hr,3.09
2020-09-30,mi/hr,2.92
2020-10-01,mi/hr,2.95
2020-10-02,mi/hr,2.8
2020-10-03,mi/hr,2.69
2020-10-04,mi/hr,2.92
2020-10-05,mi/hr,2.31
2020-10-06,mi/hr,2.17
2020-10-07,mi/hr,2.5
2020-10-08,mi/hr,3.28
2020-10-09,mi/hr,2.56
2020-10-10,mi/hr,2.95
2020-10-14,mi/hr,2.51
2020-10-15,mi/hr,3.29
2020-10-16,mi/hr,3.27
2020-10-17,mi/hr,2.84
2020-10-18,mi/hr,3.2
2020-10-19,mi/hr,3.12
2020-10-20,mi/hr,2.8
2020-10-21,mi/hr,3.44
2020-10-22,mi/hr,2.33
2020-10-24,mi/hr,2.67
2020-10-25,mi/hr,2.85
2020-10-26,mi/hr,3.06
2020-10-28,mi/hr,3.14
2020-10-30,mi/hr,3.41
2020-10-31,mi/hr,2.48
2020-11-01,mi/hr,2.75
2020-11-02,mi/hr,3.42
2020-11-03,mi/hr,2.62
2020-11-04,mi/hr,2.55
2020-11-05,mi/hr,3.02
2020-11-06,mi/hr,3.03
2020-11-08,mi/hr,2.86
2020-11-09,mi/hr,1.79
2020-11-10,mi/hr,3.02
2020-11-11,mi/hr,2.85
2020-11-12,mi/hr,2.41
2020-11-13,mi/hr,2.62
2020-11-14,mi/hr,2.98
2020-11-15,mi/hr,2.84
2020-11-16,mi/hr,3.12
2020-11-17,mi/hr,3.34
2020-11-18,mi/hr,2.03
2020-11-19,mi/hr,2.76
2020-11-20,mi/hr,2.47
2020-11-21,mi/hr,2.24
2020-11-23,mi/hr,3.33
2020-11-24,mi/hr,2.16
2020-11-25,mi/hr,2.12
2020-11-26,mi/hr,2.22
2020-11-27,mi/hr,2.27
2020-11-28,mi/hr,2.45
2020-11-29,mi/hr,2.71
2020-11-30,mi/hr,1.77
2020-12-03,mi/hr,2.67
2020-12-04,mi/hr,2.67
2020-12-05,mi/hr,2.63
2020-12-06,mi/hr,2.23
2020-12-07,mi/hr,2.64
2020-12-09,mi/hr,2.31
2020-12-10,mi/hr,1.99
2020-12-11,mi/hr,1.82
2020-12-12,mi/hr,3.07
2020-12-13,mi/hr,2.48
2020-12-14,mi/hr,3.6
2020-12-16,mi/hr,2.36
2020-12-17,mi/hr,2.01
2020-12-18,mi/hr,3.02
2020-12-19,mi/hr,2.74
2020-12-20,mi/hr,2.29
2020-12-21,mi/hr,2.43
2020-12-22,mi/hr,2.76
2020-12-23,mi/hr,2.96
2020-12-25,mi/hr,2.63
2020-12-26,mi/hr,2.26
2020-12-27,mi/hr,2.51
2020-12-28,mi/hr,3.03
2020-12-29,mi/hr,3.01
2020-12-31,mi/hr,2.75
2021-01-01,mi/hr,2.39
2021-01-03,mi/hr,2.17
2021-01-04,mi/hr,3.15
2021-01-05,mi/hr,2.79
2021-01-06,mi/hr,2.15
2021-01-07,mi/hr,2.61
2021-01-08,mi/hr,2.9
2021-01-09,mi/hr,1.88
2021-01-10,mi/hr,2.81
2021-01-11,mi/hr,2.71
2021-01-12,mi/hr,2.89
2021-01-13,mi/hr,2.49
2021-01-14,mi/hr,3.02
2021-01-15,mi/hr,2.62
2021-01-18,mi/hr,2.82
2021-01-19,mi/hr,2.82
2021-01-20,mi/hr,3.59
2021-01-21,mi/hr,2.26
2021-01-22,mi/hr,2.87
2021-01-23,mi/hr,2.87
2021-01-25,mi/hr,2.92
2021-01-26,mi/hr,2.46
2021-01-27,mi/hr,1.85
2021-01-28,mi/hr,3.44
2021-01-29,mi/hr,1.81
2021-01-30,mi/hr,2.68
2021-02-01,mi/hr,1.86
2021-02-02,mi/hr,2.86
2021-02-04,mi/hr,3.23
2021-02-05,mi/hr,2.42
2021-02-06,mi/hr,2.91
2021-02-07,mi/hr,2.67
2021-02-08,mi/hr,2.05
2021-02-09,mi/hr,2.14
2021-02-10,mi/hr,3.32
2021-02-11,mi/hr,2.04
2021-02-12,mi/hr,2.75
2021-02-13,mi/hr,3.24
2021-02-14,mi/hr,3.04
2021-02-15,mi/hr,2.11
2021-02-16,mi/hr,2.45
2021-02-17,mi/hr,2.87
2021-02-18,mi/hr,3.45
2021-02-19,mi/hr,2.97
2021-02-20,mi/hr,2.44
2021-02-22,mi/hr,3.01
2021-02-24,mi/hr,2.95
2021-02-25,mi/hr,1.66
2021-02-26,mi/hr,3.01
2021-02-27,mi/hr,2.8
2021-02-28,mi/hr,3.13
2021-03-01,mi/hr,2.9
2021-03-02,mi/hr,2.33
2021-03-03,mi/hr,2.9
2021-03-04,mi/hr,2.77
2021-03-05,mi/hr,2.66
2021-03-06,mi/hr,1.59
2021-03-07,mi/hr,2.79
2021-03-09,mi/hr,2.18
2021-03-10,mi/hr,2.72
2021-03-11,mi/hr,2.5
2021-03-12,mi/hr,2.33
2021-03-13,mi/hr,1.97
2021-03-15,mi/hr,2.72
2021-03-16,mi/hr,2.43
2021-03-17,mi/hr,1.8
2021-03-19,mi/hr,2.64
2021-03-21,mi/hr,2.99
2021-03-23,mi/hr,2.26
2021-03-24,mi/hr,2.53
2021-03-25,mi/hr,2.24
2021-03-26,mi/hr,2.41
2021-03-27,mi/hr,1.99
2021-03-28,mi/hr,2.6
2021-03-29,mi/hr,2.36
2021-03-30,mi/hr,2.14
2021-03-31,mi/hr,2.21
2021-04-01,mi/hr,2.59
2021-04-02,mi/hr,2.28
2021-04-03,mi/hr,3.0
2021-04-04,mi/hr,2.02
2021-04-05,mi/hr,2.94
2021-04-06,mi/hr,2.93
2021-04-07,mi/hr,2.54
2021-04-08,mi/hr,2.57
2021-04-09,mi/hr,2.46
2021-04-10,mi/hr,2.52
2021-04-12,mi/hr,2.58
2021-04-13,mi/hr,2.96
2021-04-14,mi/hr,2.13
2021-04-15,mi/hr,2.42
2021-04-16,mi/hr,2.39
2021-04-17,mi/hr,2.52
2021-04-18,mi/hr,2.31
2021-04-19,mi/hr,2.8
2021-04-20,mi/hr,2.66
2021-04-21,mi/hr,2.28
2021-04-22,mi/hr,2.61
2021-04-23,mi/hr,2.58
2021-04-24,mi/hr,2.8
2021-04-25,mi/hr,2.83
2021-04-26,mi/hr,2.77
2021-04-27,mi/hr,2.69
2021-04-28,mi/hr,2.35
2021-04-29,mi/hr,2.75
2021-05-01,mi/hr,2.54
2021-05-02,mi/hr,2.5
2021-05-03,mi/hr,2.6
2021-05-04,mi/hr,2.72
2021-05-05,mi/hr,2.19
2021-05-06,mi/hr,2.64
2021-05-07,mi/hr,2.53
2021-05-08,mi/hr,2.82
2021-05-09,mi/hr,2.98
2021-05-10,mi/hr,2.7
2021-05-11,mi/hr,2.57
2021-05-12,mi/hr,2.53
2021-05-14,mi/hr,2.35
2021-05-17,mi/hr,2.54
2021-05-18,mi/hr,2.24
2021-05-19,mi/hr,2.28
2021-05-20,mi/hr,3.23
2021-05-21,mi/hr,2.85
2021-05-22,mi/hr,3.17
2021-05-23,mi/hr,2.66
2021-05-24,mi/hr,2.58
2021-05-25,mi/hr,2.21
2021-05-26,mi/hr,2.17
2021-05-27,mi/hr,2.86
2021-05-28,mi/hr,2.44
2021-05-29,mi/hr,2.82
2021-05-30,mi/hr,2.37
2021-05-31,mi/hr,2.51
2021-06-01,mi/hr,2.51
2021-06-02,mi/hr,2.39
2021-06-03,mi/hr,2.01
2021-06-04,mi/hr,2.6
2021-06-05,mi/hr,2.5
2021-06-06,mi/hr,2.5
2021-06-07,mi/hr,2.88
2021-06-08,mi/hr,2.08
2021-06-10,mi/hr,2.23
2021-06-11,mi/hr,2.54
2021-06-12,mi/hr,2.33
2021-06-13,mi/hr,2.69
2021-06-14,mi/hr,2.64
2021-06-15,mi/hr,2.56
2021-06-16,mi/hr,2.51
2021-06-17,mi/hr,2.51
2021-06-19,mi/hr,2.57
2021-06-20,mi/hr,2.36
2021-06-21,mi/hr,2.04
2021-06-23,mi/hr,2.08
2021-06-25,mi/hr,2.1
2021-06-26,mi/hr,2.28
2021-06-27,mi/hr,2.21
2021-06-28,mi/hr,1.66
2021-06-29,mi/hr,2.44
2021-06-30,mi/hr,1.89
2021-07-02,mi/hr,2.77
2021-07-03,mi/hr,2.51
2021-07-04,mi/hr,2.45
2021-07-06,mi/hr,2.11
2021-07-07,mi/hr,2.61
2021-07-08,mi/hr,1.48
2021-07-09,mi/hr,2.09
2021-07-10,mi/hr,2.95
2021-07-11,mi/hr,2.34
2021-07-12,mi/hr,2.63
2021-07-13,mi/hr,2.52
2021-07-14,mi/hr,3.49
2021-07-16,mi/hr,2.57
2021-07-17,mi/hr,3.43
2021-07-18,mi/hr,2.35
2021-07-19,mi/hr,2.62
2021-07-20,mi/hr,2.45
2021-07-21,mi/hr,2.64
2021-07-22,mi/hr,2.3
2021-07-23,mi/hr,2.58
2021-07-24,mi/hr,2.47
2021-07-25,mi/hr,2.7
2021-07-26,mi/hr,2.4
2021-07-27,mi/hr,2.14
2021-07-28,mi/hr,2.3
2021-07-29,mi/hr,2.04
2021-07-30,mi/hr,2.51
2021-07-31,mi/hr,2.69
2021-08-01,mi/hr,2.59
2021-08-02,mi/hr,2.66
2021-08-03,mi/hr,2.18
2021-08-04,mi/hr,2.74
2021-08-05,mi/hr,2.35
2021-08-06,mi/hr,2.27
2021-08-07,mi/hr,2.2
2021-08-08,mi/hr,2.72
2021-08-09,mi/hr,2.46
2021-08-10,mi/hr,2.57
2021-08-11,mi/hr,2.44
2021-08-12,mi/hr,2.63
2021-08-13,mi/hr,2.6
2021-08-14,mi/hr,2.51
2021-08-15,mi/hr,2.3
2021-08-16,mi/hr,1.78
2021-08-17,mi/hr,2.23
2021-08-18,mi/hr,2.37
2021-08-19,mi/hr,2.61
2021-08-20,mi/hr,2.26
2021-08-21,mi/hr,2.5
2021-08-22,mi/hr,2.81
2021-08-23,mi/hr,2.67
2021-08-24,mi/hr,2.53
2021-08-25,mi/hr,2.66
2021-08-26,mi/hr,2.27
2021-08-27,mi/hr,2.67
2021-08-28,mi/hr,3.35
2021-08-29,mi/hr,2.79
2021-08-30,mi/hr,2.79
2021-08-31,mi/hr,2.9
2021-09-01,mi/hr,2.64
2021-09-02,mi/hr,3.47
2021-09-03,mi/hr,2.37
2021-09-04,mi/hr,3.22
2021-09-05,mi/hr,2.59
2021-09-06,mi/hr,2.64
2021-09-07,mi/hr,2.37
2021-09-08,mi/hr,2.56
2021-09-09,mi/hr,3.0
2021-09-10,mi/hr,2.68
2021-09-11,mi/hr,2.56
2021-09-12,mi/hr,2.89
2021-09-13,mi/hr,2.69
2021-09-14,mi/hr,2.79
2021-09-15,mi/hr,2.55
2021-09-16,mi/hr,3.09
2021-09-17,mi/hr,2.61
2021-09-18,mi/hr,2.33
2021-09-19,mi/hr,3.13
2021-09-20,mi/hr,2.78
2021-09-21,mi/hr,2.71
2021-09-22,mi/hr,2.85
2021-09-23,mi/hr,2.24
2021-09-24,mi/hr,2.87
2021-09-25,mi/hr,2.49
2021-09-26,mi/hr,2.57
2021-09-27,mi/hr,2.98
2021-09-28,mi/hr,2.75
2021-09-29,mi/hr,2.61
2021-09-30,mi/hr,2.83
2021-10-01,mi/hr,2.72
2021-10-02,mi/hr,2.84
2021-10-03,mi/hr,2.76
2021-10-04,mi/hr,2.41
2021-10-05,mi/hr,3.28
2021-10-06,mi/hr,3.03
2021-10-07,mi/hr,2.73
2021-10-08,mi/hr,3.05
2021-10-09,mi/hr,2.79
2021-10-10,mi/hr,3.71
2021-10-11,mi/hr,2.73
2021-10-14,mi/hr,2.81
2021-10-15,mi/hr,2.81
2021-10-16,mi/hr,2.88
2021-10-17,mi/hr,3.18
2021-10-18,mi/hr,3.0
2021-10-19,mi/hr,2.69
2021-10-20,mi/hr,2.62
2021-10-21,mi/hr,2.78
2021-10-22,mi/hr,2.55
2021-10-23,mi/hr,2.87
2021-10-24,mi/hr,2.49
2021-10-25,mi/hr,2.71
2021-10-26,mi/hr,2.69
2021-10-27,mi/hr,2.76
2021-10-28,mi/hr,3.05
2021-10-29,mi/hr,3.01
2021-10-30,mi/hr,2.79
2021-10-31,mi/hr,3.17
2021-11-01,mi/hr,2.62
2021-11-02,mi/hr,2.74
2021-11-03,mi/hr,3.69
2021-11-04,mi/hr,2.57
2021-11-05,mi/hr,3.33
2021-11-06,mi/hr,2.73
2021-11-07,mi/hr,2.59
2021-11-08,mi/hr,3.01
2021-11-09,mi/hr,2.85
2021-11-10,mi/hr,2.84
2021-11-11,mi/hr,2.71
2021-11-12,mi/hr,3.46
2021-11-13,mi/hr,3.46
2021-11-14,mi/hr,4.03
2021-11-15,mi/hr,2.8
2021-11-16,mi/hr,2.84
2021-11-17,mi/hr,2.75
2021-11-18,mi/hr,3.18
2021-11-19,mi/hr,2.74
2021-11-20,mi/hr,2.95
2021-11-21,mi/hr,2.53
2021-11-22,mi/hr,2.87
2021-11-23,mi/hr,2.91
2021-11-24,mi/hr,2.56
2021-11-25,mi/hr,2.3
2021-11-26,mi/hr,2.95
2021-11-27,mi/hr,2.22
2021-11-28,mi/hr,2.69
2021-11-29,mi/hr,2.98
2021-11-30,mi/hr,2.7
2021-12-01,mi/hr,2.56
2021-12-02,mi/hr,3.44
2021-12-03,mi/hr,2.51
2021-12-04,mi/hr,2.64
2021-12-05,mi/hr,2.78
2021-12-06,mi/hr,2.66
2021-12-07,mi/hr,2.91
2021-12-08,mi/hr,2.78
2021-12-09,mi/hr,3.37
2021-12-10,mi/hr,2.79
2021-12-11,mi/hr,3.29
2021-12-12,mi/hr,3.5
2021-12-13,mi/hr,2.21
2021-12-14,mi/hr,2.98
2021-12-15,mi/hr,3.26
2021-12-16,mi/hr,3.25
2021-12-17,mi/hr,2.58
2021-12-18,mi/hr,2.48
2021-12-19,mi/hr,2.67
2021-12-20,mi/hr,2.93
2021-12-21,mi/hr,2.59
2021-12-22,mi/hr,2.45
2021-12-23,mi/hr,2.46
2021-12-24,mi/hr,4.07
2021-12-25,mi/hr,2.72
2021-12-26,mi/hr,2.52
2021-12-27,mi/hr,3.93
2021-12-28,mi/hr,2.64
2021-12-29,mi/hr,1.92
2021-12-30,mi/hr,3.18
2021-12-31,mi/hr,2.72
2022-01-01,mi/hr,3.18
2022-01-02,mi/hr,3.26
2022-01-03,mi/hr,3.32
2022-01-04,mi/hr,3.79
2022-01-05,mi/hr,2.99
2022-01-06,mi/hr,3.11
2022-01-07,mi/hr,3.35
2022-01-08,mi/hr,3.26
2022-01-09,mi/hr,3.49
2022-01-10,mi/hr,3.39
2022-01-11,mi/hr,2.92
2022-01-12,mi/hr,3.33
