date,unit,value
2020-09-24,in,27.79
2020-09-25,in,29.53
2020-09-26,in,29.4
2020-09-27,in,26.38
2020-09-29,in,28.09
2020-09-30,in,28.24
2020-10-01,in,27.03
2020-10-02,in,27.43
2020-10-03,in,25.59
2020-10-04,in,31.36
2020-10-05,in,22.23
2020-10-06,in,21.65
2020-10-07,in,25.03
2020-10-08,in,29.82
2020-10-09,in,28.48
2020-10-10,in,27.92
2020-10-14,in,26.18
2020-10-15,in,30.71
2020-10-16,in,30.19
2020-10-17,in,27.95
2020-10-18,in,30.11
2020-10-19,in,31.3
2020-10-20,in,30.05
2020-10-21,in,32.14
2020-10-22,in,22.97
2020-10-24,in,25.94
2020-10-25,in,27.85
2020-10-26,in,30.31
2020-10-28,in,32.81
2020-10-30,in,33.99
2020-10-31,in,25.2
2020-11-01,in,24.02
2020-11-02,in,30.73
2020-11-03,in,26.38
2020-11-04,in,25.98
2020-11-05,in,31.1
2020-11-06,in,28.04
2020-11-08,in,25.49
2020-11-09,in,17.72
2020-11-10,in,32.87
2020-11-11,in,27.21
2020-11-12,in,23.82
2020-11-13,in,25.26
2020-11-14,in,29.17
2020-11-15,in,26.38
2020-11-16,in,28.77
2020-11-17,in,31.5
2020-11-18,in,22.15
2020-11-19,in,26.77
2020-11-20,in,23.94
2020-11-21,in,22.24
2020-11-23,in,28.35
2020-11-24,in,23.05
2020-11-25,in,24.61
2020-11-26,in,21.85
2020-11-27,in,22.44
2020-11-28,in,22.65
2020-11-29,in,24.7
2020-11-30,in,18.5
2020-12-03,in,23.84
2020-12-04,in,25.0
2020-12-05,in,24.7
2020-12-06,in,22.64
2020-12-07,in,24.72
2020-12-09,in,21.52
2020-12-10,in,20.08
2020-12-11,in,22.18
2020-12-12,in,28.05
2020-12-13,in,23.13
2020-12-14,in,32.28
2020-12-16,in,21.39
2020-12-17,in,19.29
2020-12-18,in,26.38
2020-12-19,in,25.2
2020-12-20,in,21.16
2020-12-21,in,23.77
2020-12-22,in,26.69
2020-12-23,in,28.41
2020-12-25,in,25.84
2020-12-26,in,23.23
2020-12-27,in,23.88
2020-12-28,in,27.89
2020-12-29,in,27.03
2020-12-31,in,26.14
2021-01-01,in,24.11
2021-01-03,in,26.77
2021-01-04,in,29.85
2021-01-05,in,25.85
2021-01-06,in,21.81
2021-01-07,in,26.64
2021-01-08,in,27.36
2021-01-09,in,21.13
2021-01-10,in,25.85
2021-01-11,in,26.81
2021-01-12,in,27.59
2021-01-13,in,23.02
2021-01-14,in,28.83
2021-01-15,in,26.26
2021-01-18,in,27.21
2021-01-19,in,25.69
2021-01-20,in,32.47
2021-01-21,in,22.24
2021-01-22,in,26.28
2021-01-23,in,30.51
2021-01-25,in,28.43
2021-01-26,in,23.9
2021-01-27,in,22.05
2021-01-28,in,26.77
2021-01-29,in,17.95
2021-01-30,in,25.98
2021-02-01,in,19.68
2021-02-02,in,27.36
2021-02-04,in,29.43
2021-02-05,in,22.64
2021-02-06,in,27.67
2021-02-07,in,24.97
2021-02-08,in,19.88
2021-02-09,in,21.56
2021-02-10,in,30.71
2021-02-11,in,26.77
2021-02-12,in,26.84
2021-02-13,in,27.17
2021-02-14,in,28.15
2021-02-15,in,23.86
2021-02-16,in,22.83
2021-02-17,in,28.94
2021-02-18,in,30.24
2021-02-19,in,27.95
2021-02-20,in,24.27
2021-02-22,in,28.9
2021-02-24,in,29.62
2021-02-25,in,16.14
2021-02-26,in,27.01
2021-02-27,in,26.77
2021-02-28,in,30.03
2021-03-01,in,27.32
2021-03-02,in,24.36
2021-03-03,in,27.82
2021-03-04,in,26.38
2021-03-05,in,25.63
2021-03-06,in,16.54
2021-03-07,in,24.72
2021-03-09,in,27.76
2021-03-10,in,26.98
2021-03-11,in,24.31
2021-03-12,in,22.9
2021-03-13,in,25.59
2021-03-15,in,23.62
2021-03-16,in,23.03
2021-03-17,in,19.55
2021-03-19,in,23.51
2021-03-21,in,27.0
2021-03-23,in,23.54
2021-03-24,in,24.57
2021-03-25,in,22.05
2021-03-26,in,23.56
2021-03-27,in,20.71
2021-03-28,in,24.49
2021-03-29,in,24.21
2021-03-30,in,22.38
2021-03-31,in,24.8
2021-04-01,in,25.3
2021-04-02,in,25.59
2021-04-03,in,28.35
2021-04-04,in,18.7
2021-04-05,in,27.34
2021-04-06,in,28.27
2021-04-07,in,24.8
2021-04-08,in,24.11
2021-04-09,in,22.44
2021-04-10,in,25.25
2021-04-12,in,25.69
2021-04-13,in,25.98
2021-04-14,in,25.59
2021-04-15,in,23.49
2021-04-16,in,22.83
2021-04-17,in,25.32
2021-04-18,in,25.52
2021-04-19,in,27.36
2021-04-20,in,24.53
2021-04-21,in,24.71
2021-04-22,in,25.77
2021-04-23,in,25.46
2021-04-24,in,27.13
2021-04-25,in,28.31
2021-04-26,in,26.38
2021-04-27,in,25.33
2021-04-28,in,23.85
2021-04-29,in,26.9
2021-05-01,in,24.02
2021-05-02,in,23.8
2021-05-03,in,25.28
2021-05-04,in,25.0
2021-05-05,in,20.87
2021-05-06,in,25.66
2021-05-07,in,24.97
