date,weight_lb,activeenergyburned_7day_sum
2019-03-04,177.0,498.69
2019-07-04,176.899,3050.3599999999997
2019-07-08,176.599,2424.21
2019-07-09,175.801,2517.91
2019-07-11,173.799,3010.0999999999995
2019-07-12,173.601,3165.1600000000003
2019-07-19,175.199,3228.54
2019-07-24,174.8,3472.72
2019-07-25,174.2,3337.0199999999995
2019-07-26,174.2,3140.6099999999997
2019-07-27,176.5,3418.54
2019-07-29,174.0,3081.5
2019-07-31,173.2,3217.86
2019-11-13,171.8,2494.0699999999997
2021-07-28,190.001,4138.29
2021-08-28,191.2,1823.4099999999999
2021-09-29,189.0,4852.460000000001
2021-10-20,181.0,3426.4900000000002
2022-06-22,172.4,6430.71
2022-07-24,174.0,5119.799999999999
2022-09-22,169.0,2325.7
2022-11-30,174.0,3664.13
2022-12-01,178.0,4099.4400000000005
2022-12-02,176.9,4909.17
2022-12-07,175.4,3967.71
2022-12-08,175.7,3529.19
2022-12-29,172.7,4467.200000000001
2023-02-06,174.8,3908.5099999999998
2023-08-23,190.1,2266.53
2024-01-29,195.0,
2024-04-01,193.0,
2024-05-27,191.0,
2024-08-04,205.8,
2024-08-07,196.0,
2024-08-11,197.2,
2024-08-28,195.6,
2024-09-19,193.1,
2024-10-05,192.2,
2024-11-24,189.2,
2024-12-28,186.4,
2025-01-07,186.0,
2025-01-29,181.8,
2025-02-21,181.6,
2025-05-28,184.6,
2025-07-30,184.6,1536.7900000000002
2025-10-14,177.2,1464.2100000000003
2025-12-11,175.6,432.0
2026-04-28,173.2,3438.0299999999997
2026-05-15,173.195,3762.61
2026-06-10,177.4,4116.61
2026-06-12,175.6,3803.87
2026-06-25,178.0,
