date,weight_lb,basalenergyburned_7day_sum
2019-03-04,177.0,1849.24
2019-07-04,176.899,11757.779999999999
2019-07-08,176.599,11952.930000000002
2019-07-09,175.801,12101.73
2019-07-11,173.799,12564.939999999999
2019-07-12,173.601,12817.130000000001
2019-07-19,175.199,12822.14
2019-07-24,174.8,12890.480000000001
2019-07-25,174.2,12788.13
2019-07-26,174.2,12708.06
2019-07-27,176.5,12700.22
2019-07-29,174.0,12488.97
2019-07-31,173.2,12473.869999999999
2019-11-13,171.8,11575.33
2021-07-28,190.001,11658.21
2021-08-28,191.2,6418.68
2021-09-29,189.0,14272.119999999999
2021-10-20,181.0,12534.289999999999
2022-06-22,172.4,10561.48
2022-07-24,174.0,12867.67
2022-09-22,169.0,11303.6
2022-11-30,174.0,11435.789999999999
2022-12-01,178.0,11538.59
2022-12-02,176.9,11916.85
2022-12-07,175.4,11745.31
2022-12-08,175.7,11572.039999999999
2022-12-29,172.7,12301.96
2023-02-06,174.8,11932.0
2023-08-23,190.1,11407.91
2024-01-29,195.0,
2024-04-01,193.0,
2024-05-27,191.0,
2024-08-04,205.8,
2024-08-07,196.0,
2024-08-11,197.2,
2024-08-28,195.6,
2024-09-19,193.1,
2024-10-05,192.2,
2024-11-24,189.2,
2024-12-28,186.4,
2025-01-07,186.0,
2025-01-29,181.8,
2025-02-21,181.6,
2025-05-28,184.6,
2025-07-30,184.6,11139.42
2025-10-14,177.2,11032.310000000001
2025-12-11,175.6,10718.04
2026-04-28,173.2,23627.559999999998
2026-05-15,173.195,23267.39
2026-06-10,177.4,23187.21
2026-06-12,175.6,23306.13
2026-06-25,178.0,
