date,weight_lb,heartratevariabilitysdnn_7day_mean
2019-03-04,177.0,42.55
2019-07-04,176.899,36.11
2019-07-08,176.599,33.416
2019-07-09,175.801,29.625999999999998
2019-07-11,173.799,30.97
2019-07-12,173.601,28.505714285714284
2019-07-19,175.199,43.086666666666666
2019-07-24,174.8,43.77333333333333
2019-07-25,174.2,42.217999999999996
2019-07-26,174.2,39.987500000000004
2019-07-27,176.5,36.5
2019-07-29,174.0,40.592
2019-07-31,173.2,35.87
2019-11-13,171.8,33.185
2021-07-28,190.001,39.502500000000005
2021-08-28,191.2,23.19
2021-09-29,189.0,49.228571428571435
2021-10-20,181.0,47.147999999999996
2022-06-22,172.4,36.4925
2022-07-24,174.0,38.04571428571428
2022-09-22,169.0,39.42166666666666
2022-11-30,174.0,31.912
2022-12-01,178.0,32.582
2022-12-02,176.9,38.166666666666664
2022-12-07,175.4,48.25666666666666
2022-12-08,175.7,56.571666666666665
2022-12-29,172.7,48.501666666666665
2023-02-06,174.8,48.076
2023-08-23,190.1,43.01499999999999
2024-01-29,195.0,
2024-04-01,193.0,
2024-05-27,191.0,
2024-08-04,205.8,
2024-08-07,196.0,
2024-08-11,197.2,
2024-08-28,195.6,
2024-09-19,193.1,
2024-10-05,192.2,
2024-11-24,189.2,
2024-12-28,186.4,
2025-01-07,186.0,
2025-01-29,181.8,
2025-02-21,181.6,
2025-05-28,184.6,
2025-07-30,184.6,
2025-10-14,177.2,
2025-12-11,175.6,
2026-04-28,173.2,
2026-05-15,173.195,
2026-06-10,177.4,
2026-06-12,175.6,
2026-06-25,178.0,
