date,weight_lb,stepcount_7day_sum
2019-03-04,177.0,8595.0
2019-07-04,176.899,46006.0
2019-07-08,176.599,48784.0
2019-07-09,175.801,50327.0
2019-07-11,173.799,58107.0
2019-07-12,173.601,57658.0
2019-07-19,175.199,62475.0
2019-07-24,174.8,87348.0
2019-07-25,174.2,84264.0
2019-07-26,174.2,77755.0
2019-07-27,176.5,81405.0
2019-07-29,174.0,71739.0
2019-07-31,173.2,70895.0
2019-11-13,171.8,49765.0
2021-07-28,190.001,58305.0
2021-08-28,191.2,49839.0
2021-09-29,189.0,94157.0
2021-10-20,181.0,72261.0
2022-06-22,172.4,163523.0
2022-07-24,174.0,96212.0
2022-09-22,169.0,42435.0
2022-11-30,174.0,67778.0
2022-12-01,178.0,73005.0
2022-12-02,176.9,80414.0
2022-12-07,175.4,47706.0
2022-12-08,175.7,42697.0
2022-12-29,172.7,66589.0
2023-02-06,174.8,46172.0
2023-08-23,190.1,39231.0
2024-01-29,195.0,28039.0
2024-04-01,193.0,20680.0
2024-05-27,191.0,28193.0
2024-08-04,205.8,21349.0
2024-08-07,196.0,28281.0
2024-08-11,197.2,39472.0
2024-08-28,195.6,19349.0
2024-09-19,193.1,22818.0
2024-10-05,192.2,32592.0
2024-11-24,189.2,23718.0
2024-12-28,186.4,22530.0
2025-01-07,186.0,28368.0
2025-01-29,181.8,26869.0
2025-02-21,181.6,29456.0
2025-05-28,184.6,17697.0
2025-07-30,184.6,30540.0
2025-10-14,177.2,29543.0
2025-12-11,175.6,14966.0
2026-04-28,173.2,48639.0
2026-05-15,173.195,38107.0
2026-06-10,177.4,44572.0
2026-06-12,175.6,43835.0
2026-06-25,178.0,
