date,weight_lb,walkingspeed_7day_mean
2019-03-04,177.0,
2019-07-04,176.899,
2019-07-08,176.599,
2019-07-09,175.801,
2019-07-11,173.799,
2019-07-12,173.601,
2019-07-19,175.199,
2019-07-24,174.8,
2019-07-25,174.2,
2019-07-26,174.2,
2019-07-27,176.5,
2019-07-29,174.0,
2019-07-31,173.2,
2019-11-13,171.8,
2021-07-28,190.001,2.412857142857143
2021-08-28,191.2,2.7085714285714286
2021-09-29,189.0,2.6442857142857146
2021-10-20,181.0,2.855714285714286
2022-06-22,172.4,2.6014285714285714
2022-07-24,174.0,2.7414285714285715
2022-09-22,169.0,2.6233333333333335
2022-11-30,174.0,2.662857142857143
2022-12-01,178.0,2.6385714285714283
2022-12-02,176.9,2.64
2022-12-07,175.4,2.531428571428571
2022-12-08,175.7,2.544285714285714
2022-12-29,172.7,2.628571428571429
2023-02-06,174.8,2.588571428571428
2023-08-23,190.1,2.6028571428571428
2024-01-29,195.0,2.73
2024-04-01,193.0,2.6271428571428572
2024-05-27,191.0,2.7157142857142857
2024-08-04,205.8,2.645
2024-08-07,196.0,2.736666666666667
2024-08-11,197.2,2.78
2024-08-28,195.6,2.521428571428572
2024-09-19,193.1,2.6999999999999997
2024-10-05,192.2,2.635714285714286
2024-11-24,189.2,2.708571428571428
2024-12-28,186.4,2.625714285714286
2025-01-07,186.0,2.7314285714285718
2025-01-29,181.8,2.697142857142857
2025-02-21,181.6,2.65
2025-05-28,184.6,2.5042857142857144
2025-07-30,184.6,2.7
2025-10-14,177.2,2.7214285714285715
2025-12-11,175.6,2.4766666666666666
2026-04-28,173.2,2.577142857142857
2026-05-15,173.195,2.4916666666666667
2026-06-10,177.4,2.6571428571428575
2026-06-12,175.6,2.684285714285714
2026-06-25,178.0,
