Measurement,Initial Date,Initial,Final Date,Final,Change,Direction
Chest,2023-07-01,44.6,2026-06-25,40.9,-3.7,Decrease
Right Thigh,2023-08-30,26.0,2026-06-25,23.45,-2.55,Decrease
Hip,2023-08-22,45.0,2026-06-25,42.6,-2.4,Decrease
Left Thigh,2023-08-30,26.0,2026-06-25,23.65,-2.35,Decrease
Left Biceps,2023-08-30,12.8,2026-06-25,10.46,-2.34,Decrease
Right Biceps,2023-08-30,12.8,2026-06-25,10.99,-1.81,Decrease
Under Bust,2022-09-25,37.5,2026-06-25,35.72,-1.78,Decrease
Left Calf,2023-08-30,15.5,2026-06-25,14.31,-1.19,Decrease
Right Calf,2023-09-29,15.5,2026-06-25,14.4,-1.1,Decrease
Left Biceps Flex,2023-09-29,13.06,2026-06-25,12.07,-0.99,Decrease
Neck,2023-08-30,13.0,2026-06-25,12.13,-0.87,Decrease
Right Biceps Flex,2023-09-29,13.06,2026-06-25,12.19,-0.87,Decrease
Abdomen,2022-09-25,38.5,2026-06-25,38.04,-0.46,Decrease
Waist,2022-09-25,33.3,2026-06-25,32.89,-0.41,Decrease
