date,Mass_lb,waist,neck,shoulder,chest,abdomen,hip,left_biceps,right_biceps,left_thigh,right_thigh,left_calf,right_calf,under_bust,left_biceps_flex,right_biceps_flex,Distance,Distance_7DayAvg,Distance_30DayAvg,Steps,Steps_7DayAvg,Steps_30DayAvg,ActiveCalories,ActiveCalories_7DayAvg,ActiveCalories_30DayAvg,ExerciseMinutes,ExerciseMinutes_7DayAvg,ExerciseMinutes_30DayAvg,FlightsClimbed,FlightsClimbed_7DayAvg,FlightsClimbed_30DayAvg,HeartRate,HeartRate_7DayAvg,HeartRate_30DayAvg,HRV,HRV_7DayAvg,HRV_30DayAvg,RespiratoryRate,RespiratoryRate_7DayAvg,RespiratoryRate_30DayAvg,VO2Max,VO2Max_7DayAvg,VO2Max_30DayAvg,WalkingHeartRate,WalkingHeartRate_7DayAvg,WalkingHeartRate_30DayAvg
2022-09-25,NULL,33.3,NULL,NULL,NULL,38.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37.5,NULL,NULL,3.635945093,4.144156608000001,3.995686836466666,8120,9025.57142857143,8692.066666666668,225.349,516.6345714285715,NULL,13,NULL,NULL,2,NULL,NULL,42419.8993,18319.812142857143,NULL,38.56953333333333,41.602860952380944,NULL,NULL,NULL,NULL,NULL,NULL,NULL,97.5,96.07142857142856,NULL
2023-07-01,NULL,39,NULL,NULL,44.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.072672884,3.846580249142858,3.278450218223333,9853,9113.714285714286,7452.066666666667,282.115,NULL,NULL,50,NULL,NULL,14,NULL,NULL,5999.89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28.97,NULL,NULL,115,NULL,NULL
2023-08-22,NULL,35.7,NULL,NULL,NULL,40.7,45,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,3.937861642,2.835585515142859,2.883828565366666,9483,6694.857142857143,6842.7,867.3290000000001,NULL,NULL,80,NULL,NULL,NULL,NULL,NULL,14136.826,NULL,NULL,48.63905,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87,NULL,NULL
2023-08-30,NULL,32.5,13,NULL,41.5,NULL,43,12.8,12.8,26,26,15.5,NULL,36,NULL,NULL,1.13910681,3.201034802000002,2.9993172686033334,2655,7333.142857142857,7028.7,141.228,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3148.0624,NULL,NULL,35.530766666666665,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,NULL,NULL
2023-08-31,NULL,36.06,NULL,NULL,NULL,41.03,45.05,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,2.983984184,3.0547029040000018,2.8608603509700004,6961,6962.857142857143,6679.633333333333,723.131,NULL,NULL,81,NULL,NULL,2,NULL,NULL,19417.9215,NULL,NULL,38.5117,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,116,NULL,NULL
2023-09-13,NULL,36.02,NULL,NULL,44,41.6,46,15.5,15.5,NULL,NULL,NULL,NULL,37.6,NULL,NULL,3.532668679,5.1777357168571445,3.67869152717,8344,11260.42857142857,8368.7,781.976,NULL,NULL,57,NULL,NULL,NULL,NULL,NULL,14845.0932,NULL,NULL,49.69298333333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89,NULL,NULL
2023-09-29,NULL,36,13.05,NULL,44.5,41,45.05,12.03,13.7,27,27,16,15.5,38,13.06,13.06,1.14540034,3.641576103142859,3.7637743762333336,2683,8613.42857142857,8621,106.912,NULL,NULL,4,NULL,NULL,2,NULL,NULL,2308.7434,NULL,NULL,34.4018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,96,NULL,NULL
2024-04-01,193,35.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.166987228,1.2821014834285729,1.3932585928666663,4906,2954.285714285714,3101.766666666667,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2024-08-28,195.6,35.81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.883165165,1.2417536251428587,1.3479527389,2059,2764.1428571428573,3023.233333333333,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2024-09-13,NULL,35.52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.15228067,1.124783501428573,1.2324687789666666,331,2588.5714285714284,2824.766666666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2024-09-28,NULL,34.33,13.85,44.12,42.48,40.67,46.17,14.67,14.57,25.57,26.18,15.84,15.81,NULL,NULL,NULL,5.011532277,3.25042034957143,1.8608013136333328,9939,7034.714285714285,4176.1,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2024-11-23,NULL,32.19,13.49,43.27,42.29,39.69,44.31,13.62,13.56,25.63,25.46,15.61,15.46,NULL,NULL,NULL,1.016644127,1.386901581285716,1.6570213517,2346,3149.5714285714284,3699.033333333333,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2025-02-05,NULL,32.61,13.29,43.45,42.65,38.07,44.35,12.87,12.96,26.56,25.95,15.8,15.72,NULL,NULL,NULL,0.59883524,1.304926265428573,1.3791046031666665,1386,2857.428571428572,3023.2,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2025-02-21,181.6,31.68,12.78,41.9,41.04,38.09,43.49,12.38,11.84,26.41,25.34,15.48,15.05,NULL,NULL,NULL,5.43029454,1.9081611420000013,1.6733802667666668,11745,4208,3647.5,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2025-07-30,184.6,32.53,13.06,42,43.3,38.75,44.41,12.88,12.19,26.79,26.14,15.53,15.29,NULL,NULL,NULL,0.9497947,1.940129184285716,1.2361715930333332,2462,4362.857142857143,2904.333333333333,60.248,219.5411428571429,109.9076,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2025-08-02,NULL,32.53,13.06,42,43.3,38.75,44.41,12.88,12.19,28.79,26.14,15.35,15.29,NULL,NULL,NULL,1.295267252,1.6315796287142874,1.2818549931000005,3235,3700,3028.4,183.711,184.15842857142857,116.76216666666666,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2025-10-14,177.2,31.73,12.65,41.84,41.7,38.1,43.72,11.91,11.78,25.16,25.08,15.19,15.12,NULL,NULL,NULL,0.71621113,2.077655505857144,1.2447615965333334,1792,4220.428571428572,2902.5333333333333,50.174,209.1709999999999,102.04846666666666,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2026-04-28,173.2,31.73,12.31,40.22,40.61,37.79,42.01,10.92,10.4,24.29,23.81,14.11,14.22,34.65,12.26,12.03,1.18865165,3.4312534751428587,1.7816625591333335,2643,6948.428571428572,3769.8333333333335,212.307,491.1453856,201.7265899733333,NULL,NULL,NULL,NULL,NULL,NULL,49805,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2026-06-10,177.4,33.54,13.26,40.33,42.09,38.72,43.77,11.29,11.42,25.21,24.92,15.81,15.34,35.61,13.24,13.17,1.26067557,2.934810076000001,2.504038105366667,2885,6367.428571428572,5598.033333333334,169.346,588.0863247714285,485.073280128,NULL,NULL,NULL,1,NULL,NULL,53634,53232.857142857145,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2026-06-12,175.6,33.24,13.21,41.72,42.25,38.54,43.26,11.5,11.49,25.44,24.95,14.94,15.06,35.81,13.19,12.82,2.97597946,2.8549525322857154,2.5364270441666665,6605,6262.142857142857,5638.633333333333,496.86,543.4098040285713,487.5202334946667,NULL,NULL,NULL,2,NULL,NULL,58622,52819.857142857145,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
