weight_lb,activeenergyburned_7day_sum,appleexercisetime_7day_sum,basalenergyburned_7day_sum,flightsclimbed_7day_sum,heartrate_7day_mean,heartratevariabilitysdnn_7day_mean,stepcount_7day_sum,walkingheartrateaverage_7day_mean,walkingspeed_7day_mean,walkingsteplength_7day_mean,avg_hr_7day_mean,avg_stride_length_7day_mean,bodybatterydrain_7day_mean,calories_7day_sum,distance_7day_sum,steps_7day_sum,totalascent_7day_sum,totaldescent_7day_sum,totalreps_7day_sum,totalsets_7day_sum,totaltime_7day_sum
1.0,-0.1273,-0.1094,-0.2045,-0.1588,0.0844,0.0015,-0.4717,0.0122,0.2226,0.3282,0.1631,-0.6391,0.0643,-0.0449,-0.4556,-0.2476,0.1616,-0.0234,-0.3306,-0.3674,-0.1549
-0.1273,1.0,0.8061,0.3695,0.4495,0.2727,0.2365,0.7823,-0.222,-0.0077,-0.2218,-0.6273,0.6769,-0.5318,0.6631,0.6559,0.5937,-0.9717,-0.9921,0.9336,0.9659,0.7195
-0.1094,0.8061,1.0,0.1656,0.4636,0.7227,0.2146,0.5131,-0.1088,-0.4308,-0.4886,,,,,0.5015,,,,,,
-0.2045,0.3695,0.1656,1.0,-0.1336,-0.354,0.1683,0.0125,-0.2342,-0.1012,0.1509,-0.4193,0.5554,-0.6232,0.5246,-0.2349,0.4783,-0.9169,-0.9633,0.9388,0.9209,0.5651
-0.1588,0.4495,0.4636,-0.1336,1.0,0.1539,-0.0577,0.6352,0.1206,0.2967,0.0791,-0.1851,-0.1938,0.0668,-0.2985,0.5848,-0.2999,0.5525,0.5005,-0.366,-0.3197,-0.2794
0.0844,0.2727,0.7227,-0.354,0.1539,1.0,-0.0505,0.2045,0.2466,-0.3504,-0.6364,0.6337,-0.9968,-0.4255,-0.0676,0.3043,-0.6867,0.9968,0.9968,-0.8365,-0.612,-0.3196
0.0015,0.2365,0.2146,0.1683,-0.0577,-0.0505,1.0,-0.0295,-0.1633,-0.215,-0.0904,,,,,-0.0402,,,,,,
-0.4717,0.7823,0.5131,0.0125,0.6352,0.2045,-0.0295,1.0,-0.0802,0.047,-0.2391,-0.3597,0.6496,-0.1361,0.0181,0.9442,-0.0938,-0.0043,0.1137,0.1441,0.2216,0.0771
0.0122,-0.222,-0.1088,-0.2342,0.1206,0.2466,-0.1633,-0.0802,1.0,0.2684,0.232,,,,,-0.0889,,,,,,
0.2226,-0.0077,-0.4308,-0.1012,0.2967,-0.3504,-0.215,0.047,0.2684,1.0,0.7106,-0.2719,0.0773,0.0492,-0.0979,0.0193,-0.2224,0.5602,0.5057,-0.3708,-0.3395,-0.2058
0.3282,-0.2218,-0.4886,0.1509,0.0791,-0.6364,-0.0904,-0.2391,0.232,0.7106,1.0,-0.1983,-0.0124,0.0388,-0.0283,-0.3106,-0.0902,0.3815,0.4245,-0.1749,-0.2329,-0.1048
0.1631,-0.6273,,-0.4193,-0.1851,0.6337,,-0.3597,,-0.2719,-0.1983,1.0,-0.6498,-0.3249,-0.0708,0.1305,-0.1631,0.0018,-0.1393,-0.1106,-0.093,-0.2297
-0.6391,0.6769,,0.5554,-0.1938,-0.9968,,0.6496,,0.0773,-0.0124,-0.6498,1.0,0.1406,-0.1162,-0.0166,0.1582,-0.2174,-0.0508,0.4059,0.322,0.133
0.0643,-0.5318,,-0.6232,0.0668,-0.4255,,-0.1361,,0.0492,0.0388,-0.3249,0.1406,1.0,-0.2713,-0.2036,-0.0878,-0.5068,-0.5525,-0.2145,-0.1735,-0.2242
-0.0449,0.6631,,0.5246,-0.2985,-0.0676,,0.0181,,-0.0979,-0.0283,-0.0708,-0.1162,-0.2713,1.0,-0.0458,0.6128,-0.2158,-0.1469,0.6063,0.7341,0.963
-0.4556,0.6559,0.5015,-0.2349,0.5848,0.3043,-0.0402,0.9442,-0.0889,0.0193,-0.3106,0.1305,-0.0166,-0.2036,-0.0458,1.0,0.0137,0.7515,0.7494,-0.0361,-0.0466,-0.1382
-0.2476,0.5937,,0.4783,-0.2999,-0.6867,,-0.0938,,-0.2224,-0.0902,-0.1631,0.1582,-0.0878,0.6128,0.0137,1.0,-0.2146,-0.1108,0.7563,0.7661,0.6846
0.1616,-0.9717,,-0.9169,0.5525,0.9968,,-0.0043,,0.5602,0.3815,0.0018,-0.2174,-0.5068,-0.2158,0.7515,-0.2146,1.0,0.9364,-0.4874,-0.5544,-0.2691
-0.0234,-0.9921,,-0.9633,0.5005,0.9968,,0.1137,,0.5057,0.4245,-0.1393,-0.0508,-0.5525,-0.1469,0.7494,-0.1108,0.9364,1.0,-0.3249,-0.4009,-0.1391
-0.3306,0.9336,,0.9388,-0.366,-0.8365,,0.1441,,-0.3708,-0.1749,-0.1106,0.4059,-0.2145,0.6063,-0.0361,0.7563,-0.4874,-0.3249,1.0,0.9558,0.674
-0.3674,0.9659,,0.9209,-0.3197,-0.612,,0.2216,,-0.3395,-0.2329,-0.093,0.322,-0.1735,0.7341,-0.0466,0.7661,-0.5544,-0.4009,0.9558,1.0,0.7805
-0.1549,0.7195,,0.5651,-0.2794,-0.3196,,0.0771,,-0.2058,-0.1048,-0.2297,0.133,-0.2242,0.963,-0.1382,0.6846,-0.2691,-0.1391,0.674,0.7805,1.0
