workout_date,workouts,workout_calories,workout_distance,avg_workout_hr
2024-01-12,2,650,NULL,145
2024-01-14,4,740,NULL,144.25
2024-01-15,4,588,NULL,123.25
2024-01-17,1,261,NULL,112
2024-01-22,1,210,1.02,119
2024-01-25,1,163,1.12,121
2024-01-26,2,477,NULL,154
2024-01-27,1,507,NULL,146
2024-01-29,2,457,2.52,152
2024-01-30,1,120,1,87
2024-01-31,3,492,NULL,137.66666666666666
2024-02-01,3,581,NULL,149
2024-02-02,2,429,2.26,153
2024-02-03,3,502,NULL,149.33333333333334
2024-02-05,4,519,0.72,134.75
2024-02-08,1,161,1.02,136
2024-02-10,2,529,3.32,158.5
2024-02-13,1,111,0.92,114
2024-02-15,1,239,NULL,168
2024-02-18,2,599,1.72,130.5
2024-02-19,5,747,1.87,147
2024-02-25,3,1042,NULL,159.33333333333334
2024-02-26,1,85,NULL,115
2024-03-04,3,764,NULL,156
2024-03-05,4,820,NULL,149.75
2024-03-08,4,646,NULL,131.5
2024-03-09,1,721,3.8,167
2024-03-10,1,169,1.37,131
2024-03-12,1,200,1.1,124
2024-03-13,2,445,2.56,132.5
2024-03-14,3,817,0.78,151.66666666666666
2024-03-15,2,215,1.7799999999999998,98
2024-03-16,1,676,4,159
2024-03-17,1,172,1.31,121
2024-03-19,3,767,NULL,148.66666666666666
2024-03-20,1,146,NULL,128
2024-03-23,3,773,NULL,139.66666666666666
2024-03-24,1,497,3.25,163
2024-03-27,2,503,NULL,156.5
2024-03-28,2,488,NULL,155
2024-04-01,4,856,0.66,139
2024-04-02,3,565,NULL,145
2024-04-03,4,498,0.48,132.25
2024-04-08,4,587,NULL,156
2024-04-10,4,624,NULL,121.25
2024-04-11,3,497,0.23,160.66666666666666
2024-04-14,1,712,4.64,168
2024-04-15,2,697,5.1499999999999995,127.5
2024-04-16,1,250,1.58,95
2024-04-19,1,461,3.47,150
2024-04-20,3,508,NULL,127.33333333333333
2024-04-21,1,499,2.75,139
2024-04-22,3,491,NULL,140.33333333333334
2024-04-24,4,814,NULL,147
2024-04-29,3,653,NULL,155.66666666666666
2024-04-30,2,582,NULL,151
2024-05-03,1,521,3.56,163
2024-05-05,2,803,NULL,152.5
2024-05-07,1,303,2.1,160
2024-05-08,2,355,0.06,134
2024-05-09,2,657,NULL,146
2024-05-11,1,719,4.79,160
2024-05-12,3,374,NULL,143.33333333333334
2024-05-13,2,541,4.67,NULL
2024-05-14,3,NULL,NULL,NULL
2024-05-16,2,NULL,NULL,NULL
2024-05-17,1,426,3.91,NULL
2024-05-18,2,461,NULL,150.5
2024-05-19,3,638,1.87,130
2024-05-24,4,888,NULL,150.5
2024-05-25,1,689,5.11,160
2024-05-27,1,427,3.02,113
2024-05-28,2,531,NULL,133
2024-05-31,2,87,0.93,NULL
2024-06-02,1,428,NULL,166
2024-06-03,4,444,NULL,111.5
2024-06-04,2,214,NULL,141
2024-06-05,1,NULL,NULL,93
2024-06-07,2,411,NULL,158
2024-06-09,1,116,NULL,100
2024-06-10,1,315,NULL,154
2024-06-11,1,463,3.5,153
2024-06-15,1,128,0.95,89
2024-06-16,3,561,NULL,134.33333333333334
2024-06-19,2,419,NULL,139.5
2024-07-06,3,614,NULL,128.33333333333334
2024-07-08,2,351,NULL,133.5
2024-07-09,2,477,NULL,128.5
2024-07-10,2,254,NULL,118
2024-07-13,3,237,NULL,136.33333333333334
2024-07-14,1,397,3.2,134
2024-07-20,1,288,1.89,115
2024-07-21,3,575,NULL,123
2024-07-24,2,417,NULL,141
2024-07-25,2,379,NULL,139.5
2024-07-26,2,382,NULL,127
2024-07-28,1,361,2.45,110
2024-07-29,1,514,NULL,156
2024-08-02,2,390,NULL,143
2024-08-03,1,367,NULL,122
2024-08-06,2,839,NULL,139.5
2024-08-07,2,551,NULL,142.5
2024-08-10,4,320,NULL,148.75
2024-08-11,1,555,NULL,154
2024-08-17,4,540,NULL,138.5
2024-08-22,3,386,NULL,119.33333333333333
2024-08-23,3,498,NULL,136
2024-08-24,5,642,0.85,124.6
2024-08-25,1,450,NULL,151
2024-08-26,2,613,NULL,158
2024-08-28,2,494,NULL,150.5
2024-08-29,3,370,NULL,129
2024-08-30,2,514,NULL,141
2024-08-31,1,301,NULL,117
2024-09-02,3,453,NULL,133.33333333333334
2024-09-03,2,448,NULL,146
2024-09-04,2,381,3.04,128.5
2024-09-08,2,525,NULL,151.5
2024-09-09,4,388,0.61,127.75
2024-09-10,2,550,NULL,147.5
2024-09-11,2,616,NULL,136.5
2024-09-12,3,696,NULL,129.66666666666666
2024-09-15,2,709,NULL,141.5
2024-09-18,3,831,NULL,143
2024-09-19,3,814,NULL,147.33333333333334
2024-09-20,1,197,NULL,104
2024-09-22,1,669,4.3,165
2024-09-23,3,493,NULL,138.33333333333334
2024-09-24,3,626,NULL,135.33333333333334
2024-09-25,3,580,4.2,130.33333333333334
2024-09-26,3,378,NULL,138.33333333333334
2024-09-28,1,NULL,5,NULL
2024-09-29,2,278,1.97,119.5
2024-09-30,2,370,NULL,142
2024-10-01,1,410,2.99,144
2024-10-02,1,322,3.14,107
2024-10-07,4,579,2.22,132.25
2024-10-08,3,395,NULL,132
2024-10-10,2,618,4.4799999999999995,127.5
2024-10-13,2,667,4.06,142
2024-10-14,4,825,0.73,141.75
2024-10-17,2,448,2.52,141
2024-10-18,3,529,NULL,127.66666666666667
2024-10-21,3,684,NULL,144
2024-10-24,2,468,NULL,145.5
2024-10-25,3,645,NULL,148
2024-10-26,2,568,3.72,131.5
2024-10-29,2,338,1.9,147
2024-11-01,3,657,NULL,146
2024-11-03,3,709,2.06,140
2024-11-04,1,775,5.18,139
2024-11-06,3,430,NULL,143.33333333333334
2024-11-10,4,825,NULL,141.5
2024-11-12,3,762,NULL,146
2024-11-17,1,164,NULL,114
