date,Avg HR
2024-01-12,145.0
2024-01-14,144.25
2024-01-15,123.25
2024-01-17,112.0
2024-01-22,119.0
2024-01-25,121.0
2024-01-26,154.0
2024-01-27,146.0
2024-01-29,152.0
2024-01-30,87.0
2024-01-31,137.67
2024-02-01,149.0
2024-02-02,153.0
2024-02-03,149.33
2024-02-05,134.75
2024-02-08,136.0
2024-02-10,169.0
2024-02-13,114.0
2024-02-15,168.0
2024-02-18,130.5
2024-02-19,147.0
2024-02-25,159.33
2024-02-26,115.0
2024-03-04,156.0
2024-03-05,149.75
2024-03-08,131.5
2024-03-09,167.0
2024-03-10,131.0
2024-03-12,124.0
2024-03-13,132.5
2024-03-14,151.67
2024-03-15,98.0
2024-03-16,159.0
2024-03-17,121.0
2024-03-19,148.67
2024-03-20,128.0
2024-03-23,139.67
2024-03-24,163.0
2024-03-27,156.5
2024-03-28,155.0
2024-04-01,139.0
2024-04-02,145.0
2024-04-03,132.25
2024-04-08,156.0
2024-04-10,121.25
2024-04-11,160.67
2024-04-14,168.0
2024-04-15,127.5
2024-04-16,95.0
2024-04-19,150.0
2024-04-20,127.33
2024-04-21,139.0
2024-04-22,140.33
2024-04-24,147.0
2024-04-29,155.67
2024-04-30,151.0
2024-05-03,163.0
2024-05-05,152.5
2024-05-07,160.0
2024-05-08,121.0
2024-05-09,146.0
2024-05-11,160.0
2024-05-12,143.33
2024-05-18,150.5
2024-05-19,130.0
2024-05-24,150.5
2024-05-25,160.0
2024-05-27,113.0
2024-05-28,133.0
2024-06-02,166.0
2024-06-03,111.5
2024-06-04,141.0
2024-06-05,93.0
2024-06-07,158.0
2024-06-09,100.0
2024-06-10,154.0
2024-06-11,153.0
2024-06-15,89.0
2024-06-16,134.33
2024-06-19,139.5
2024-07-06,128.33
2024-07-08,133.5
2024-07-09,128.5
2024-07-10,118.0
2024-07-13,136.33
2024-07-14,134.0
2024-07-20,115.0
2024-07-21,123.0
2024-07-24,141.0
2024-07-25,139.5
2024-07-26,127.0
2024-07-28,110.0
2024-07-29,156.0
2024-08-02,143.0
2024-08-03,122.0
2024-08-06,121.0
2024-08-07,142.5
2024-08-10,150.33
2024-08-11,154.0
2024-08-17,138.5
2024-08-22,119.33
2024-08-23,136.0
2024-08-24,124.6
2024-08-25,151.0
2024-08-26,158.0
2024-08-28,150.5
2024-08-29,129.0
2024-08-30,141.0
2024-08-31,117.0
2024-09-02,133.33
2024-09-03,146.0
2024-09-04,140.0
2024-09-08,151.5
2024-09-09,130.2
2024-09-10,147.5
2024-09-11,136.5
2024-09-12,129.67
2024-09-15,141.5
2024-09-18,143.0
2024-09-19,147.33
2024-09-20,104.0
2024-09-22,165.0
2024-09-23,138.33
2024-09-24,135.33
2024-09-25,145.0
2024-09-26,138.33
2024-09-29,119.5
2024-09-30,143.0
2024-10-01,144.0
2024-10-02,107.0
2024-10-07,132.25
2024-10-08,132.0
2024-10-10,127.5
2024-10-13,142.0
2024-10-14,141.75
2024-10-17,141.0
2024-10-18,127.67
2024-10-21,144.0
2024-10-24,145.5
2024-10-25,148.0
2024-10-26,140.0
2024-10-29,147.0
2024-11-01,146.0
2024-11-03,140.0
2024-11-06,143.33
2024-11-10,141.5
2024-11-12,146.0
2024-11-17,114.0
2024-11-18,137.0
2024-11-21,129.33
2024-11-22,136.0
2024-11-23,153.0
2024-11-24,143.0
2024-11-25,145.0
2024-11-27,138.0
2024-11-30,136.5
2024-12-01,139.0
2024-12-02,142.0
2024-12-06,145.5
2024-12-07,161.0
2024-12-09,147.0
2024-12-10,140.5
2024-12-12,130.5
2024-12-13,140.5
2024-12-18,132.5
2024-12-22,132.67
2024-12-23,134.0
2024-12-27,137.5
2024-12-28,140.0
2024-12-29,152.0
2024-12-30,139.0
2025-01-01,145.0
2025-01-02,140.5
2025-01-03,115.0
2025-01-04,120.0
2025-01-05,128.67
2025-01-06,151.0
2025-01-08,131.67
2025-01-11,141.0
2025-01-12,128.67
2025-01-15,131.5
2025-01-17,149.33
2025-01-19,129.67
2025-01-21,144.0
2025-01-24,121.5
2025-01-27,127.0
2025-01-28,139.0
2025-01-30,136.0
2025-01-31,150.0
2025-02-01,131.0
2025-02-02,104.0
2025-02-03,146.0
2025-02-05,133.33
2025-02-07,136.0
2025-02-09,133.0
2025-02-10,160.0
2025-02-13,149.33
2025-02-15,129.67
2025-02-16,126.67
2025-02-18,140.0
2025-02-20,142.0
2025-02-21,122.0
2025-02-22,129.0
2025-02-25,133.67
2025-02-26,166.0
2025-02-28,154.0
2025-03-01,107.0
2025-03-02,129.0
2025-03-03,140.33
2025-03-05,141.67
2025-03-06,129.5
2025-03-08,134.5
2025-03-09,123.0
2025-03-10,127.0
2025-03-14,129.25
2025-03-19,138.5
2025-03-25,134.33
2025-03-27,151.0
2025-03-31,136.33
2025-04-05,125.0
2025-04-06,149.67
2025-04-08,161.0
2025-04-10,137.67
2025-04-13,112.0
2025-04-14,125.0
2025-04-18,146.67
2025-04-19,133.5
2025-04-20,158.0
2025-04-21,133.0
2025-04-22,129.0
2025-04-23,130.0
2025-04-25,149.0
2025-04-28,109.33
2025-04-30,159.0
2025-05-02,153.0
2025-05-03,122.67
2025-05-04,131.0
2025-05-06,140.33
2025-05-07,122.0
2025-05-09,132.67
2025-05-12,146.0
2025-05-14,129.67
2025-05-15,141.0
2025-05-19,128.0
2025-05-21,139.67
2025-05-22,120.0
2025-05-23,133.33
2025-05-24,110.0
2025-05-26,133.0
2025-05-28,158.0
2025-05-29,142.0
2025-06-05,142.33
2025-06-06,137.67
2025-06-10,133.0
2025-06-11,117.25
2025-06-16,113.0
2025-06-20,124.0
2025-06-21,133.33
2025-06-23,130.0
2025-06-24,114.0
2025-06-25,122.67
2025-06-28,114.5
2025-06-29,136.0
2025-06-30,129.25
2025-07-02,131.5
2025-07-03,129.33
2025-07-04,126.33
2025-07-08,137.33
2025-07-10,128.5
2025-07-12,134.0
2025-07-14,137.0
2025-07-15,116.0
2025-07-16,113.0
2025-07-17,123.5
2025-07-18,131.0
2025-07-20,106.5
2025-07-22,127.0
2025-07-24,135.5
2025-07-26,136.0
2025-07-28,132.0
2025-07-30,129.0
2025-08-04,122.0
2025-08-05,116.0
2025-08-06,117.5
2025-08-07,136.0
2025-08-09,126.67
2025-08-10,119.0
2025-08-11,123.0
2025-08-13,128.5
2025-08-16,116.0
2025-08-17,113.0
2025-08-18,85.0
2025-08-22,132.0
2025-08-23,130.0
2025-08-25,125.5
2025-08-27,136.0
2025-08-29,125.33
2025-09-03,118.0
2025-09-04,139.0
2025-09-06,107.0
2025-09-08,139.0
2025-09-09,110.0
2025-09-15,145.5
2025-09-16,113.0
2025-09-17,109.0
2025-09-22,146.5
2025-09-23,109.5
2025-09-29,121.0
2025-09-30,134.0
2025-10-04,137.0
2025-10-09,130.0
2025-10-10,155.0
2025-10-12,125.0
2025-10-14,140.33
2025-12-11,158.0
2025-12-12,117.0
2025-12-13,128.67
2025-12-14,140.0
2025-12-17,153.5
2025-12-20,133.0
2025-12-23,140.5
2025-12-29,151.0
2025-12-30,149.0
2026-01-02,145.0
2026-01-03,144.5
2026-01-05,123.0
2026-01-06,122.0
2026-01-15,166.0
2026-01-20,138.5
2026-01-22,137.0
2026-01-26,141.33
2026-01-27,131.5
2026-01-29,135.0
2026-02-14,118.0
2026-02-23,87.0
2026-02-27,143.33
2026-02-28,100.0
2026-03-04,161.0
2026-03-06,153.0
2026-03-07,92.0
2026-03-12,124.5
2026-03-17,151.67
2026-03-20,130.0
2026-03-22,141.0
2026-03-25,149.5
2026-03-31,132.0
2026-04-01,133.0
2026-04-03,95.5
2026-04-06,148.0
2026-04-07,86.0
2026-04-08,134.67
2026-04-09,157.5
2026-04-10,123.5
2026-04-13,81.0
2026-04-15,162.0
2026-04-22,117.33
2026-04-23,165.0
2026-04-26,134.0
2026-04-27,140.5
2026-04-29,155.0
2026-05-01,154.0
2026-05-05,137.67
2026-05-06,133.25
2026-05-10,110.0
2026-05-13,151.67
2026-05-14,154.67
2026-05-15,145.33
2026-05-20,149.0
2026-05-21,146.0
2026-05-22,147.5
2026-05-28,125.5
2026-05-29,126.0
2026-06-01,102.0
2026-06-02,135.33
2026-06-04,145.5
2026-06-05,128.0
2026-06-06,114.0
2026-06-07,138.67
2026-06-08,135.0
2026-06-11,141.0
2026-06-13,130.67
2026-06-15,138.33
2026-06-16,128.5
2026-06-18,130.0
2026-06-24,123.67
