date,Distance
2024-01-22,1.02
2024-01-25,1.12
2024-01-29,2.52
2024-01-30,1.0
2024-02-02,2.26
2024-02-05,0.72
2024-02-08,1.02
2024-02-10,3.19
2024-02-13,0.92
2024-02-18,1.72
2024-02-19,1.87
2024-03-09,3.8
2024-03-10,1.37
2024-03-12,1.1
2024-03-13,2.56
2024-03-14,0.78
2024-03-15,1.78
2024-03-16,4.0
2024-03-17,1.31
2024-03-24,3.25
2024-04-01,0.66
2024-04-03,0.48
2024-04-11,0.23
2024-04-14,4.64
2024-04-15,5.15
2024-04-16,1.58
2024-04-19,3.47
2024-04-21,2.75
2024-05-03,3.56
2024-05-07,2.1
2024-05-11,4.79
2024-05-13,4.67
2024-05-17,3.91
2024-05-19,1.87
2024-05-25,5.11
2024-05-27,3.02
2024-05-31,0.93
2024-06-11,3.5
2024-06-15,0.95
2024-07-14,3.2
2024-07-20,1.89
2024-07-28,2.45
2024-08-24,0.85
2024-09-04,3.04
2024-09-09,0.61
2024-09-22,4.3
2024-09-25,4.04
2024-09-28,5.0
2024-09-29,1.97
2024-10-01,2.99
2024-10-02,3.14
2024-10-07,2.22
2024-10-10,4.48
2024-10-13,4.06
2024-10-14,0.73
2024-10-17,2.52
2024-10-26,3.72
2024-10-29,1.9
2024-11-03,2.06
2024-12-07,3.46
2024-12-13,5.02
2024-12-28,4.77
2024-12-29,4.7
2025-01-01,4.18
2025-01-04,3.95
2025-01-21,1.99
2025-01-27,3.56
2025-01-30,2.77
2025-02-09,2.87
2025-02-21,4.58
2025-02-22,1.01
2025-02-26,3.42
2025-03-14,4.26
2025-04-05,2.89
2025-04-08,2.87
2025-04-20,3.16
2025-05-12,4.66
2025-05-28,2.7
2025-06-11,4.08
2025-07-04,3.15
2025-07-26,2.05
2025-08-18,0.77
2025-09-06,8.67
2025-09-17,0.27
2025-10-10,4.76
2025-10-12,4.77
2025-12-12,1.08
2025-12-13,1.42
2026-02-28,1.57
2026-03-06,1.83
2026-03-07,2.82
2026-03-12,1.05
2026-03-22,5.09
2026-04-03,1.04
2026-04-07,1.29
2026-04-09,3.94
2026-04-13,1.65
2026-04-15,4.01
2026-04-23,5.1
2026-04-29,3.85
2026-05-06,1.84
2026-06-06,1.23
2026-06-16,4.57
