date,Max HR
2024-01-12,172.0
2024-01-14,168.5
2024-01-15,145.5
2024-01-17,149.0
2024-01-22,136.0
2024-01-25,136.0
2024-01-26,172.0
2024-01-27,175.0
2024-01-29,179.5
2024-01-30,110.0
2024-01-31,162.33
2024-02-01,170.67
2024-02-02,179.0
2024-02-03,175.67
2024-02-05,151.25
2024-02-08,152.0
2024-02-10,201.0
2024-02-13,127.0
2024-02-15,188.0
2024-02-18,155.0
2024-02-19,171.4
2024-02-25,181.33
2024-02-26,143.0
2024-03-04,180.33
2024-03-05,170.25
2024-03-08,154.75
2024-03-09,208.0
2024-03-10,145.0
2024-03-12,146.0
2024-03-13,150.5
2024-03-14,170.67
2024-03-15,114.5
2024-03-16,184.0
2024-03-17,147.0
2024-03-19,171.33
2024-03-20,158.0
2024-03-23,171.33
2024-03-24,187.0
2024-03-27,175.5
2024-03-28,176.0
2024-04-01,159.75
2024-04-02,164.0
2024-04-03,154.25
2024-04-08,176.5
2024-04-10,148.75
2024-04-11,177.33
2024-04-14,190.0
2024-04-15,139.0
2024-04-16,117.0
2024-04-19,173.0
2024-04-20,150.67
2024-04-21,171.0
2024-04-22,166.33
2024-04-24,170.5
2024-04-29,174.0
2024-04-30,176.0
2024-05-03,184.0
2024-05-05,179.5
2024-05-07,173.0
2024-05-08,158.0
2024-05-09,174.5
2024-05-11,183.0
2024-05-12,166.33
2024-05-18,178.0
2024-05-19,152.67
2024-05-24,180.5
2024-05-25,181.0
2024-05-27,147.0
2024-05-28,173.5
2024-06-02,186.0
2024-06-03,133.25
2024-06-04,171.0
2024-06-05,101.0
2024-06-07,186.5
2024-06-09,135.0
2024-06-10,190.0
2024-06-11,176.0
2024-06-15,117.0
2024-06-16,166.0
2024-06-19,173.5
2024-07-06,160.67
2024-07-08,160.5
2024-07-09,167.5
2024-07-10,154.5
2024-07-13,159.67
2024-07-14,164.0
2024-07-20,143.0
2024-07-21,154.33
2024-07-24,173.5
2024-07-25,175.0
2024-07-26,159.5
2024-07-28,146.0
2024-07-29,208.0
2024-08-02,167.0
2024-08-03,180.0
2024-08-06,150.0
2024-08-07,166.5
2024-08-10,167.67
2024-08-11,186.0
2024-08-17,162.0
2024-08-22,153.33
2024-08-23,164.67
2024-08-24,150.8
2024-08-25,176.0
2024-08-26,178.0
2024-08-28,170.0
2024-08-29,152.67
2024-08-30,159.0
2024-08-31,158.0
2024-09-02,160.0
2024-09-03,173.0
