date,Steps
2024-01-14,52.0
2024-01-15,48.0
2024-01-17,92.0
2024-01-27,72.0
2024-01-31,1016.0
2024-02-01,52.0
2024-02-03,72.0
2024-02-05,988.0
2024-02-18,150.0
2024-02-19,228.0
2024-02-25,74.0
2024-03-04,170.0
2024-03-05,104.0
2024-03-08,220.0
2024-03-14,178.0
2024-03-19,44.0
2024-03-20,40.0
2024-03-23,258.0
2024-04-01,152.0
2024-04-02,120.0
2024-04-03,148.0
2024-04-10,196.0
2024-04-11,488.0
2024-04-20,180.0
2024-04-22,156.0
2024-04-24,228.0
2024-04-30,92.0
2024-05-05,382.0
2024-05-08,244.0
2024-05-09,36.0
2024-05-12,110.0
2024-05-14,74.0
2024-05-16,222.0
2024-05-18,24.0
2024-05-19,118.0
2024-05-24,216.0
2024-05-28,226.0
2024-06-03,186.0
2024-06-09,18.0
2024-06-16,150.0
2024-06-19,114.0
2024-07-06,154.0
2024-07-08,62.0
2024-07-09,136.0
2024-07-10,34.0
2024-07-13,14.0
2024-07-21,1224.0
2024-07-24,18.0
2024-07-26,42.0
2024-08-07,188.0
2024-08-17,178.0
2024-08-22,98.0
2024-08-23,98.0
2024-08-24,256.0
2024-08-29,638.0
2024-08-31,168.0
2024-09-02,70.0
2024-09-03,144.0
2024-09-09,740.0
2024-09-11,226.0
2024-09-12,218.0
2024-09-15,56.0
2024-09-18,202.0
2024-09-19,152.0
2024-09-20,92.0
2024-09-23,98.0
2024-09-24,182.0
2024-09-30,200.0
2024-10-07,110.0
2024-10-08,76.0
2024-10-14,124.0
2024-10-18,240.0
2024-10-21,220.0
2024-10-25,100.0
2024-11-03,176.0
2024-11-06,128.0
2024-11-10,114.0
2024-11-17,88.0
2024-11-18,272.0
2024-11-21,266.0
2024-11-22,884.0
2024-11-24,210.0
2024-11-25,120.0
2024-11-30,322.0
2024-12-06,110.0
2024-12-10,38.0
2024-12-22,320.0
2024-12-23,134.0
2024-12-27,170.0
2024-12-30,160.0
2025-01-04,674.0
2025-01-05,344.0
2025-01-08,194.0
2025-01-11,136.0
2025-01-12,156.0
2025-01-17,220.0
2025-01-19,282.0
2025-01-28,196.0
2025-01-30,292.0
2025-02-01,306.0
2025-02-02,68.0
2025-02-03,160.0
2025-02-05,32.0
2025-02-13,118.0
2025-02-15,192.0
2025-02-16,128.0
2025-02-20,200.0
2025-02-22,108.0
2025-02-25,100.0
2025-02-26,132.0
2025-03-01,174.0
2025-03-03,46.0
2025-03-05,108.0
2025-03-06,232.0
2025-03-08,258.0
2025-03-10,78.0
2025-03-14,230.0
2025-03-25,116.0
2025-03-27,50.0
2025-03-31,188.0
2025-04-06,188.0
2025-04-10,156.0
2025-04-13,176.0
2025-04-14,250.0
2025-04-18,212.0
2025-04-19,26.0
2025-04-21,48.0
2025-04-22,74.0
2025-04-23,84.0
2025-04-28,232.0
2025-05-02,136.0
2025-05-03,146.0
2025-05-04,22.0
2025-05-06,112.0
2025-05-07,102.0
2025-05-09,134.0
2025-05-14,156.0
2025-05-15,152.0
2025-05-19,66.0
2025-05-21,98.0
2025-05-22,336.0
2025-05-23,104.0
2025-05-24,1082.0
2025-05-26,240.0
2025-05-29,250.0
2025-06-05,90.0
2025-06-06,194.0
2025-06-10,130.0
2025-06-16,82.0
2025-06-20,92.0
2025-06-21,182.0
2025-06-23,1052.0
2025-06-24,152.0
2025-06-25,116.0
2025-06-28,204.0
2025-06-29,112.0
2025-06-30,204.0
2025-07-03,132.0
2025-07-04,258.0
2025-07-08,110.0
2025-07-14,134.0
2025-07-16,68.0
2025-07-17,94.0
2025-07-18,156.0
2025-07-20,152.0
2025-07-24,148.0
2025-07-28,66.0
2025-07-30,120.0
2025-08-04,92.0
2025-08-05,1112.0
2025-08-06,146.0
2025-08-07,120.0
2025-08-09,166.0
2025-08-10,120.0
2025-08-11,152.0
2025-08-13,184.0
2025-08-16,356.0
2025-08-17,102.0
2025-08-22,232.0
2025-08-23,290.0
2025-08-25,122.0
2025-08-27,94.0
2025-08-29,166.0
2025-09-03,202.0
2025-09-04,50.0
2025-09-08,210.0
2025-09-09,26.0
2025-09-15,68.0
2025-09-16,244.0
2025-09-17,538.0
2025-09-22,130.0
2025-09-23,160.0
2025-09-30,132.0
2025-10-04,264.0
2025-10-09,744.0
2025-10-14,108.0
2025-12-11,250.0
2025-12-14,52.0
2025-12-17,226.0
2025-12-20,86.0
2025-12-23,172.0
2025-12-30,118.0
2026-01-03,70.0
2026-01-06,100.0
2026-01-20,206.0
2026-01-22,88.0
2026-01-26,184.0
2026-01-27,84.0
2026-01-29,114.0
2026-02-14,244.0
2026-02-27,338.0
2026-03-07,1770.0
2026-03-12,290.0
2026-03-17,84.0
2026-03-20,170.0
2026-03-25,338.0
2026-03-31,86.0
2026-04-01,138.0
2026-04-03,804.0
2026-04-08,298.0
2026-04-10,262.0
2026-04-22,98.0
2026-04-26,256.0
2026-04-27,228.0
2026-05-01,120.0
2026-05-05,26.0
2026-05-06,108.0
2026-05-10,116.0
2026-05-13,240.0
2026-05-14,252.0
2026-05-15,156.0
2026-05-20,118.0
2026-05-21,162.0
2026-05-22,314.0
2026-05-28,170.0
2026-05-29,252.0
2026-06-02,290.0
2026-06-04,124.0
2026-06-05,82.0
2026-06-07,304.0
2026-06-08,200.0
2026-06-11,150.0
2026-06-13,230.0
2026-06-15,52.0
2026-06-18,72.0
2026-06-24,176.0
