date,Total Ascent
2024-01-22,293.0
2024-01-25,216.0
2024-01-29,112.0
2024-01-30,59.0
2024-02-02,84.0
2024-02-08,246.0
2024-02-10,126.0
2024-02-13,20.0
2024-02-18,117.0
2024-02-19,17.0
2024-03-09,167.0
2024-03-10,94.0
2024-03-12,66.0
2024-03-13,119.0
2024-03-15,77.0
2024-03-16,153.0
2024-03-17,96.0
2024-03-24,141.0
2024-04-01,5.0
2024-04-11,28.0
2024-04-14,186.0
2024-04-15,180.0
2024-04-16,57.0
2024-04-19,142.0
2024-04-21,691.0
2024-05-03,140.0
2024-05-07,97.0
2024-05-11,191.0
2024-05-13,188.0
2024-05-17,151.0
2024-05-19,3.0
2024-05-25,195.0
2024-05-27,483.0
2024-05-31,59.0
2024-06-11,146.0
2024-06-15,58.0
2024-07-14,131.0
2024-07-20,271.0
2024-07-28,429.0
2024-08-24,9.0
2024-09-04,320.0
2024-09-25,129.0
2024-09-29,127.0
2024-10-01,125.0
2024-10-02,95.0
2024-10-07,110.0
2024-10-10,175.0
2024-10-13,168.0
2024-10-17,100.0
2024-10-26,165.0
2024-10-29,53.0
2024-11-03,77.0
2024-12-13,217.0
2024-12-28,189.0
2024-12-29,18.0
2025-01-01,166.0
2025-01-04,150.0
2025-01-21,7.0
2025-01-27,159.0
2025-01-30,19.0
2025-02-09,115.0
2025-02-21,211.0
2025-02-22,32.0
2025-02-26,504.0
2025-03-14,32.0
2025-04-05,534.0
2025-04-08,129.0
2025-04-20,13.0
2025-05-12,151.0
2025-05-28,120.0
2025-06-11,160.0
2025-07-04,136.0
2025-07-26,382.0
2025-08-18,17.0
2025-09-06,994.0
2025-10-10,191.0
2025-10-12,179.0
2025-12-13,67.0
2026-02-28,6.0
2026-03-06,72.0
2026-03-07,89.0
2026-03-12,78.0
2026-03-22,153.0
2026-04-03,59.0
2026-04-07,97.0
2026-04-09,139.0
2026-04-13,87.0
2026-04-15,156.0
2026-04-23,201.0
2026-04-29,155.0
2026-05-06,129.0
2026-06-06,51.0
2026-06-16,16.0
