date,Total Descent
2024-01-29,112.0
2024-01-30,58.0
2024-02-02,82.0
2024-02-08,37.0
2024-02-10,163.0
2024-02-13,13.0
2024-02-18,112.0
2024-02-19,17.0
2024-03-09,163.0
2024-03-10,91.0
2024-03-12,50.0
2024-03-13,118.0
2024-03-15,69.0
2024-03-16,149.0
2024-03-17,93.0
2024-03-24,139.0
2024-04-01,6.0
2024-04-14,179.0
2024-04-15,181.0
2024-04-16,55.0
2024-04-19,131.0
2024-04-21,675.0
2024-05-03,142.0
2024-05-07,90.0
2024-05-11,188.0
2024-05-13,179.0
2024-05-17,157.0
2024-05-25,198.0
2024-05-27,473.0
2024-05-31,53.0
2024-06-11,144.0
2024-06-15,48.0
2024-07-14,87.0
2024-07-20,662.0
2024-07-28,390.0
2024-08-24,3.0
2024-09-04,430.0
2024-09-25,153.0
2024-09-29,119.0
2024-10-01,105.0
2024-10-02,138.0
2024-10-07,127.0
2024-10-10,179.0
2024-10-13,167.0
2024-10-17,77.0
2024-10-26,172.0
2024-10-29,115.0
2024-11-03,67.0
2024-12-13,190.0
2024-12-28,190.0
2024-12-29,15.0
2025-01-01,162.0
2025-01-04,153.0
2025-01-21,7.0
2025-01-27,139.0
2025-01-30,19.0
2025-02-09,115.0
2025-02-21,210.0
2025-02-26,493.0
2025-03-14,14.0
2025-04-05,533.0
2025-04-08,112.0
2025-04-20,14.0
2025-05-12,153.0
2025-05-28,111.0
2025-06-11,156.0
2025-07-04,132.0
2025-07-26,395.0
2025-08-18,5.0
2025-09-17,3.0
2025-10-10,186.0
2025-10-12,199.0
2025-12-13,63.0
2026-02-28,4.0
2026-03-06,80.0
2026-03-07,74.0
2026-03-12,62.0
2026-03-22,167.0
2026-04-03,20.0
2026-04-07,90.0
2026-04-09,142.0
2026-04-13,52.0
2026-04-15,163.0
2026-04-23,202.0
2026-04-29,161.0
2026-05-06,131.0
2026-06-06,120.0
2026-06-16,11.0
