date,Total Reps
2024-01-12,40.0
2024-01-14,26.0
2024-01-15,24.0
2024-01-17,46.0
2024-01-27,36.0
2024-01-31,36.0
2024-02-01,67.0
2024-02-03,36.0
2024-02-05,5.0
2024-02-18,75.0
2024-02-19,114.0
2024-02-25,37.0
2024-03-04,105.0
2024-03-05,52.0
2024-03-08,110.0
2024-03-14,89.0
2024-03-19,22.0
2024-03-20,20.0
2024-03-23,129.0
2024-04-01,76.0
2024-04-02,60.0
2024-04-03,74.0
2024-04-10,98.0
2024-04-20,115.0
2024-04-22,78.0
2024-04-24,114.0
2024-04-30,46.0
2024-05-05,191.0
2024-05-08,122.0
2024-05-09,18.0
2024-05-12,55.0
2024-05-14,37.0
2024-05-16,111.0
2024-05-18,12.0
2024-05-19,59.0
2024-05-24,108.0
2024-05-28,113.0
2024-06-03,93.0
2024-06-09,9.0
2024-06-16,75.0
2024-06-19,57.0
2024-07-06,77.0
2024-07-08,31.0
2024-07-09,68.0
2024-07-10,17.0
2024-07-13,7.0
2024-07-21,151.0
2024-07-24,9.0
2024-07-26,21.0
2024-08-07,94.0
2024-08-17,89.0
2024-08-22,49.0
2024-08-23,49.0
2024-08-24,128.0
2024-08-29,21.0
2024-08-31,84.0
2024-09-02,35.0
2024-09-03,72.0
2024-09-09,86.0
2024-09-11,113.0
2024-09-12,109.0
2024-09-15,105.0
2024-09-18,101.0
2024-09-19,76.0
2024-09-20,46.0
2024-09-23,49.0
2024-09-24,91.0
2024-09-30,100.0
2024-10-07,55.0
2024-10-08,81.0
2024-10-14,121.0
2024-10-18,120.0
2024-10-21,173.0
2024-10-25,50.0
2024-11-03,88.0
2024-11-06,64.0
2024-11-10,84.0
2024-11-17,44.0
2024-11-18,136.0
2024-11-21,163.0
2024-11-22,104.0
2024-11-24,105.0
2024-11-25,136.0
2024-11-30,122.0
2024-12-06,55.0
2024-12-10,53.0
2024-12-22,160.0
2024-12-23,132.0
2024-12-27,85.0
2024-12-30,80.0
2025-01-05,172.0
2025-01-08,97.0
2025-01-11,68.0
2025-01-12,78.0
2025-01-17,117.0
2025-01-19,141.0
2025-01-28,98.0
2025-01-30,146.0
2025-02-01,153.0
2025-02-02,34.0
2025-02-03,80.0
2025-02-05,16.0
2025-02-13,71.0
2025-02-15,96.0
2025-02-16,64.0
2025-02-20,100.0
2025-02-22,54.0
2025-02-25,50.0
2025-02-26,66.0
2025-03-01,87.0
2025-03-03,23.0
2025-03-05,54.0
2025-03-06,116.0
2025-03-08,129.0
2025-03-10,39.0
2025-03-14,115.0
2025-03-25,58.0
2025-03-27,25.0
2025-04-06,94.0
2025-04-10,78.0
2025-04-13,88.0
2025-04-14,125.0
2025-04-18,106.0
2025-04-19,74.0
2025-04-21,24.0
2025-04-22,37.0
2025-04-23,42.0
2025-04-28,116.0
2025-05-02,68.0
2025-05-03,73.0
2025-05-04,11.0
2025-05-06,56.0
2025-05-07,51.0
2025-05-09,67.0
2025-05-14,78.0
2025-05-15,76.0
2025-05-19,33.0
2025-05-21,49.0
2025-05-22,168.0
2025-05-23,52.0
2025-05-24,87.0
2025-05-26,120.0
2025-05-29,125.0
2025-06-05,45.0
2025-06-06,97.0
2025-06-10,65.0
2025-06-16,41.0
2025-06-20,46.0
2025-06-21,91.0
2025-06-23,82.0
2025-06-24,76.0
2025-06-25,58.0
2025-06-28,102.0
2025-06-29,107.0
2025-06-30,102.0
2025-07-03,66.0
2025-07-04,129.0
2025-07-08,55.0
2025-07-14,67.0
2025-07-16,34.0
2025-07-17,47.0
2025-07-18,78.0
2025-07-20,76.0
2025-07-24,74.0
2025-07-28,33.0
2025-07-30,60.0
2025-08-04,46.0
2025-08-05,103.0
2025-08-06,73.0
2025-08-07,60.0
2025-08-09,83.0
2025-08-10,60.0
2025-08-11,76.0
2025-08-13,92.0
2025-08-16,178.0
2025-08-17,51.0
2025-08-22,116.0
2025-08-23,145.0
2025-08-25,61.0
2025-08-27,47.0
2025-08-29,83.0
2025-09-03,101.0
2025-09-04,25.0
2025-09-08,105.0
2025-09-09,13.0
2025-09-15,34.0
2025-09-16,122.0
2025-09-22,65.0
2025-09-23,80.0
2025-09-30,66.0
2025-10-04,132.0
2025-10-09,18.0
2025-10-14,55.0
2025-12-11,125.0
2025-12-14,26.0
2025-12-17,113.0
2025-12-20,43.0
2025-12-23,86.0
2025-12-30,44.0
2026-01-03,35.0
2026-01-06,50.0
2026-01-20,103.0
2026-01-22,49.0
2026-01-26,92.0
2026-01-27,42.0
2026-01-29,57.0
2026-02-14,122.0
2026-02-27,169.0
2026-03-12,171.0
2026-03-17,42.0
2026-03-20,85.0
2026-03-25,169.0
2026-03-31,43.0
2026-04-01,74.0
2026-04-08,99.0
2026-04-10,131.0
2026-04-22,49.0
2026-04-26,128.0
2026-04-27,114.0
2026-05-01,60.0
2026-05-05,13.0
2026-05-06,54.0
2026-05-10,58.0
2026-05-13,144.0
2026-05-14,126.0
2026-05-15,78.0
2026-05-20,59.0
2026-05-21,81.0
2026-05-22,157.0
2026-05-28,85.0
2026-05-29,126.0
2026-06-02,155.0
2026-06-04,62.0
2026-06-05,75.0
2026-06-07,152.0
2026-06-08,100.0
2026-06-11,108.0
2026-06-13,115.0
2026-06-15,26.0
2026-06-18,36.0
2026-06-24,88.0
