date,Total Sets
2024-01-12,4.0
2024-01-14,3.0
2024-01-15,5.0
2024-01-17,6.0
2024-01-26,1.0
2024-01-27,8.0
2024-01-29,1.0
2024-01-31,8.0
2024-02-01,8.0
2024-02-02,2.0
2024-02-03,5.0
2024-02-05,3.0
2024-02-18,8.0
2024-02-19,14.0
2024-02-25,11.0
2024-02-26,2.0
2024-03-04,14.0
2024-03-05,15.0
2024-03-08,19.0
2024-03-13,2.0
2024-03-14,15.0
2024-03-19,13.0
2024-03-20,5.0
2024-03-23,24.0
2024-03-27,1.0
2024-03-28,1.0
2024-04-01,14.0
2024-04-02,15.0
2024-04-03,10.0
2024-04-08,1.0
2024-04-10,19.0
2024-04-20,12.0
2024-04-22,9.0
2024-04-24,21.0
2024-04-29,3.0
2024-04-30,11.0
2024-05-05,23.0
2024-05-08,13.0
2024-05-09,10.0
2024-05-12,8.0
2024-05-14,16.0
2024-05-16,14.0
2024-05-18,4.0
2024-05-19,8.0
2024-05-24,15.0
2024-05-28,13.0
2024-06-03,16.0
2024-06-04,1.0
2024-06-07,1.0
2024-06-09,3.0
2024-06-16,10.0
2024-06-19,9.0
2024-07-06,12.0
2024-07-08,7.0
2024-07-09,10.0
2024-07-10,2.0
2024-07-13,5.0
2024-07-21,16.0
2024-07-24,2.0
2024-07-25,2.0
2024-07-26,14.0
2024-08-02,3.0
2024-08-06,1.0
2024-08-07,16.0
2024-08-10,6.0
2024-08-17,11.0
2024-08-22,12.0
2024-08-23,9.0
2024-08-24,23.0
2024-08-26,1.0
2024-08-28,2.0
2024-08-29,7.0
2024-08-30,1.0
2024-08-31,10.0
2024-09-02,12.0
2024-09-03,14.0
2024-09-08,1.0
2024-09-09,11.0
2024-09-10,1.0
2024-09-11,19.0
2024-09-12,16.0
2024-09-15,10.0
2024-09-18,18.0
2024-09-19,13.0
2024-09-20,7.0
2024-09-23,10.0
2024-09-24,13.0
2024-09-25,2.0
2024-09-26,2.0
2024-09-30,11.0
2024-10-07,8.0
2024-10-08,8.0
2024-10-13,2.0
2024-10-14,11.0
2024-10-17,1.0
2024-10-18,20.0
2024-10-21,16.0
2024-10-24,3.0
2024-10-25,12.0
2024-10-29,1.0
2024-11-01,2.0
2024-11-03,15.0
2024-11-06,8.0
2024-11-10,8.0
2024-11-12,3.0
2024-11-17,9.0
2024-11-18,16.0
2024-11-21,16.0
2024-11-22,17.0
2024-11-23,1.0
2024-11-24,16.0
2024-11-25,12.0
2024-11-30,11.0
2024-12-01,1.0
2024-12-02,2.0
2024-12-06,9.0
2024-12-10,4.0
2024-12-12,1.0
