date,Total Time
2024-01-12,67.52
2024-01-14,71.45
2024-01-15,77.75
2024-01-17,44.7
2024-01-22,30.77
2024-01-25,23.52
2024-01-26,37.83
2024-01-27,52.95
2024-01-29,43.65
2024-01-30,31.72
2024-01-31,55.8
2024-02-01,58.43
2024-02-02,40.87
2024-02-03,50.33
2024-02-05,62.0
2024-02-08,21.55
2024-02-10,48.62
2024-02-13,19.03
2024-02-15,20.33
2024-02-18,86.39
2024-02-19,80.0
2024-02-25,95.16
2024-02-26,14.9
2024-03-04,71.01
2024-03-05,83.15
2024-03-08,78.53
2024-03-09,72.37
2024-03-10,26.68
2024-03-12,34.17
2024-03-13,50.93
2024-03-14,78.62
2024-03-15,42.13
2024-03-16,71.4
2024-03-17,26.48
2024-03-19,78.51
2024-03-20,19.6
2024-03-23,94.24
2024-03-24,48.77
2024-03-27,42.67
2024-03-28,42.34
2024-04-01,91.47
2024-04-02,62.54
2024-04-03,33.05
2024-04-08,26.35
2024-04-10,95.64
2024-04-11,37.37
2024-04-14,72.2
2024-04-15,82.07
2024-04-16,65.52
2024-04-19,53.32
2024-04-20,57.87
2024-04-21,71.8
2024-04-22,48.29
2024-04-24,63.13
2024-04-29,46.42
2024-04-30,62.65
2024-05-03,54.62
2024-05-05,61.63
2024-05-07,32.85
2024-05-08,52.07
2024-05-09,72.07
2024-05-11,79.68
2024-05-12,42.32
2024-05-13,70.56
2024-05-14,124.2
2024-05-16,58.78
2024-05-17,61.87
2024-05-18,44.3
2024-05-19,79.21
2024-05-24,58.79
2024-05-25,81.1
2024-05-27,83.22
2024-05-28,75.95
2024-05-31,77.85
2024-06-02,38.0
2024-06-03,66.96
2024-06-04,22.0
2024-06-05,3.88
2024-06-07,35.99
2024-06-09,28.38
2024-06-10,30.57
2024-06-11,51.77
2024-06-15,38.13
2024-06-16,71.0
2024-06-19,49.76
2024-07-06,75.49
2024-07-08,44.69
2024-07-09,69.75
2024-07-10,41.45
2024-07-13,15.88
2024-07-14,52.62
2024-07-20,56.1
2024-07-21,88.95
2024-07-24,45.22
2024-07-25,38.83
2024-07-26,56.59
2024-07-28,73.23
2024-07-29,55.05
2024-08-02,37.82
2024-08-03,63.82
2024-08-06,5.47
2024-08-07,43.3
2024-08-10,29.37
2024-08-11,60.03
2024-08-17,46.86
2024-08-22,70.96
2024-08-23,64.18
2024-08-24,92.5
2024-08-25,48.85
2024-08-26,56.7
2024-08-28,51.85
2024-08-29,50.99
2024-08-30,62.28
2024-08-31,58.75
2024-09-02,58.24
2024-09-03,49.14
2024-09-04,54.4
2024-09-08,53.56
2024-09-09,104.61
2024-09-10,54.21
2024-09-11,82.97
2024-09-12,66.42
2024-09-15,87.08
2024-09-18,98.12
2024-09-19,84.24
2024-09-20,46.4
2024-09-22,65.08
2024-09-23,60.91
2024-09-24,78.66
2024-09-25,65.91
2024-09-26,32.54
2024-09-28,89.0
2024-09-29,50.08
2024-09-30,89.38
2024-10-01,50.23
2024-10-02,61.0
2024-10-07,84.02
2024-10-08,51.35
2024-10-10,75.73
2024-10-13,71.43
2024-10-14,95.27
2024-10-17,53.38
2024-10-18,74.07
2024-10-21,83.91
2024-10-24,45.26
2024-10-25,65.23
2024-10-26,74.9
2024-10-29,33.88
2024-11-01,32.49
2024-11-03,81.72
2024-11-06,48.23
2024-11-10,59.48
2024-11-12,38.64
2024-11-17,28.42
2024-11-18,80.47
2024-11-21,76.61
2024-11-22,65.19
2024-11-23,62.91
2024-11-24,78.25
2024-11-25,59.52
2024-11-27,37.08
2024-11-30,104.12
2024-12-01,54.5
2024-12-02,37.36
2024-12-06,59.4
2024-12-07,45.55
2024-12-09,46.88
2024-12-10,62.05
2024-12-12,40.36
2024-12-13,82.4
2024-12-18,40.76
2024-12-22,66.46
2024-12-23,95.83
2024-12-27,75.98
2024-12-28,74.23
2024-12-29,69.77
2024-12-30,33.2
2025-01-01,68.1
2025-01-02,48.59
2025-01-03,2.87
2025-01-04,61.43
2025-01-05,91.14
2025-01-06,46.8
2025-01-08,68.37
2025-01-11,61.04
2025-01-12,82.85
2025-01-15,40.73
2025-01-17,112.74
2025-01-19,53.01
2025-01-21,25.07
2025-01-24,51.3
2025-01-27,68.22
2025-01-28,76.93
2025-01-30,89.15
2025-01-31,38.1
2025-02-01,50.95
2025-02-02,166.48
2025-02-03,57.34
2025-02-05,53.7
2025-02-07,50.76
2025-02-09,61.85
2025-02-10,41.58
2025-02-13,53.71
2025-02-15,83.69
2025-02-16,93.68
