PR_ID,Date,Date_Mass,Mass_lb,BodyMass_Days_Apart,rn
1,2022-08-10,2022-07-24,174,17,1
2,2022-09-25,2022-09-22,169,3,1
3,2022-09-25,2022-09-22,169,3,1
4,2022-11-30,2022-11-30,174,0,1
5,2023-08-03,2023-08-23,190.1,20,1
6,2023-12-11,2024-01-29,195,49,1
7,2024-11-07,2024-11-24,189.2,17,1
8,2024-11-07,2024-11-24,189.2,17,1
9,2024-11-07,2024-11-24,189.2,17,1
10,2024-11-07,2024-11-24,189.2,17,1
11,2024-12-11,2024-11-24,189.2,17,1
12,2025-02-25,2025-02-21,181.6,4,1
13,2025-06-16,2025-05-28,184.6,19,1
14,2025-06-29,2025-07-30,184.6,31,1
15,2025-07-19,2025-07-30,184.6,11,1
16,2025-08-07,2025-07-30,184.6,8,1
17,2025-08-10,2025-07-30,184.6,11,1
18,2025-08-31,2025-07-30,184.6,32,1
19,2026-01-29,2025-12-11,175.6,49,1
20,2026-06-25,2026-06-25,178,0,1
21,2026-06-27,2026-06-25,178,2,1
