PR_ID,Date,Distance_Date,Distance_7DayAvg,Distance_Days_Apart,rn
1,2022-08-10,2022-08-10,7.4113374041428575,0,1
2,2022-09-25,2022-09-25,4.144156608000001,0,1
3,2022-09-25,2022-09-25,4.144156608000001,0,1
4,2022-11-30,2022-11-30,4.717461546571429,0,1
5,2023-08-03,2023-08-03,3.796026570857144,0,1
6,2023-12-11,2023-12-11,2.2265807745714303,0,1
7,2024-11-07,2024-11-07,1.9228865441428584,0,1
8,2024-11-07,2024-11-07,1.9228865441428584,0,1
9,2024-11-07,2024-11-07,1.9228865441428584,0,1
10,2024-11-07,2024-11-07,1.9228865441428584,0,1
11,2024-12-11,2024-12-11,1.5038784080000016,0,1
12,2025-02-25,2025-02-25,1.942289955428573,0,1
13,2025-06-16,2025-06-16,1.49370627557143,0,1
14,2025-06-29,2025-07-01,NULL,2,1
15,2025-07-19,2025-07-19,0.8853421860000015,0,1
16,2025-08-07,2025-08-07,1.191600668285716,0,1
17,2025-08-10,2025-08-10,1.2711827522857158,0,1
18,2025-08-31,2025-08-31,0.8118043645714301,0,1
19,2026-01-29,2026-01-29,0.8713379902857159,0,1
20,2026-06-25,2026-06-13,2.558599069428573,12,1
21,2026-06-27,2026-06-13,2.558599069428573,14,1
