Date,Exercise,Weight_lb,Reps,Notes
2022-08-10,Leg Press,200,10,First recorded PR
2022-09-25,Deadlift,184,3,PR
2022-09-25,Lat Pulldown,90,10,PR
2022-11-30,Lat Pulldown,100,10,PR
2023-08-03,Lat Pulldown,110,6,PR
2023-12-11,Leg Press,435,10,
2024-11-07,Shoulder Press,35,10,PR
2024-11-07,Chest Press,40,10,PR
2024-11-07,Barbell Curl,20,10,PR
2024-11-07,Deadlift,205,10,PR
2024-12-11,Leg Press,435,10,PR
2025-02-25,Chest Press,45,3,PR
2025-06-16,Leg Abductor,250,10,PR
2025-06-29,Squat,235,7,PR
2025-07-19,Deadlift,225,3,PR (month only)
2025-08-07,Leg Press,507,10,10 plates + sled
2025-08-10,Chest Press Machine,160,3,80 lb each side (assumed total)
2025-08-31,Chest Press,135,3,PR
2026-01-29,Hip Thrust,315,3,PR
2026-06-25,Hip Thrust,315,6,Rep PR
