Exercise,Records,First_PR,Last_PR,First_RS,Last_RS,Max_RS,PR_Improvement,RS_Improvement
Barbell Curl,1,20.0,20.0,0.11,0.11,0.11,0.0,0.0
Chest Press,3,80.0,135.0,0.42,0.73,0.73,55.0,0.31
Chest Press Machine,1,160.0,160.0,0.87,0.87,0.87,0.0,0.0
Deadlift,4,184.0,225.0,1.09,1.26,1.26,41.0,0.16999999999999993
Hip Thrust,2,315.0,315.0,1.79,1.77,1.79,0.0,-0.020000000000000018
Lat Pulldown,3,90.0,110.0,0.53,0.58,0.58,20.0,0.04999999999999993
Leg Abductor,1,250.0,250.0,1.35,1.35,1.35,0.0,0.0
Leg Press,4,200.0,507.0,1.15,2.75,2.75,307.0,1.6
Shoulder Press,1,35.0,35.0,0.18,0.18,0.18,0.0,0.0
Squat,1,235.0,235.0,1.27,1.27,1.27,0.0,0.0
