Date,Exercise,PR_Weight,Reps,Mass_lb,Date_Mass,BodyMass_Days_Apart,Distance_7DayAvg,Distance_Date,Distance_Days_Apart,Measurement_Date,Measurement_Days_Apart,waist,neck,shoulder,chest,abdomen,hip,left_biceps,right_biceps,left_thigh,right_thigh,left_calf,right_calf,under_bust,left_biceps_flex,right_biceps_flex
2022-08-10,"Leg Press",200,10,174,2022-07-24,17,7.4113374041428575,2022-08-10,0,2022-09-25,46,33.3,NULL,NULL,NULL,38.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37.5,NULL,NULL
2022-09-25,Deadlift,184,3,169,2022-09-22,3,4.144156608000001,2022-09-25,0,2022-09-25,0,33.3,NULL,NULL,NULL,38.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37.5,NULL,NULL
2022-09-25,"Lat Pulldown",90,10,169,2022-09-22,3,4.144156608000001,2022-09-25,0,2022-09-25,0,33.3,NULL,NULL,NULL,38.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37.5,NULL,NULL
2022-11-30,"Lat Pulldown",100,10,174,2022-11-30,0,4.717461546571429,2022-11-30,0,2022-09-25,66,33.3,NULL,NULL,NULL,38.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37.5,NULL,NULL
2023-08-03,"Lat Pulldown",110,6,190.1,2023-08-23,20,3.796026570857144,2023-08-03,0,2023-08-22,19,35.7,NULL,NULL,NULL,40.7,45,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL
2023-12-11,"Leg Press",435,10,195,2024-01-29,49,2.2265807745714303,2023-12-11,0,2023-09-29,73,36,13.05,NULL,44.5,41,45.05,12.03,13.7,27,27,16,15.5,38,13.06,13.06
2024-11-07,"Shoulder Press",35,10,189.2,2024-11-24,17,1.9228865441428584,2024-11-07,0,2024-11-23,16,32.19,13.49,43.27,42.29,39.69,44.31,13.62,13.56,25.63,25.46,15.61,15.46,NULL,NULL,NULL
2024-11-07,"Chest Press",80,10,189.2,2024-11-24,17,1.9228865441428584,2024-11-07,0,2024-11-23,16,32.19,13.49,43.27,42.29,39.69,44.31,13.62,13.56,25.63,25.46,15.61,15.46,NULL,NULL,NULL
2024-11-07,"Barbell Curl",20,10,189.2,2024-11-24,17,1.9228865441428584,2024-11-07,0,2024-11-23,16,32.19,13.49,43.27,42.29,39.69,44.31,13.62,13.56,25.63,25.46,15.61,15.46,NULL,NULL,NULL
2024-11-07,Deadlift,205,10,189.2,2024-11-24,17,1.9228865441428584,2024-11-07,0,2024-11-23,16,32.19,13.49,43.27,42.29,39.69,44.31,13.62,13.56,25.63,25.46,15.61,15.46,NULL,NULL,NULL
2024-12-11,"Leg Press",435,10,189.2,2024-11-24,17,1.5038784080000016,2024-12-11,0,2024-11-23,18,32.19,13.49,43.27,42.29,39.69,44.31,13.62,13.56,25.63,25.46,15.61,15.46,NULL,NULL,NULL
2025-02-25,"Chest Press",90,3,181.6,2025-02-21,4,1.942289955428573,2025-02-25,0,2025-02-21,4,31.68,12.78,41.9,41.04,38.09,43.49,12.38,11.84,26.41,25.34,15.48,15.05,NULL,NULL,NULL
2025-06-16,"Leg Abductor",250,10,184.6,2025-05-28,19,1.49370627557143,2025-06-16,0,2025-07-30,44,32.53,13.06,42,43.3,38.75,44.41,12.88,12.19,26.79,26.14,15.53,15.29,NULL,NULL,NULL
2025-06-29,Squat,235,7,184.6,2025-07-30,31,NULL,2025-07-01,2,2025-07-30,31,32.53,13.06,42,43.3,38.75,44.41,12.88,12.19,26.79,26.14,15.53,15.29,NULL,NULL,NULL
2025-07-19,Deadlift,225,3,184.6,2025-07-30,11,0.8853421860000015,2025-07-19,0,2025-07-30,11,32.53,13.06,42,43.3,38.75,44.41,12.88,12.19,26.79,26.14,15.53,15.29,NULL,NULL,NULL
2025-08-07,"Leg Press",507,10,184.6,2025-07-30,8,1.191600668285716,2025-08-07,0,2025-08-02,5,32.53,13.06,42,43.3,38.75,44.41,12.88,12.19,28.79,26.14,15.35,15.29,NULL,NULL,NULL
2025-08-10,"Chest Press Machine",160,3,184.6,2025-07-30,11,1.2711827522857158,2025-08-10,0,2025-08-02,8,32.53,13.06,42,43.3,38.75,44.41,12.88,12.19,28.79,26.14,15.35,15.29,NULL,NULL,NULL
2025-08-31,"Chest Press",135,3,184.6,2025-07-30,32,0.8118043645714301,2025-08-31,0,2025-08-02,29,32.53,13.06,42,43.3,38.75,44.41,12.88,12.19,28.79,26.14,15.35,15.29,NULL,NULL,NULL
2026-01-29,"Hip Thrust",315,3,175.6,2025-12-11,49,0.8713379902857159,2026-01-29,0,2026-04-28,89,31.73,12.31,40.22,40.61,37.79,42.01,10.92,10.4,24.29,23.81,14.11,14.22,34.65,12.26,12.03
2026-06-25,"Hip Thrust",315,6,178,2026-06-25,0,2.558599069428573,2026-06-13,12,2026-06-25,0,32.89,12.13,39.77,40.9,38.04,42.6,10.46,10.99,23.65,23.45,14.31,14.4,35.72,12.07,12.19
2026-06-27,Deadlift,225,6,178,2026-06-25,2,2.558599069428573,2026-06-13,14,2026-06-25,2,32.89,12.13,39.77,40.9,38.04,42.6,10.46,10.99,23.65,23.45,14.31,14.4,35.72,12.07,12.19
