date,weight_lb,activeenergyburned_7day_sum,appleexercisetime_7day_sum,basalenergyburned_7day_sum,flightsclimbed_7day_sum,heartrate_7day_mean,heartratevariabilitysdnn_7day_mean,stepcount_7day_sum,walkingheartrateaverage_7day_mean,walkingspeed_7day_mean,walkingsteplength_7day_mean,avg_hr_7day_mean,avg_stride_length_7day_mean,bodybatterydrain_7day_mean,calories_7day_sum,distance_7day_sum,steps_7day_sum,totalascent_7day_sum,totaldescent_7day_sum,totalreps_7day_sum,totalsets_7day_sum,totaltime_7day_sum
2019-03-04,177.0,498.69,10.0,1849.24,1.0,75.42,42.55,8595.0,103.0,,,,,,,3.99,,,,,,
2019-07-04,176.899,3050.36,214.0,11757.78,26.0,95.37142857142857,36.11,46006.0,92.83333333333331,,,,,,,21.25,,,,,,
2019-07-08,176.599,2424.21,81.0,11952.930000000002,27.0,84.02857142857144,33.416,48784.0,92.6,,,,,,,22.910000000000004,,,,,,
2019-07-09,175.801,2517.91,83.0,12101.73,27.0,82.63571428571429,29.626,50327.0,93.375,,,,,,,23.65,,,,,,
2019-07-11,173.799,3010.0999999999995,93.0,12564.94,2.0,76.67714285714285,30.97,58107.0,93.5,,,,,,,27.86,,,,,,
2019-07-12,173.601,3165.1600000000003,89.0,12817.13,2.0,76.87714285714286,28.505714285714284,57658.0,99.33333333333331,,,,,,,27.61,,,,,,
2019-07-19,175.199,3228.54,102.0,12822.14,6.0,77.28285714285714,43.086666666666666,62475.0,99.25,,,,,,,29.41,,,,,,
2019-07-24,174.8,3472.72,151.0,12890.48,51.0,84.85857142857142,43.77333333333333,87348.0,103.625,,,,,,,41.14,,,,,,
2019-07-25,174.2,3337.0199999999995,147.0,12788.13,50.0,86.13,42.218,84264.0,103.66666666666669,,,,,,,39.81,,,,,,
2019-07-26,174.2,3140.61,141.0,12708.06,52.0,86.50857142857141,39.9875,77755.0,106.0,,,,,,,37.11000000000001,,,,,,
2019-07-27,176.5,3418.54,182.0,12700.22,64.0,90.06857142857143,36.5,81405.0,105.0,,,,,,,39.07,,,,,,
2019-07-29,174.0,3081.5,139.0,12488.97,24.0,84.96428571428571,40.592,71739.0,97.66666666666669,,,,,,,34.190000000000005,,,,,,
2019-07-31,173.2,3217.86,160.0,12473.87,25.0,85.62571428571428,35.87,70895.0,97.0,,,,,,,34.52,,,,,,
2019-11-13,171.8,2494.07,180.0,11575.33,39.0,101.48333333333332,33.185,49765.0,125.5,,,,,,,22.9,,,,,,
2021-07-28,190.001,4138.29,468.0,11658.21,39.0,106.53166666666668,39.502500000000005,58305.0,98.7,2.412857142857143,23.90142857142857,,,,,25.3,,,,,,
2021-08-28,191.2,1823.41,75.0,6418.68,35.0,93.29500000000002,23.19,49839.0,112.33333333333331,2.7085714285714286,25.125714285714285,,,,,22.55,,,,,,
2021-09-29,189.0,4852.460000000001,180.0,14272.12,82.0,75.81285714285714,49.22857142857144,94157.0,91.21428571428572,2.6442857142857146,25.518571428571427,,,,,42.8,,,,,,
2021-10-20,181.0,3426.49,163.0,12534.29,79.0,77.54857142857144,47.148,72261.0,104.33333333333331,2.855714285714286,26.618571428571425,,,,,32.78,,,,,,
2022-06-22,172.4,6430.71,676.0,10561.48,118.0,100.8442857142857,36.4925,163523.0,95.75,2.6014285714285714,24.31571428571428,,,,,73.02999999999999,,,,,,
2022-07-24,174.0,5119.799999999999,485.0,12867.67,243.0,84.22714285714287,38.04571428571428,96212.0,103.92857142857144,2.7414285714285715,25.49,,,,,43.32,,,,,,
2022-09-22,169.0,2325.7,229.0,11303.6,40.0,88.79,39.42166666666666,42435.0,93.0,2.623333333333333,24.12,,,,,19.51,,,,,,
2022-11-30,174.0,3664.13,406.0,11435.79,61.0,107.50166666666668,31.912,67778.0,100.16666666666669,2.662857142857143,24.262857142857143,,,,,33.04,,,,,,
2022-12-01,178.0,4099.4400000000005,451.0,11538.59,61.0,109.04333333333334,32.582,73005.0,100.83333333333331,2.6385714285714283,24.335714285714285,,,,,35.44,,,,,,
2022-12-02,176.9,4909.17,530.0,11916.85,61.0,108.88,38.16666666666666,80414.0,99.64285714285714,2.64,24.347142857142853,,,,,39.06,,,,,,
2022-12-07,175.4,3967.71,419.0,11745.31,1.0,106.18285714285716,48.25666666666666,47706.0,105.42857142857144,2.531428571428571,23.74285714285714,,,,,22.45,,,,,,
2022-12-08,175.7,3529.19,376.0,11572.04,2.0,101.06285714285714,56.571666666666665,42697.0,101.42857142857144,2.544285714285714,23.888571428571428,,,,,20.09,,,,,,
2022-12-29,172.7,4467.200000000001,441.0,12301.96,9.0,88.51666666666667,48.501666666666665,66589.0,88.83333333333333,2.628571428571429,24.371428571428567,,,,,33.93,,,,,,
2023-02-06,174.8,3908.51,325.0,11932.0,,90.70166666666668,48.076,46172.0,98.2,2.588571428571428,23.752857142857145,,,,,19.66,,,,,,
2023-08-23,190.1,2266.53,212.0,11407.91,14.0,90.1675,43.01499999999999,39231.0,96.5,2.6028571428571428,23.93285714285714,,,,,16.64,,,,,,
2024-01-29,195.0,,,,31.0,,,28039.0,,2.73,25.040000000000003,143.25,0.77,-7.5,1604.0,3.64,72.0,328.0,112.0,36.0,10.0,157.95
2024-04-01,193.0,,,,8.0,,,20680.0,,2.627142857142857,25.14142857142857,150.16666666666666,0.69,-8.0,1847.0,0.66,152.0,5.0,6.0,76.0,16.0,176.48000000000002
2024-05-27,191.0,,,,35.0,,,28193.0,,2.7157142857142857,25.72714285714286,141.16666666666666,0.735,-19.5,2004.0,8.13,216.0,678.0,671.0,108.0,15.0,223.11
2024-08-04,205.8,,,,17.0,,,21349.0,,2.645,25.255,140.33333333333334,,-10.666666666666666,1271.0,9.51,,,,,3.0,156.69
2024-08-07,196.0,,,,33.0,,,28281.0,,2.736666666666667,25.223333333333333,132.125,,-8.75,1344.0,12.7,188.0,,,94.0,20.0,150.41
2024-08-11,197.2,,,,26.0,,,39472.0,,2.78,25.89,141.9575,,-5.25,1459.0,17.97,188.0,,,94.0,23.0,138.17000000000002
