Measurement_Date,Strength_Sessions,Aerobic_Sessions,Yoga_Sessions,MartialArts_Sessions,Meditation_Sessions,Total_Workouts
2022-09-25,0,0,0,0,0,0
2023-07-01,0,0,0,0,0,0
2023-08-22,0,0,0,0,0,0
2023-08-30,0,0,0,0,0,0
2023-08-31,0,0,0,0,0,0
2023-09-13,0,0,0,0,0,0
2023-09-29,0,0,0,0,0,0
2024-04-01,25,42,22,0,0,89
2024-08-28,36,88,28,0,2,154
2024-09-13,6,14,8,0,0,28
2024-09-28,6,11,6,0,0,23
2024-11-23,14,34,21,0,0,69
2025-02-05,21,44,25,0,0,90
2025-02-21,5,12,7,0,0,24
2025-07-30,61,86,50,0,2,199
2025-08-02,1,1,1,0,0,3
2025-10-14,27,31,10,0,0,68
2026-04-28,27,51,11,0,1,90
2026-06-10,17,21,16,1,1,56
2026-06-12,1,1,1,0,0,3
2026-06-25,4,5,6,0,0,15
