Previous_Date,Measurement_Date,Days,waist,abdomen,chest,hip,Total_Workouts,Strength_Sessions,Aerobic_Sessions,Walking,Running,Cycling,Hiking,Yoga,Avg_Workout_Distance,Avg_Workout_Calories,Total_Distance,Total_Calories
2022-09-25,2023-07-01,279,39,NULL,44.6,NULL,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,2023-08-22,52,35.7,40.7,NULL,45,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-22,2023-08-30,8,32.5,NULL,41.5,43,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-30,2023-08-31,1,36.06,41.03,NULL,45.05,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-31,2023-09-13,13,36.02,41.6,44,46,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-13,2023-09-29,16,36,41,44.5,45.05,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-29,2024-04-01,185,35.4,NULL,NULL,NULL,85,24,40,13,9,0,0,21,1.7,223.9,37.44,19028
2024-04-01,2024-08-28,149,35.81,NULL,NULL,NULL,152,36,87,12,15,16,0,27,2.29,226.5,61.82,32610
2024-08-28,2024-09-13,16,35.52,NULL,NULL,NULL,28,6,14,2,0,0,0,8,1.82,204.9,3.65,5736
2024-09-13,2024-09-28,15,34.33,40.67,42.48,46.17,22,6,10,0,3,1,0,6,2.83,240.8,8.5,5297
2024-09-28,2024-11-23,56,32.19,39.69,42.29,44.31,66,14,32,2,13,3,0,20,2.66,217.7,39.97,14148
2024-11-23,2025-02-05,74,32.61,38.07,42.65,44.35,87,20,40,1,8,4,0,25,3.13,263.9,34.4,22960
2025-02-05,2025-02-21,16,31.68,38.09,41.04,43.49,21,5,10,0,1,1,0,6,2.87,257.5,2.87,5408
2025-02-21,2025-07-30,159,32.53,38.75,43.3,44.41,196,60,85,6,18,6,0,49,2.08,205.4,49.99,39857
2025-07-30,2025-08-02,3,32.53,38.75,43.3,44.41,3,1,1,0,0,0,0,1,0,139.7,0,419
2025-08-02,2025-10-14,73,31.73,38.1,41.7,43.72,65,26,30,5,5,0,0,9,2.45,220,24.52,14081
2025-10-14,2026-04-28,196,31.73,37.79,40.61,42.01,90,27,51,12,6,0,0,11,1.79,231.5,32.2,20607
2026-04-28,2026-06-10,43,33.54,38.72,42.09,43.77,56,17,21,1,3,0,0,16,1.73,207.7,6.92,10798
2026-06-10,2026-06-12,2,33.24,38.54,42.25,43.26,3,1,1,0,0,0,0,1,0,248.3,0,745
2026-06-12,2026-06-25,13,32.89,38.04,40.9,42.6,15,4,5,0,1,0,0,6,4.57,154.8,4.57,2322
